EVTOPTA_CM_4013;Spare me your lamentations!;Épargnez-moi vos lamentations !;Verschont mich mit Eurem Gejammer!;;¡Ahórrate tus lamentos!;;;;;;;;;x
EVTDESC_SOA_2209;The Slavic faith has been reformed and this has led to a religious fervor throughout the lands of the Slavs the likes of which has never been seen before. Many of the greatest champions have come together to form a new Slavic holy order. They call themselves the Warriors of Perun, the god of thunder, and have all taken vows to defend the Slavic faith and its believers to their dying breaths.;La foi slave a connu une réforme menant à une ferveur religieuse jamais connue auparavant sur les terres slaves. Un grand nombre de champions se sont rassemblés pour former un nouvel ordre saint à la gloire de leurs dieux.\nIls se font appeler les « Guerriers de Péroun », du nom du dieu slave de la Foudre, et ont fait le serment de défendre la foi slave ainsi que ses fidèles jusqu'à leur dernier souffle.;Die Reformation des slawischen Glaubens hat zu einem nie dagewesenen religiösen Eifer in den slawischen Ländern geführt. Viele ihrer größten Sieger haben sich zusammengeschlossen, um einen neuen slawischen Heiligen Orden zu gründen. Sie nennen sich die Krieger von Perun, nach Perun, ihrem Gott des Donners, und haben geschworen, den Slawischen Glauben bis zum letzten Atemzug zu verteidigen. ;;Se ha reformado la fe eslava, lo que ha dado lugar a un fervor religioso a través de las tierras de los eslavos de dimensiones inauditas. Muchos de los más grandes paladines se han unido para formar una nueva orden santa eslava. Se hacen llamar los Guerreros de Perún, dios del trueno, y han hecho voto de defender la fe eslava y a sus fieles hasta el último aliento.;;;;;;;;;x
EVTDESC_SOA_2231;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Warriors of Perun in their heroic deeds to smite the enemies of the gods, even though this will forever disinherit him.;M[From.GetOnA] [GetFromRelation], [From.Get_le_TitledFirstName], a demandé à rejoindre les Guerriers de Péroun dans leur lutte contre les dieux ennemis, même si cela le déshéritera à jamais.;Mein [GetFromRelation], [From.GetTitledFirstName] will sich den Kriegern von Perun in ihrem heldenhaften Kampf gegen die Feinde der Götter anschließen, obwohl ihn dies auf ewig von der Erbfolge ausschließt.;;Mi [GetFromRelation] [From.GetTitledFirstName] ha solicitado unirse a los Guerreros de Perún en sus heroicas gestas para aniquilar a los enemigos de los dioses, a pesar de que esta acción le desheredará para siempre.;;;;;;;;;x
EVTDESC_SOA_2241;Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation shall aid us greatly in our quest to serve the will of Perun! You have my friendship, as well as that of the priesthood.\n\nMay Perun watch over you,\nWarchief [target_grandmaster.GetFirstName];Noble [Root.PrimaryTitle.GetRulerTitle], votre très généreuse contribution nous aidera grandement à servir la volonté de Péroun ! Recevez notre reconnaissance ainsi que celle des volkhves.\n\nQue Péroun vous garde,\nChef de guerre [target_grandmaster.GetFirstName];Großer [Root.PrimaryTitle.GetRulerTitle], Eure äußerst großzügige Spende wird uns sehr helfen in unserem Dienst zur Verteidigung Peruns. Ihr habt meine Freundschaft und die der Priesterschaft!\n\nMöge Perun Euch schützen!\nKriegshäuptling [target_grandmaster.GetFirstName];;Gran [Root.PrimaryTitle.GetRulerTitle], ¡esta donación tan generosa nos será de gran ayuda en nuestra lucha para servir a la voluntad de Perún! Tiene mi amistad, así como la del sacerdocio.\n\nQue Perún le guarde,\nJefe Guerrero [target_grandmaster.GetFirstName];;;;;;;;;x
EVTDESC_SOA_2253;Most righteous [Root.GetTitledFirstName], the Warriors of Perun are in need of more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [target_province.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nMay Perun watch over you,\nWarchief [target_grandmaster.GetFirstName];Très juste [Root.GetTitledFirstName], les Guerriers de Péroun ont besoin de nouveaux forts afin de rassembler troupes et revenus nécessaires au fonctionnement de notre ordre. Il nous a été rapporté que vous possédiez un emplacement approprié sur votre domaine, à [target_province.GetName] pour être précis. Nous sommes disposés à vous payer 100 d'or en échange du droit d'y construire une forteresse.\n\nQue Péroun vous garde,\nChef de guerre [target_grandmaster.GetFirstName];Hochwohlgeborener [Root.GetTitledFirstName], die Krieger von Perun brauchen weitere Burgen zur Ausbildung von Truppen und zur Erzeugung von Einnahmen. Ich habe erfahren, dass es in Eurem Reich einen geeigneten Standort gibt, nämlich in [target_province.GetName]. Ich zahle Euch 100 Gold für das Recht, dort eine Burg zu errichten.\n\nMöge Perun Euch schützen!\nKriegshäuptling [target_grandmaster.GetFirstName];;Mi justo [Root.GetTitledFirstName], los Guardianes de los Espíritus necesitan más castillos para entrenar tropas y obtener ingresos para sostenerse. Hay un lugar adecuado en su heredad, en [target_province.GetName] para ser más precisos. Estoy dispuesto a pagarle 100 oros a cambio del derecho a construir allí una fortaleza.\n\nQue Perún le guarde,\nJefe Guerrero [target_grandmaster.GetFirstName];;;;;;;;;x
EVTDESC_SOA_2254;The Warriors of Perun have constructed a castle in [Root.GetName]!;Les Guerriers de Péroun ont construit un château en [Root.GetName] !;Die Krieger von Perun haben in [Root.GetName] eine Burg errichtet!;;¡Los Guerreros de Perún han construido un castillo en [Root.GetName]!;;;;;;;;;x
EVTDESC_SOA_2261;Your majesty, this antagonism is completely unwarranted! The Warriors of Perun serve at the pleasure of the gods, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nWarchief [From.GetFirstName];[Root.PrimaryTitle.GetFOA], cette opposition est complètement injustifiée ! Les Guerriers de Péroun ne cherchent qu'à servir la volonté des dieux, mais est-ce votre cas ?\n\nVeuillez agréer l'expression de notre colère et de notre tristesse,\nChef de guerre [From.GetFirstName];Eure Majestät, diese Ablehnung ist völlig unbegründet! Die Krieger von Perun dienen zum Wohlgefallen der Götter, doch tut Ihr das auch? \n\nIn Zorn und Trauer,\n\nKriegshäuptling [From.GetFirstName];;Su majestad, ¡este antagonismo es totalmente injustificado! Los Guerreros de Perún sirven a la voluntad de los dioses, pero cabe preguntarse, ¿y usted?\n\nCon ira y tristeza,\n\nJefe Guerrero [From.GetFirstName];;;;;;;;;x
EVTDESC_SOA_2309;Perkunas, the god of thunder, has spoken! As the Romuvan religion reforms to better face the modern world, several champions have stepped forward, claiming that Perkunas has willed them to found a new holy order. The Chosen of Perkunas, as they call themselves, have sworn to defend the Romuvan faith and to direct the wrath of the gods towards the skulls of their enemies.;Perkunas, le dieu de la Foudre, a parlé ! Alors que la religion romuvienne se réforme pour mieux faire face aux réalités du monde, plusieurs champions se sont manifestés, clamant que Perkunas leur avait demandé de créer un nouvel ordre saint. Les Élus de Perkunas, comme ils se font appeler, ont juré de défendre la foi romuva et de faire s'abattre la colère des dieux sur la tête de leurs ennemis.;Perkunas, der Gott des Donners, hat gesprochen! Bei der Reformation des Romuvanischen Glaubens zur Anpassung an die moderne Welt sind einige Sieger hervorgetreten und behaupten, Perkunas selbst habe sie beauftragt, einen neuen Heiligen Orden zu gründen. Diese Erwählten des Perkunas haben geschworen, den Romuvanischen Glauben zu verteidigen und den Zorn der Götter auf die Schädel seiner Feinde zu lenken .;;¡Perkunas, dios del trueno, ha hablado! Tras las reformas de la religión romuvita para afrontar mejor la era moderna, varios paladines han dado un paso adelante, proclamando que Perkunas les ha señalado para fundar una nueva orden santa. Los Elegidos de Perkunas, como se denominan, han jurado defender la fe romuvita y dirigir la ira de los dioses hacia las calaveras de sus enemigos.;;;;;;;;;x
EVTDESC_SOA_2331;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Chosen of Perkunas in their war against unbelievers, even though this will forever disinherit him.;M[From.GetOnA] [GetFromRelation], [From.Get_le_TitledFirstName], a demandé à rejoindre les Élus de Perkunas dans leur lutte contre les mécréants, même si cela le déshéritera à jamais.;Mein [GetFromRelation], [From.GetTitledFirstName] will sich den Erwählten des Perkunas in ihrem Kampf gegen die Ungläubigen anschließen, obwohl ihn dies auf ewig von der Erbfolge ausschließt.;;Mi [GetFromRelation] [From.GetTitledFirstName] ha solicitado unirse a los Elegidos de Perkunas en su guerra contra los no creyentes, a pesar de que esta acción le desheredará para siempre.;;;;;;;;;x
EVTDESC_SOA_2341;Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation shall aid us greatly in our quest to serve the will of Perkunas! You have my friendship, as well as that of the priesthood.\n\nMay Perkunas watch over you,\nWarchief [target_grandmaster.GetFirstName];Noble [Root.PrimaryTitle.GetRulerTitle], votre très généreuse contribution nous aidera grandement à servir la volonté de Perkunas ! Recevez notre reconnaissance ainsi que celle des augures.\n\nQue Perkunas vous garde,\nChef de guerre [target_grandmaster.GetFirstName];Großer [Root.PrimaryTitle.GetRulerTitle], Eure äußerst großzügige Spende wird uns sehr bei der Erfüllung des Willens von Perkunas helfen. Ihr habt meine Freundschaft und die der Priesterschaft!\n\nMöge Perkunas Euch schützen!\nKriegshäuptling [target_grandmaster.GetFirstName];;Gran [Root.PrimaryTitle.GetRulerTitle], ¡esta donación tan generosa nos será de gran ayuda en nuestra lucha para servir a la voluntad de Perkunas! Tiene mi amistad, así como la del sacerdocio.\n\nQue Perkunas le guarde,\nJefe Guerrero [target_grandmaster.GetFirstName];;;;;;;;;x
EVTDESC_SOA_2353;Most righteous [Root.GetTitledFirstName], the Chosen of Perkunas are in need of more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [target_province.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nMay Perkunas watch over you,\nWarchief [target_grandmaster.GetFirstName];Très juste [Root.GetTitledFirstName], les Élus de Perkunas ont besoin de nouveaux châteaux afin de lever des troupes et de générer les revenus nécessaires à leur fonctionnement. Il nous est apparu que vous possédiez un emplacement approprié sur votre domaine de [target_province.GetName]. Nous sommes donc disposés à vous payer 100 d'or en échange du droit d'y construire une forteresse.\n\nQue Perkunas vous garde,\nChef de guerre [target_grandmaster.GetFirstName];Hochwohlgeborener [Root.GetTitledFirstName], die Erwählten von Perkunas brauchen weitere Burgen zur Ausbildung von Truppen und zur Erzeugung von Einnahmen. Ich habe erfahren, dass es in Eurem Reich einen geeigneten Standort gibt, nämlich in [target_province.GetName]. Ich zahle Euch 100 Gold für das Recht, dort eine Burg zu errichten.\n\nMöge Perkunas Euch schützen!\nKriegshäuptling [target_grandmaster.GetFirstName];;Mi justo [Root.GetTitledFirstName], los Elegidos de Perkunas necesitan más castillos para entrenar tropas y obtener ingresos para sostenerse. Hay un lugar adecuado en su heredad, en [target_province.GetName] para ser más precisos. Estoy dispuesto a pagarle 100 oros a cambio del derecho a construir allí una fortaleza.\n\nQue Perkunas le guarde,\nJefe Guerrero [target_grandmaster.GetFirstName];;;;;;;;;x
EVTDESC_SOA_2354;The Chosen of Perkunas have constructed a castle in [Root.GetName]!;Les Élus de Perkunas ont construit un château en [Root.GetName] !;Die Erwählten von Perkunas haben in [Root.GetName] eine Burg errichtet!;;¡Los Elegidos de Perkunas han construido un castillo en [Root.GetName]!;;;;;;;;;x
EVTDESC_SOA_2361;Your majesty, this antagonism is completely unwarranted! The Chosen of Perkunas serve at the pleasure of the gods, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nWarchief [From.GetFirstName];[Root.PrimaryTitle.GetFOA], cette opposition est complètement injustifiée ! Les Élus de Perkunas ne cherchent qu'à servir la volonté des dieux. Contrairement à vous semblerait-il.\n\nAvec colère tristesse,\n\nChef de guerre [From.GetFirstName];Eure Majestät, diese Ablehnung ist völlig unbegründet! Die Erwählten von Perkunas dienen zum Wohlgefallen der Götter, doch tut Ihr das auch? \n\nIn Zorn und Trauer,\nKriegshäuptling [From.GetFirstName];;Su majestad, ¡este antagonismo es totalmente injustificado! Los Elegidos de Perkunas sirven a la voluntad de los dioses, pero cabe preguntarse, ¿y usted?\n\nCon ira y tristeza,\n\nJefe Guerrero [From.GetFirstName];;;;;;;;;x
EVTDESC_SOA_2409;A new Finnish holy order has surfaced dedicated to the preservation and defense of the new reformed Suomenusko religion. These warriors call themselves the 'Sons of Kaleva' and they are prepared to march into battle against all those who would deny the truth of their faith. Many Finns look upon them as the heroes of their ancient myths, and they seem to have no shortage of recruits.;Un nouvel ordre saint finnois dédié à la préservation et la défense de la foi Suomenusko nouvellement réformée est apparu. Ces guerriers se font appeler les Fils de Kaleva et sont prêts à combattre ceux qui refuseraient d'admettre la véracité de leur foi. De nombreux finnois les considèrent comme les héros de leurs anciens mythes et ils semblent n'avoir aucun mal à recruter des effectifs.;In Finnland hat sich ein neuer Heiliger Orden zur Bewahrung und Verteidigung der neu reformierten Suomenusko-Religion gebildet. Diese Krieger nennen sich die Söhne Kalavas und sind bereit, gegen alle zu ziehen, die die Wahrhaftigkeit ihres Glaubens leugnen. Viele Finnen sehen in ihnen die Helden ihrer alten Sagen und es mangelt dem Orden wohl nicht an Zulauf.;;"Ha surgido una nueva orden santa finlandesa dedicada a la conservación y defensa de la nueva religión reformada Suomenusko. Estos guerreros llaman a sí mismos "Hijos de Kaleva"" y están dispuestos a ir a la batalla contra todos aquellos que nieguen la verdad de su fe. Muchos finlandeses les consideran como los héroes de los antiguos mitos y parece que no andan escasos de reclutas.";;;;;;;;;x
EVTDESC_SOA_2431;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the heroes in the Sons of Kaleva in struggle against heathens, even though this will forever disinherit him.;M[From.GetOnA] [GetFromRelation], [From.Get_le_TitledFirstName], a demandé à rejoindre les Fils de Kaleva dans leur lutte contre les infidèles, même si cela le déshéritera à jamais.;Mein [GetFromRelation], [From.GetTitledFirstName] will sich den Söhnen Kalevas in ihrem Kampf gegen die Heiden anschließen, obwohl ihn dies auf ewig von der Erbfolge ausschließt.;;Mi [GetFromRelation] [From.GetTitledFirstName] ha solicitado unirse a los Hijos de Kaleva en su guerra contra los paganos, a pesar de que esta acción le desheredará para siempre.;;;;;;;;;x
EVTDESC_SOA_2441;Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation shall aid us greatly in our quest to serve the will of Kaleva! You have my friendship, as well as that of the priesthood.\n\nMay the Gods watch over you,\nWarchief [target_grandmaster.GetFirstName];Noble [Root.PrimaryTitle.GetRulerTitle], votre très généreuse contribution nous aidera grandement à servir la volonté de Kaleva ! Recevez notre reconnaissance ainsi que celle des augures.\n\nQue les dieux vous gardent,\nChef de guerre [target_grandmaster.GetFirstName];Großer [Root.PrimaryTitle.GetRulerTitle], Eure äußerst großzügige Spende wird uns sehr helfen, dem Willen Kalevas zu dienen. Ihr habt meine Freundschaft und die der Priesterschaft!\n\nMögen die Götter Euch schützen!\nKriegshäuptling [target_grandmaster.GetFirstName];;Gran [Root.PrimaryTitle.GetRulerTitle], ¡esta donación tan generosa nos será de gran ayuda en nuestra lucha para servir a la voluntad de Kaleva! Tiene mi amistad, así como la del sacerdocio.\n\nQue los dioses le guarden,\nJefe Guerrero [target_grandmaster.GetFirstName];;;;;;;;;x
EVTDESC_SOA_2453;Most righteous [Root.GetTitledFirstName], the Sons of Kaleva are in need of more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [target_province.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nMay the Gods watch over you,\nWarchief [target_grandmaster.GetFirstName];Très juste [Root.GetTitledFirstName], les Fils de Kaleva ont besoin de nouveaux châteaux afin de lever des troupes et de générer les revenus nécessaires à leur fonctionnement. Il nous a été dit que vous possédiez un emplacement approprié sur votre domaine du comté de [target_province.GetName]. Nous sommes disposés à vous payer 100 d'or en échange du droit d'y construire une forteresse.\n\nQue les dieux vous gardent,\nChef de guerre [target_grandmaster.GetFirstName];Hochwohlgeborener [Root.GetTitledFirstName], die Söhne Kalevass brauchen weitere Burgen zur Ausbildung von Truppen und zur Erzeugung von Einnahmen. Ich habe erfahren, dass es in Eurem Reich einen geeigneten Standort gibt, nämlich in [target_province.GetName]. Ich zahle Euch 100 Gold für das Recht, dort eine Burg zu errichten.\n\nMögen die Götter Euch schützen!\nKriegshäuptling [target_grandmaster.GetFirstName];;Mi justo [Root.GetTitledFirstName], los Hijos de Kaleva necesitan más castillos para entrenar tropas y obtener ingresos para sostenerse. Hay un lugar adecuado en su heredad, en [target_province.GetName] para ser más precisos. Estoy dispuesto a pagarle 100 oros a cambio del derecho a construir allí una fortaleza.\n\nQue los dioses le guarden,\nJefe Guerrero [target_grandmaster.GetFirstName];;;;;;;;;x
EVTDESC_SOA_2454;The Sons of Kaleva have constructed a castle in [Root.GetName]!;Les Fils de Kaleva ont élevé un château en [Root.GetName] !;Die Söhne Kalevas haben in [Root.GetName] eine Burg errichtet!;;¡Los Hijos de Kaleva han construido un castillo en [Root.GetName]!;;;;;;;;;x
EVTDESC_SOA_2461;Your majesty, this antagonism is completely unwarranted! The Sons of Kaleva serve at the pleasure of the gods, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nWarchief [From.GetFirstName];[Root.PrimaryTitle.GetFOA], cette opposition est complètement injustifiée ! Les Fils de Kaleva ne cherchent qu'à servir la volonté des dieux mais vous nous forcer à nous poser la question de ce que vous cherchez réellement.\n\nVeuillez agréer l'expression de notre colère profonde,\nChef de guerre [From.GetFirstName];Eure Majestät, diese Ablehnung ist völlig unbegründet! Die Söhne Kalevas dienen zum Wohlgefallen der Götter, doch tut Ihr das auch? \n\nIn Zorn und Trauer,\nKriegshäuptling [From.GetFirstName];;Su majestad, ¡este antagonismo es totalmente injustificado! Los Hijos de Kaleva sirven a la voluntad de los dioses, pero cabe preguntarse, ¿y usted?\n\nCon ira y tristeza,\n\nJefe Guerrero [From.GetFirstName];;;;;;;;;x
EVTDESC_SOA_2509;The Easterners across the sea have more religions than a parrot has feathers, but the Aztec faith has now been reformed and reorganized to better stand against the heathens. Several warrior-priests have also founded a new holy order: the Cult of Huitzilopochtli. Devoted to the Aztec deity of war, this cult is bent on the forceful conversion of the world – preferably with lots of human sacrifice in the process.;Les Orientaux qui vivent au-delà des mers ont plus de religions qu'un perroquet possède de plumes, mais la foi aztèque a connu une réforme et est désormais mieux organisée pour faire face aux infidèles. Plusieurs prêtres-guerriers ont fondé un nouvel ordre saint : le Culte de Huitzilopochtli. Consacré au dieu aztèque de la guerre, ce culte vise à la conversion du monde par la force et si possible en ayant recours à de nombreux sacrifices humains.;Die Ostbewohner jenseits des Meeres haben mehr Religionen als ein Papagei Federn, doch der aztekische Glaube ist jetzt reformiert worden, um den Heiden besser Widerstand leisten zu können. Mehrere Krieger-Priester haben einen neuen Heiligen Orden gegründet, den Kult des Huitzilopochtli. Dem Kriegsgott der Azteken geweiht, hat sich der Kult der gewaltsamen Bekehrung der Welt verschrieben - vorzugsweise mittels reichlicher Menschenopfer.;;Los orientales del otro lado del mar cuentan con más religiones que plumas tiene un loro, pero la fe azteca ahora se ha reformado y reorganizado para ser más fuerte ante los paganos. Varios sacerdotes guerreros han fundado una nueva orden santa: el Culto a Huitzilopochtli, dedicado a la deidad azteca de la guerra. El culto pretende la conversión forzosa del mundo, preferiblemente con un gran sacrificio humano de por medio.;;;;;;;;;x
EVTDESC_SOA_2531;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Cult of Huitzilopochtli in their ongoing efforts to rip the heart out of every heathen unbeliever, even though this will forever disinherit him.;M[From.GetOnA] [GetFromRelation], [From.Get_le_TitledFirstName], a demandé à rejoindre le Culte de Huitzilopochtli dans sa lutte contre les dieux ennemis, même si cela le déshéritera à jamais.;Mein [GetFromRelation], [From.GetTitledFirstName] will sich dem Kult des Huitzilopochtli in seinem andauernden Bestreben anschließen, jedem Ungläubigen das Herz aus dem Leib zu reißen, obwohl ihn dies auf ewig von der Erbfolge ausschließt.;;Mi [GetFromRelation] [From.GetTitledFirstName] ha solicitado unirse al Culto a Huitzilopochtli en su esfuerzo incesante por arrancar el corazón de cada pagano ateo, a pesar de que esta acción le desheredará para siempre.;;;;;;;;;x
EVTDESC_SOA_2541;Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation shall aid us greatly in organizing the sacrifice rituals that Huitzilopochtli demand! You have my friendship, as well as that of the priesthood.\n\nHuitzilopochtli's faithful servant,\nHigh Priest [target_grandmaster.GetFirstName];Noble [Root.PrimaryTitle.GetRulerTitle], votre très généreuse contribution nous aidera grandement dans les rituels sacrificiels qu'exige Huitzilopochtli. Recevez notre reconnaissance ainsi que celle des prêtres.\n\nLe fidèle serviteur d'Huitzilopochtli,\nGrand prêtre [target_grandmaster.GetFirstName];Großer [Root.PrimaryTitle.GetRulerTitle], Eure äußerst großzügige Spende wird uns sehr helfen, die Opferrituale zu organisieren, die Huitzilopochtli verlangt. Ihr habt meine Freundschaft und die der Priesterschaft!\n\nHuitzilopochtlis ergebener Diener\nHohepriester [target_grandmaster.GetFirstName];;Gran [Root.PrimaryTitle.GetRulerTitle], ¡esta donación tan generosa nos será de gran ayuda para organizar los sacrificios rituales que Huitzilopochtli nos exige! Tiene mi amistad, así como la del sacerdocio.\n\nFiel sirviente de Huitzilopochtli,\nSumo Sacerdote [target_grandmaster.GetFirstName];;;;;;;;;x
EVTDESC_SOA_2553;Most righteous [Root.GetTitledFirstName], the Cult of Huitzilopochtli are in need of more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [target_province.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nHuitzilopochtli's faithful servant,\nHigh Priest [target_grandmaster.GetFirstName];Très juste [Root.GetTitledFirstName], le Culte de Huitzilopochtli a besoin de nouvelles places fortes afin de lever des troupes et de générer les revenus nécessaires à son fonctionnement. Il m'est apparu que vous possédiez un emplacement approprié sur votre domaine, à [target_province.GetName] pour être précis. Nous sommes disposés à vous payer 100 d'or en échange du droit d'y construire une forteresse.\n\nLe fidèle serviteur d'Huitzilopochtli,\nGrand prêtre [target_grandmaster.GetFirstName];Hochwohlgeborener [Root.GetTitledFirstName], der Kult des Huitzilopochtli braucht weitere Burgen zur Ausbildung von Truppen und zur Erzeugung von Einnahmen. Ich habe erfahren, dass es in Eurem Reich einen geeigneten Standort gibt, nämlich in [target_province.GetName]. Ich zahle Euch 100 Gold für das Recht, dort eine Burg zu errichten.\n\nHuitzilopochtlis ergebener Diener\nHohepriester [target_grandmaster.GetFirstName];;Mi justo [Root.GetTitledFirstName], el Culto a Huitzilopochtli necesita más castillos para entrenar tropas y obtener ingresos para sostenerse. Hay un lugar adecuado en su heredad, en [target_province.GetName] para ser más precisos. Estoy dispuesto a pagarle 100 oros a cambio del derecho a construir allí una fortaleza.\n\nFiel sirviente de Huitzilopochtli,\nSumo Sacerdote [target_grandmaster.GetFirstName];;;;;;;;;x
EVTDESC_SOA_2554;The Cult of Huitzilopochtli has constructed a castle in [Root.GetName]!;Le Culte de Huitzilopochtli a construit un château en [Root.GetName] !;Der Kult des Huitzilopochtli hat in [Root.GetName] eine Burg errichtet!;;¡El Culto a Huitzilopochtli ha construido un castillo en [Root.GetName]!;;;;;;;;;x
EVTDESC_SOA_2561;Your majesty, this antagonism is completely unwarranted! The Cult of Huitzilopochtli serve the will of Huitzilopochtli, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nHigh Priest [From.GetFirstName];[Root.PrimaryTitle.GetFOA], cette opposition est complètement injustifiée ! Le Culte de Huitzilopochtli ne cherche qu'à servir la volonté de Huitzilopochtli mais certains se posent la question : le cherchez-vous également ?\n\nAvec colère et tristesse,\nGrand prêtre [From.GetFirstName];Eure Majestät, diese Ablehnung ist völlig unbegründet! Der Kult des Huitzilopochtli dient dem Willen Huitzilopochtlis, doch tut Ihr das auch? \n\nIn Zorn und Trauer,\nHohepriester[From.GetFirstName];;Su majestad, ¡este antagonismo es totalmente injustificado! El Culto a Huitzilopochtli sirve a la voluntad de Huitzilopochtli, pero cabe preguntarse, ¿y usted?\n\nCon ira y tristeza,\n\nSumo Sacerdote [From.GetFirstName];;;;;;;;;x
EVTDESC_SOA_2609;This chivalric order owes its name to Santiago Matamoros, or Saint James the Moorslayer as he is known in other parts of the world. The Order of Santiago enjoys the official sponsorship of the [Root.Religion.GetName] Church and its knights have all sworn to purge entire realms of heathens and heretics if so requested by a [Root.Religion.GetName] ruler.;Un nouvel ordre saint a été fondé en Hispanie. Cet Ordre doit son nom à Jacques de Zébédée, un des douze apôtres, également connu sous le nom de Santiago Matamoros - littéralement « le tueur de Maures ».\nL'Ordre de Santiago est soutenu par l'Église [Root.Religion.GetName] et ses chevaliers ont fait voeux de purger des royaumes entiers des infidèles et des païens qui y habitent si un seigneur [Root.GetReligionMasc] leur en fait la demande.;Dieser Ritterorden verdankt seinen Namen Santiago Matamoros, dem Heiligen Jakob, dem Mohrenschlächter. Der Orden steht unter dem Patronat der [Root.Religion.GetName]en Kirche und seine Ritter haben geschworen, ganze Reiche von Ungläubigen und Heiden zu säubern, wenn seine [Root.Religion.GetName]e Majestät dies befiehlt.;;Esta orden de caballería debe su nombre a Santiago Matamoros, conocido en todo el mundo. La Orden de Santiago cuenta con el apoyo oficial de la iglesia [Root.Religion.GetName] y todos sus caballeros han jurado purgar reinos enteros de infieles y paganos, si así lo solicitara un gobernante [Root.Religion.GetName].;;;;;;;;;x
EVTDESC_SOA_2631;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Knights of Santiago in their struggle against the infidel, even though this will forever disinherit him.;M[From.GetOnA] [GetFromRelation], [From.Get_le_TitledFirstName], a demandé à rejoindre l'Ordre de Santiago dans sa lutte contre les infidèles, même si cela le déshéritera à jamais.;Mein [GetFromRelation], [From.GetTitledFirstName] will sich den Rittern des Heiligen Jakob in ihrem Kampf gegen die Ungläubigen anschließen, obwohl ihn dies auf ewig von der Erbfolge ausschließt.;;Mi [GetFromRelation] [From.GetTitledFirstName] ha solicitado unirse a los Caballeros de Santiago en su lucha contra los infieles, a pesar de que esta acción le desheredará para siempre.;;;;;;;;;x
EVTDESC_SOA_2653;Most righteous [Root.GetTitledFirstName], the Knights of Santiago need more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [target_province.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nPax Christi,\nGrand Master [target_grandmaster.GetFirstName];Très juste [Root.GetTitledFirstName], l'Ordre de Santiago a besoin de nouveaux châteaux afin de lever des troupes et de générer les revenus nécessaires à son fonctionnement. Il nous a été signalé que vous possédiez un emplacement approprié sur votre domaine, à [target_province.GetName] pour être précis. Nous sommes disposés à vous payer 100 d'or en échange du droit d'y construire une forteresse.\n\nPax Christi,\nGrand Maître [target_grandmaster.GetFirstName];Hochwohlgeborener [Root.GetTitledFirstName], die Ritter des Heiligen Jakob brauchen weitere Burgen zur Ausbildung von Truppen und zur Erzeugung von Einnahmen. Ich habe erfahren, dass es in Eurem Reich einen geeigneten Standort gibt, nämlich in [target_province.GetName]. Ich zahle Euch 100 Gold für das Recht, dort eine Burg zu errichten.\n\nDer Friede des Herrn sei mit Euch!\nGroßmeister [target_grandmaster.GetFirstName];;Mi justo [Root.GetTitledFirstName], los Caballeros de Santiago necesitan más castillos para entrenar tropas y obtener ingresos para sostenerse. Hay un lugar adecuado en su heredad, en [target_province.GetName] para ser más precisos. Estoy dispuesto a pagarle 100 oros a cambio del derecho a construir allí una fortaleza.\n\nPax Christi,\nGran Maestre [target_grandmaster.GetFirstName];;;;;;;;;x
EVTDESC_SOA_2654;The Knights of Santiago have constructed a castle in [Root.GetName]!;L'Ordre de Santiago a construit un château en [Root.GetName] !;Die Jakobsritter haben in [Root.GetName] eine Burg errichtet!;;¡Los Caballeros de Santiago han construido un castillo en [Root.GetName]!;;;;;;;;;x
