#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTDESC69000;The lifestyle of a childless courtier has made me suspect that he fancies other men!;Compte tenu de la vie qu'il mène, je soupçonne un courtisan sans enfant de préférer les autres hommes !;Die Lebensweise eines kinderlosen Höflings lässt mich vermuten, dass er Männern zugeneigt ist!;;¡Sospecho que un cortesano que no tiene hijos se siente atraído por otros hombres!;;;;;;;;;x
EVTTOOLTIP69021;[Root.GetTitledFirstName] ask [This.GetTitledFirstName] about his impotence;[Root.Get_Le_TitledFirstName] demande [This.Get_au_TitledFirstName] s'il est impuissant.;[Root.GetTitledFirstName] befragt [This.GetTitledFirstName] über seine Impotenz;;[Root.GetTitledFirstName] le pregunta a [This.GetTitledFirstName] si es impotente;;;;;;;;;x
EVTTOOLTIP69022;If the secret will remain secret, then [This.GetTitledFirstName] have to pay...;S'il veut garder son secret, [This.Get_le_TitledFirstName] va devoir payer...;Wenn das Geheimnis geheim bleiben soll, dann muss [This.GetTitledFirstName] bezahlen ...;;Si quiere guardar su secreto, [This.GetTitledFirstName] deberá pagar...;;;;;;;;;x
EVTTOOLTIP69031;[This.GetTitledFirstName] is confronted about his adultery by [Root.GetTitledFirstName];[Root.Get_Le_TitledFirstName] interroge [This.Get_le_TitledFirstName] sur son adultère.;[This.GetTitledFirstName] wird von [Root.GetTitledFirstName] wegen seines Ehebruchs konfrontiert;;[This.GetTitledFirstName] es interrogado sobre su adulterio por [Root.GetTitledFirstName];;;;;;;;;x
EVTTOOLTIP69032;[This.GetTitledFirstName] might decide to tell your wife [Root.Spouse.GetTitledFirstName];[This.Get_Le_TitledFirstName] risque de tout dire à votre femme, [Root.Spouse.Get_le_TitledFirstName].;[This.GetTitledFirstName] könnte beschließen, zu Eurer Frau [Root.Spouse.GetTitledFirstName] zu gehen;;[This.GetTitledFirstName] podría decírselo a tu esposa [Root.Spouse.GetTitledFirstName];;;;;;;;;x
EVTTOOLTIP69033;I should tell his wife [From.Spouse.GetTitledFirstName] about his affair;Je devrais tout dire à sa femme, [From.Spouse.Get_le_TitledFirstName].;Ich sollte seiner Frau [From.Spouse.GetTitledFirstName] von seiner Affäre berichten;; Debería contarle su aventura a su esposa [From.Spouse.GetTitledFirstName];;;;;;;;;x
EVTTOOLTIP69034;[Root.GetTitledFirstName] is mad as hell at [Root.Spouse.GetTitledFirstName];[Root.Get_Le_TitledFirstName] est dans une colère noire contre [Root.Spouse.Get_le_TitledFirstName].;[Root.GetTitledFirstName] ist auf [Root.Spouse.GetTitledFirstName] wahnsinnig wütend;;[Root.GetTitledFirstName] está enfadadísima con [Root.Spouse.GetTitledFirstName];;;;;;;;;x
EVTTOOLTIP69035;[Root.GetTitledFirstName] forgives [Root.Spouse.GetTitledFirstName] little indiscretion;[Root.Get_Le_TitledFirstName] pardonne le petit écart de conduite [Root.Spouse.Get_du_TitledFirstName].;[Root.GetTitledFirstName] verzeiht [Root.Spouse.GetTitledFirstName]s kleinen Fehltritt;;[Root.GetTitledFirstName] perdona a [Root.Spouse.GetTitledFirstName] su pequeña indiscreción;;;;;;;;;x
EVTTOOLTIP69036;[This.GetTitledFirstName] is forced to pay [Root.GetTitledFirstName] for [Root.GetHerHis] silence;[This.Get_Le_TitledFirstName] est obligé d'acheter le silence [Root.Get_du_TitledFirstName].;[This.GetTitledFirstName] wird gezwungen, [Root.GetTitledFirstName] für [Root.GetHerHis] Schweigen zu bezahlen;;[This.GetTitledFirstName] es obligado a pagar a [Root.GetTitledFirstName] por su silencio;;;;;;;;;x
EVTTOOLTIP69041;[This.GetTitledFirstName] is confronted about occultism;[This.Get_Le_TitledFirstNameJ] se livre à des sciences occultes.;[This.GetTitledFirstName] wird wegen Okkultismus konfrontiert;;[This.GetTitledFirstName] es interrogado sobre el ocultismo;;;;;;;;;x
EVTTOOLTIP69042;[This.GetTitledFirstName] is blackmailed by [Root.GetTitledFirstName];[This.Get_Le_TitledFirstName] fait l'objet d'un chantage de la part [Root.Get_du_TitledFirstName].;[This.GetTitledFirstName] wird von [Root.GetTitledFirstName] erpresst;;[This.GetTitledFirstName] es chantajeado por [Root.GetTitledFirstName];;;;;;;;;x
EVTTOOLTIP69051;[Root.job_chancellor.GetTitledFirstName] is chastised about [Root.job_chancellor.GetHerHis] lack of diplomatic skill;[Root.job_chancellor.Get_Le_TitledFirstName] se voit reprocher son manque de compétences diplomatiques.;[Root.job_chancellor.GetTitledFirstName] wird wegen [Root.job_chancellor.GetHerHis]er mangelnden Diplomatiefähigkeit gescholten;;[Root.job_chancellor.GetTitledFirstName] es reprendido por su falta de capacidad diplomática;;;;;;;;;x
EVTTOOLTIP69053;[Root.job_marshal.GetTitledFirstName] is chastised about [Root.job_marshal.GetHerHis] lack of martial skill;[Root.job_marshal.Get_Le_TitledFirstName] se voit reprocher son manque de compétences martiales.;[Root.job_marshal.GetTitledFirstName] wird wegen [Root.job_marshal.GetHerHis]er mangelnden Kriegskunstfähigkeit gescholten;;[Root.job_marshal.GetTitledFirstName] es reprendido por su falta de habilidad militar;;;;;;;;;x
EVTTOOLTIP69055;[Root.job_treasurer.GetTitledFirstName] is chastised about [Root.job_treasurer.GetHerHis] lack of stewardship;[Root.job_treasurer.Get_Le_TitledFirstName] se voit reprocher son inaptitude pour l'intendance.;[Root.job_treasurer.GetTitledFirstName] wird wegen [Root.job_treasurer.GetHerHis]er mangelnden Verwaltungsfähigkeit gescholten;;[Root.job_treasurer.GetTitledFirstName] es reprendido por su falta de responsabilidad;;;;;;;;;x
EVTTOOLTIP69057;[Root.job_spymaster.GetTitledFirstName] is chastised about [Root.job_spymaster.GetHerHis] lack of intrigue;[Root.job_spymaster.Get_Le_TitledFirstName] se voit reprocher son manque de compétences en matière d'intrigue.;[Root.job_spymaster.GetTitledFirstName] wird wegen [Root.job_spymaster.GetHerHis]er mangelnden Intrigenfähigkeit gescholten;;[Root.job_spymaster.GetTitledFirstName] es reprendido por su falta de capacidad para descubrir intrigas;;;;;;;;;x
EVTTOOLTIP69059;[Root.job_spiritual.GetTitledFirstName] is chastised about [Root.job_spiritual.GetHerHis] lack of learning and [Player.Religion.GetPietyName];[Root.job_spiritual.Get_Le_TitledFirstName] se voit reprocher son manque de connaissances et de [Player.Religion.GetPietyName].;[Root.job_spiritual.GetTitledFirstName] wird wegen mangelnder Bildung und [Player.Religion.GetPietyName] gescholten;;[Root.job_spiritual.GetTitledFirstName] es reprendido por su falta de conocimientos y [Player.Religion.GetPietyName];;;;;;;;;x
EVTTOOLTIP69061;[This.GetTitledFirstName] is confronted about [This.GetHerHis] seemingly lack of piety by [Root.GetTitledFirstName];[Root.Get_Le_TitledFirstName] a demandé [This.Get_au_TitledFirstName] de s'expliquer sur son apparent manque de piété.;[Root.GetTitledFirstName] konfrontiert [This.GetTitledFirstName] wegen mangelnder Pietät;;[This.GetTitledFirstName] es interrogado por [Root.GetTitledFirstName] acerca de su aparente falta de devoción;;;;;;;;;x
EVTTOOLTIP69062;[This.GetTitledFirstName] is blackmailed by [Root.GetTitledFirstName];[This.Get_Le_TitledFirstName] fait l'objet d'un chantage de la part [Root.Get_du_TitledFirstName];[This.GetTitledFirstName] wird von [Root.GetTitledFirstName] erpresst;;[This.GetTitledFirstName] es chantajeado por [Root.GetTitledFirstName];;;;;;;;;x
EVTTOOLTIP69071;[This.GetTitledFirstName]'s cowardice is confronted by [Root.GetTitledFirstName];La lâcheté [This.Get_du_TitledFirstName] est pointée du doigt par [Root.Get_le_TitledFirstName].;[Root.GetTitledFirstName] konfrontiert [This.GetTitledFirstName] wegen dessen Feigheit;;[This.GetTitledFirstName] es interrogado por [Root.GetTitledFirstName] acerca de su cobardía;;;;;;;;;x
EVTTOOLTIP69072;[This.GetTitledFirstName]'s cowardise is exploited by [Root.GetTitledFirstName];La lâcheté [This.Get_du_TitledFirstName] est exploitée par [Root.Get_le_TitledFirstName].;[This.GetTitledFirstName]s Feigheit wird von [Root.GetTitledFirstName] ausgebeutet;;[Root.GetTitledFirstName] se aprovecha de la cobardía de [This.GetTitledFirstName];;;;;;;;;x
EVTTOOLTIP69080;All courtiers will suspect §Y[This.GetTitledFirstName]§! of sodomy;Tous les courtisans soupçonneront [This.Get_le_TitledFirstNameJ] de sodomie;Alle Höflinge verdächtigen §Y[This.GetTitledFirstName]§! der Sodomie;;Todos los cortesanos sospecharán que §Y[This.GetTitledFirstName]§! comete sodomía;;;;;x
EVTTOOLTIP69081;All courtiers will suspect §Y[This.GetTitledFirstName]§! of incest;Tous les courtisans soupçonneront [This.Get_le_TitledFirstNameJ] d'inceste;Alle Höflinge verdächtigen §Y[This.GetTitledFirstName]§! der Inzucht;;Todos los cortesanos sospecharán que §Y[This.GetTitledFirstName]§! comete incesto;;;;;x
EVTTOOLTIP69082;All courtiers will suspect §Y[This.GetTitledFirstName]§! of impotence;Tous les courtisans soupçonneront [This.Get_le_TitledFirstNameJ] d'impuissance;Alle Höflinge verdächtigen §Y[This.GetTitledFirstName]§! der Impotenz;;Todos los cortesanos sospecharán que §Y[This.GetTitledFirstName]§! sufre impotencia;;;;;x
EVTTOOLTIP69083;All courtiers will suspect §Y[This.GetTitledFirstName]§! of adultery;Tous les courtisans soupçonneront [This.Get_le_TitledFirstNameJ] d'adultère;Alle Höflinge verdächtigen §Y[This.GetTitledFirstName]§! des Ehebruchs;;Todos los cortesanos sospecharán que Y[This.GetTitledFirstName]§! comete adulterio;;;;;x
EVTTOOLTIP69084;All courtiers will suspect §Y[This.GetTitledFirstName]§! of occultism;Tous les courtisans soupçonneront [This.Get_le_TitledFirstNameJ] d'occultisme;Alle Höflinge verdächtigen §Y[This.GetTitledFirstName]§! des Okkultismus;;Todos los cortesanos sospecharán que §Y[This.GetTitledFirstName]§! realiza ocultismo;;;;;x
EVTTOOLTIP69085;All courtiers will know that §Y[Root.GetTitledFirstName]§! does not trust [Root.GetMyChancellorName] §Y[This.GetTitledFirstName]§!;Tous les courtisans sauront que [Root.Get_le_TitledFirstNameJ] ne fait pas confiance à [Root.GetMyChancellorName] §Y[This.GetTitledFirstName]§!;Alle Höflinge wissen, dass §Y[Root.GetTitledFirstName]§! [Root.GetMyChancellorName] §Y[This.GetTitledFirstName]§! nicht traut;;Todos los cortesanos sabrán que §Y[Root.GetTitledFirstName]§! no confía en [Root.GetMyChancellorName] §Y[This.GetTitledFirstName]§!;;;;;x
EVTTOOLTIP69086;All courtiers will know that §Y[Root.GetTitledFirstName]§! does not trust Marshal §Y[This.GetTitledFirstName]§!;Tous les courtisans sauront que [Root.Get_le_TitledFirstNameJ] ne fait pas confiance au maréchal §Y[This.GetTitledFirstName]§!;Alle Höflinge wissen, dass §Y[Root.GetTitledFirstName]§! Marschall §Y[This.GetTitledFirstName]§! nicht traut;;Todos los cortesanos sabrán que §Y[Root.GetTitledFirstName]§! no confía en el mariscal §Y[This.GetTitledFirstName]§!;;;;;x
EVTTOOLTIP69087;All courtiers will know that §Y[Root.GetTitledFirstName]§! does not trust Steward §Y[This.GetTitledFirstName]§!;Tous les courtisans sauront que [Root.Get_le_TitledFirstNameJ] ne fait pas confiance à l'intendant §Y[This.GetTitledFirstName]§!;Alle Höflinge wissen, dass §Y[Root.GetTitledFirstName]§! Verwalter §Y[This.GetTitledFirstName]§! nicht traut;;Todos los cortesanos sabrán que §Y[Root.GetTitledFirstName]§! no confía en el administrador §Y[This.GetTitledFirstName]§!;;;;;x
EVTTOOLTIP69088;All courtiers will know that §Y[Root.GetTitledFirstName]§! does not trust Spymaster §Y[This.GetTitledFirstName]§!;Tous les courtisans sauront que [Root.Get_le_TitledFirstNameJ] ne fait pas confiance au maître-espion §Y[This.GetTitledFirstName]§!;Alle Höflinge wissen, dass §Y[Root.GetTitledFirstName]§! Hofspitzel §Y[This.GetTitledFirstName]§! nicht traut;;Todos los cortesanos sabrán que §Y[Root.GetTitledFirstName]§! no confía en el jefe de espías §Y[This.GetTitledFirstName]§!;;;;;x
EVTTOOLTIP69089;All courtiers will know that §Y[Root.GetTitledFirstName]§! does not trust [Root.GetLordSpiritualName] [This.GetTitledFirstName];Tous les courtisans sauront que [Root.Get_le_TitledFirstName] ne fait pas confiance au [Root.GetLordSpiritualName], [This.Get_le_TitledFirstName].;Alle Höflinge werden wissen, dass [Root.GetTitledFirstName] [Root.GetLordSpiritualName] [This.GetTitledFirstName] nicht vertraut;;Todos los cortesanos sabrán que [Root.GetTitledFirstName] no confía en [Root.GetLordSpiritualName] [This.GetTitledFirstName];;;;;;;;;x
EVTTOOLTIP69090;All courtiers will think §Y[This.GetTitledFirstName]§! lacks piety;Tous les courtisans penseront que [This.Get_le_TitledFirstNameJ] manque de piété;Alle Höflinge werden denken, dass es §Y[This.GetTitledFirstName]§! an Pietät mangelt;;Todos los cortesanos creerán que a §Y[This.GetTitledFirstName]§! carecer de piedad;;;;;x
EVTTOOLTIP69091;All courtiers will think §Y[This.GetTitledFirstName]§! is a coward;Tous les courtisans penseront que [This.Get_le_TitledFirstNameJ] est lâche;Alle Höflinge werden denken, dass §Y[This.GetTitledFirstName]§! ein Feigling ist;;Todos los cortesanos creerán que §Y[This.GetTitledFirstName]§! es cobarde;;;;;x
