# Slots
ceremonial_torso;Ceremonial Gown;Robe de cérémonie;Zeremonielles Kleid;;Vestimenta ceremonial;;;;;;;;;x
saint_finger_name;Finger of Saint [target_burial_site.province_saint.GetFirstNameWithNick];Doigt de sain[target_burial_site.province_saint.Get_E] [target_burial_site.province_saint.GetFirstNameWithNick];Finger [target_burial_site.province_saint.Getdesder] Heiligen [target_burial_site.province_saint.GetFirstNameWithNick];;Dedo de san[target_burial_site.province_saint.GetXTa] [target_burial_site.province_saint.GetFirstNameWithNick];;;;;x
saint_skull_1_name;Skull of Saint [target_burial_site.province_saint.GetFirstNameWithNick];Crâne de sain[target_burial_site.province_saint.Get_E] [target_burial_site.province_saint.GetFirstNameWithNick];Schädel [target_burial_site.province_saint.Getdesder] Heiligen [target_burial_site.province_saint.GetFirstNameWithNick];;Cráneo de san[target_burial_site.province_saint.GetXTa] [target_burial_site.province_saint.GetFirstNameWithNick];;;;;x
saint_skull_2_name;Well Preserved Skull of [target_burial_site.province_saint.GetFirstNameWithNick];Crâne bien préservé de sain[target_burial_site.province_saint.Get_E] [target_burial_site.province_saint.GetFirstNameWithNick];Gut erhaltener Schädel [target_burial_site.province_saint.Getdesder] Heiligen [target_burial_site.province_saint.GetFirstNameWithNick];;Cráneo bien preservado de san[target_burial_site.province_saint.GetXTa] [target_burial_site.province_saint.GetFirstNameWithNick];;;;;x
saintly_bone;Saintly Bone;Os saint;Heiliger Knochen;;Hueso santo;;;;;x
saintly_bone_desc;A bone from a saint.;L'os d'un saint;Der Knochen eines Heiligen.;;El hueso de un santo.;;;;;x
saintly_finger;Saintly Finger;Doigt saint;Heiliger Finger;;Dedo santo;;;;;x
saintly_finger_desc;The finger of a saint.;Le doigt d'un saint.;Der Finger eines Heiligen.;;El dedo de un santo.;;;;;x
saintly_skull_tier_1;Saintly Skull;Crâne saint;Heiliger Schädel;;Calavera santa;;;;;x
saintly_skull_tier_1_desc;A saint's skull.;Le crâne d'un saint.;Der Schädel eines Heiligen.;;El cráneo de un santo.;;;;;x
saintly_skull_tier_2;Saintly Skull;Crâne saint;Heiliger Schädel;;Calavera santa;;;;;x
saintly_skull_tier_2_desc;A well preserved skull of a saint.;Le crâne bien préservé d'un saint.;Ein gut erhaltener Schädel eines Heiligen.;;El cráneo bien preservado de un santo.;;;;;x
saintly_tongue;Saintly Tongue;Langue sainte;Heilige Zunge;;Lengua santa;;;;;x
saintly_tongue_desc;An incorruptible tongue of a saint.;Une langue incorruptible d'un saint.;Die unbestechliche Zunge eines Heiligen.;;La lengua incorrupta de un santo.;;;;;x
sampo;Sampo;Sampo;Sampo;;Sampo;;;;;;;;;x
sampo_desc;A strangely well-crafted quern, bearing a striking resemblance to the Mill of Fortune. It is said to be able to produce gold, flour and salt from nothing at all.;Un moulin à bras étrangement bien travaillé, ressemblant de façon frappante au Moulin de la Fortune. On dit qu'il est capable de produire de l'or, de la farine et du sel à partir de rien.;Ein ungewöhnlich sorgfältig gearbeiteter Mühlstein mit einer verblüffenden Ähnlichkeit zur Zaubermühle. Wie es heißt, kann sie Gold, Mehl und Salz mahlen, ohne dass man sie jemals füllen müsste.;;Un molinillo de mano sumamente bien elaborado, con un parecido sorprendente al molinillo de la fortuna. Se dice que es capaz de fabricar oro, harina y sal de la nada.;;;;;;;;;x
sarira;Sarira;Sarira;Sarira;;Sarira;;;;;;;;;x
sarira_desc;This is a small crystal like bead that was once retrieved from the ashes of a cremated spiritual master. It is an object of some power and is believed to be able to ward off evil and convey blessings upon those that possess it.;Petit cristal ressemblant à une perle autrefois extrait des cendres d'un maître spirituel incinéré. C'est un objet doté du pouvoir de guérir du mal et de transmettre des bénédictions à ceux qui le possèdent.;Der kleine Kristall, der an eine Perle erinnert, wurde einst aus der Asche eines eingeäscherten spirituellen Meisters geborgen. Er gilt als magisch und soll das Böse fernhalten sowie den Besitzer segnen können.;;Este cristal del tamaño de una cuenta se recuperó de entre las cenizas de un maestro espiritual incinerado. Es un objeto de poder y se cree que es capaz de proteger del mal y bendecir a aquellos que lo posean.;;;;;;;;;x
sariraka_actual_body_part;Sariraka Bone;Os Sariraka;Sarirakaknochen;;Hueso Sariraka;;;;;;;;;x
sariraka_actual_body_part_desc;This is a bone that once belonged to the Buddha himself. They serve as Cetiya, or a reminder of the great Gautama Buddha.;C'est un os qui appartenait autrefois à Bouddha. Ils servent de « cetiya », ou un mémorial du grand Bouddha Gautama.;Hierbei handelt es sich um einen Knochen, der von Buddha selbst stammen soll. Seine Funktion ist die eines Cetiya, eines Erinnerungsstücks an den großen Gautama Buddha.;;"Este hueso perteneció al mismísimo Buda. Sirve de "cetiya", o como recordatorio del gran Buda Gautama.";;;;;;;;;x
scepter_african_1;Carved Totem;Totem ciselé;Geschnitztes Totem;;Tótem tallado;;;;;;;;;x
scepter_african_1_desc;A priceless totem representing the guardian spirit of a notable tribe, favored by the gods of war.;Un totem inestimable représentant l'esprit protecteur d'une tribu notable, favorisée par les dieux de la guerre.;Ein unbezahlbares Totem, das den Schutzgeist eines bemerkenswerten Stammes darstellt, der von den Kriegsgöttern bevorzugt wird.;;Un tótem de valor incalculable que representa el espíritu guardián de una tribu notable, favorecida por los dioses de la guerra.;;;;;;;;;x
scepter_african_1_random_a;[Root.GetOnlyDynastyName] Family Totem;Totem familial [Root.GetOnlyDynastyName];Familientotem der [Root.GetOnlyDynastyName];;Tótem familiar de [Root.GetOnlyDynastyName];;;;;;;;;x
scepter_african_1_random_b;Totem of [Root.Capital.GetName];Totem de [Root.Capital.GetName];Totem von [Root.Capital.GetName];;Tótem de [Root.Capital.GetName];;;;;;;;;x
scepter_african_1_random_c;Great Totem of [Root.GetFirstName];Grand totem de [Root.GetFirstName];Großes Totem von [Root.GetFirstName];;Gran tótem de [Root.GetFirstName];;;;;;;;;x
scepter_african_1_random_d;War-Totem of [Root.PrimaryTitle.GetName];Totem de guerre [Root.PrimaryTitle.Get_du_Realm];Kriegstotem von [Root.PrimaryTitle.GetName];;Tótem de guerra de [Root.PrimaryTitle.GetName];;;;;;;;;x
scepter_african_2;Ivory Idol;Idole en ivoire;Elfenbeingötze;;Ídolo de marfil;;;;;;;;;x
scepter_african_2_desc;A priceless idol representing the guardian spirit of a notable tribe, favored by the gods of war.;Une idole inestimable représentant l'esprit protecteur d'une tribu notable, favorisée par les dieux de la guerre.;Ein unbezahlbarer Götze, das den Schutzgeist eines bemerkenswerten Stammes darstellt, der von den Kriegsgöttern bevorzugt wird.;;Un ídolo de valor incalculable que representa el espíritu guardián de una tribu notable, favorecida por los dioses de la guerra.;;;;;;;;;x
scepter_african_2_random_a;Howling Tusk of [Root.GetFirstName];Défense hurlante de [Root.GetFirstName];Heulender Hauer von [Root.GetFirstName];;Colmillo aullador de [Root.GetFirstName];;;;;;;;;x
scepter_african_2_random_b;Wind of [Root.PrimaryTitle.GetName];Souffle [Root.PrimaryTitle.Get_du_Realm];Wind von [Root.PrimaryTitle.GetName];;Viento de [Root.PrimaryTitle.GetName];;;;;;;;;x
scepter_african_2_random_c;Ivory Man of [Root.Capital.GetName];Homme d'Ivoire de [Root.Capital.GetName];Elfenbeinmann von [Root.Capital.GetName];;Hombre de marfil de [Root.Capital.GetName];;;;;;;;;x
scepter_african_2_random_d;Screeching Idol of [Root.Capital.GetName];Idole hurlante de [Root.Capital.GetName];Kreischender Götze von [Root.Capital.GetName];;Ídolo chillón de [Root.Capital.GetName];;;;;;;;;x
scepter_african_3;Rainstick;Bâton de pluie;Regenstab;;Palo de lluvia;;;;;;;;;x
scepter_african_3_desc;A wooden tube filled with small pebbles and enchanted with ancient spirit-magic.;Un tube de bois rempli de petits cailloux et enchanté par de la magie ancienne.;Ein Holzrohr, dass mit kleinen Kieselsteinen gefüllt und alter Geistermagie verzaubert ist.;;Un tubo de madera lleno de guijarros y encantado con antigua magia espiritual.;;;;;;;;;x
scepter_african_3_random_a;Thunderstick of [Root.Capital.GetName];Bâton du Tonnerre de [Root.Capital.GetName];Donnerstab von [Root.Capital.GetName];;Palo de trueno de [Root.Capital.GetName];;;;;;;;;x
scepter_african_3_random_b;Rainstick of [Root.Capital.GetName];Bâton de Pluie de [Root.Capital.GetName];Regenstab von [Root.Capital.GetName];;Palo de lluvia de [Root.Capital.GetName];;;;;;;;;x
scepter_african_3_random_c;[Root.GetOnlyDynastyName] Weatherstaff;Bâton du Temps [Root.GetOnlyDynastyName];Wetterstab der [Root.GetOnlyDynastyName];;Bastón del clima de [Root.GetOnlyDynastyName];;;;;;;;;x
scepter_african_3_random_d;[Root.GetFirstName]'s Windcaller;Invoque-Vent de [Root.GetFirstName];Wundrufer von [Root.GetFirstName];;El llamador de viento de [Root.GetFirstName].;;;;;;;;;x
scepter_bon_fylkir;Scepter of Tranquility;Sceptre de Tranquillité;Szepter der Ruhe;;Cetro de la tranquilidad;;;;;;;;x
scepter_bon_fylkir_desc;Regalia representing the authority and enlightenment of the [bon_pagan_reformed.GetName]'s divine leader.;L'insigne représentant l'autorité éclairée du chef divin de la foi [bon_pagan_reformed.GetName].;Ornate repräsentieren die Autorität und Erleuchtung des göttlichen [bon_pagan_reformed.GetName]en Anführers.;;Atributo que representa la autoridad e ilustración del líder divino [bon_pagan_reformed.GetName].;;;;;;;;x
scepter_hellenic_fylkir;Pontifical Scepter;Sceptre pontifical;Päpstliches Szepter;;Cetro pontificio;;;;;;;;x
scepter_hellenic_fylkir_desc;Regalia representing the dignity and power of the divine emperor of the Hellenes.;L'insigne représentant le titre et le pouvoir de l'empereur divin des Hellènes.;Ornate repräsentieren die Würde und Macht des göttlichen hellenischen Kaisers.;;Atributo que representa la autoridad e ilustración del emperador divino de los helenos.;;;;;;;;x
scimitar_tier_1;Scimitar;Cimeterre;Krummsäbel;;Cimitarra;;;;;;;;;x
scimitar_tier_1_desc;A scimitar of finer quality than your common blade.;Un cimeterre de meilleure qualité que la lame commune.;Ein Krummsäbel in besserer Qualität als die normale Blankwaffe.;;Una cimitarra de mejor calidad que una espada común.;;;;;;;;;x
scimitar_tier_1_new;Scimitar;Cimeterre;Krummsäbel;;Cimitarra;;;;;;;;;x
scimitar_tier_1_new_desc;A well crafted scimitar;Un cimeterre bien conçu.;Ein gut verarbeiteter Krummsäbel.;;Una cimitarra bien hecha.;;;;;;;;;x
scimitar_tier_2;Fine Scimitar;Cimeterre supérieur;Guter Krummsäbel;;Cimitarra refinada;;;;;;;;;x
scimitar_tier_2_desc;A well-forged blade that can stand against most weapons.;Une lame bien forgée qui peut résister à la plupart des armes.;Eine kompetent geschmiedete Klinge, die mit den meisten Waffen mithalten kann.;;Una hoja bien forjada que puede resistir contra casi cualquier arma.;;;;;;;;;x
scimitar_tier_2_new;Scimitar;Cimeterre;Krummsäbel;;Cimitarra;;;;;;;;;x
scimitar_tier_2_new_desc;A scimitar crafted by a grandmaster.;Un cimeterre conçu par un grand maître.;Ein Krummsäbel, der von einem Großmeister gefertigt wurde.;;Una cimitarra forjada por un gran maestro.;;;;;;;;;x
scimitar_tier_3_conquest;Scimitar of Conquest;Le Cimeterre de Conquête;Säbel der Eroberung;;Cimitarra de Conquista;;;;;;;;;x
scimitar_tier_3_conquest_desc;Forged by the best of craftsmen, the Scimitar of Conquest is a blade of victory and triumph. Both handle and hilt are covered in diamonds.;Forgé par le meilleur des artisans, le Cimeterre de Conquête est une lame de victoire et de triomphe. La poignée est recouverte de diamants.;Der von den Meistern ihres Faches geschmiedete Krummsäbel der Eroberung ist eine Klinge, die für Sieg und Triumph steht. Knauf und Heft sind von Diamanten bedeckt.;;Forjada por el mejor artesano, la Cimitarra de Conquista es una hoja hecha para la victoria y el triunfo. Tanto el pomo como el puño están cubiertos de diamantes.;;;;;;;;;x
scimitar_tier_3_fortune;Scimitar of Fortune;Le Cimeterre de Fortune;Krummsäbel des Glücks;;Cimitarra de la Fortuna;;;;;;;;;x
scimitar_tier_3_fortune_desc;A blade of the finest steel and a handle inlaid with gold. Named the Scimitar of Fortune, it is said to bestow the owner with luck.;Une lame du meilleur acier et une poignée incrustée d'or. Nommé le Cimeterre de Fortune, il est réputé conférer de la chance à son détenteur.;Eine Klinge aus bestem Stahl, in deren Heft Gold eingearbeitet wurde. Wie es heißt, soll der Träger dieses Säbels das Glück auf seiner Seite haben.;;Una hoja del acero más refinado y una empuñadura taraceada con oro. Se dice que esta Cimitarra de Fortuna trae suerte a su propietario.;;;;;;;;;x
scimitar_tier_3_golden;The Golden Scimitar;Le Cimeterre d'Or;Goldener Krummsäbel;;La Cimitarra Dorada;;;;;;;;;x
scimitar_tier_3_golden_desc;Named The Golden Scimitar, it is a weapon of exceptional quality forged by a master craftsman. The handle is adorned with ornaments made of gold and jewels.;Nommé le Cimeterre d'Or, c'est une arme d'une qualité exceptionnelle forgée par un maître-artisan. Les ornements du manche sont faits d'or et de joyaux.;Diese Waffe namens "Goldener Krummsäbel" wurde in außerordentlicher Qualität von einem Meister seines Faches geschmiedet. Heft und Knauf sind mit Ornamenten aus Gold und Edelsteinen verziert.;;Esta arma, llamada la Cimitarra Dorada, es de una calidad excepcional y está forjada por un maestro artesano. La empuñadura está adornada con oro y joyas.;;;;;;;;;x
scimitar_tier_4_conquest;Scimitar of Death;Cimeterre de la Mort;Krummsäbel des Todes;;Cimitarra de la Muerte;;;;;;;;;x
scimitar_tier_4_conquest_desc;A legendary scimitar rumored to be the embodiment of death.;Un cimeterre légendaire qui serait l'incarnation de la mort.;Ein legendärer Krummsäbel, der angeblich dem Tod selbst gehörte.;;Una cimitarra legendaria, se dice es la encarnación de la Muerte.;;;;;;;;;x
scimitar_tier_4_fortune;Scimitar of the Night;Cimeterre de la Nuit;Krummsäbel der Nacht;;Cimitarra de la Noche;;;;;;;;;x
scimitar_tier_4_fortune_desc;A legendary scimitar rumored to be infused with all the souls of those who have died during the night.;Un cimeterre légendaire dont la rumeur veut qu'il soit imprégné de toutes les âmes de ceux qui sont morts pendant la nuit.;Ein legendärer Krummsäbel, der angeblich mit den Seelen derer, die in der Nacht gestorben sind, gefüllt ist.;;Una cimitarra legendaria supuestamente imbuida con el alma de quienes murieron de noche.;;;;;;;;;x
scimitar_tier_4_golden;Golden Vengeance;Vengeance Dorée;Goldene Vergeltung;;Venganza dorada;;;;;;;;;x
scimitar_tier_4_golden_desc;A legendary scimitar crafted out of gold.;Un cimeterre légendaire en or.;Ein legendärer Krummsäbel aus Gold;;Una cimitarra legendaria hecha de oro;;;;;;;;;x
seal_of_mohammad;Seal of Mohammad;Sceau de Mahomet;Siegel von Mohammed;;Sello de Mahoma;;;;;;;;;x
seal_of_mohammad_desc;This is the seal the Prophet used to sign and seal any letters sent by him, so that none would doubt the author's identity.;C'est le sceau que le Prophète a utilisé pour signer et sceller toutes ses lettres, de sorte que personne ne douterait de l'identité de l'auteur.;Das ist das Siegel des Propheten, mit dem er seine Briefe versiegelte, sodass unzweifelhaft feststand, von wem sie stammten.;;Este es el sello que el profeta usó para firmar y sellar cualquier carta enviada por él para que nadie dudase de la identidad del autor.;;;;;;;;;x
seal_of_solomon;Seal of Solomon;Sceau de Salomon;Siegel von Salomon;;Sello de Salomón;;;;;;;;;x
seal_of_solomon_desc;This engraved, brass and iron signet ring sports the Seal of Solomon: a hexagram or Star of David. According to legend, it allows its possessor to command demons!;Cette chevalière gravée, en laiton et en fer arbore le Sceau de Salomon: un hexagramme appelé « étoile de David ». Selon la légende, elle permet à son possesseur de commander des démons !;Dieser gravierte Siegelring aus Eisen und Bronze trägt das Siegel Salomons: ein Hexagramm, auch Davidstern genannt. Der Legende nach erhält der Besitzer Macht über Dämonen.;;Este sello grabado de bronce y de hierro lleva el sello de Salomón: un hexagrama o estrella de David. ¡Según la leyenda, permite que su poseedor domine a los demonios!;;;;;;;;;x
seamless_robe_of_jesus;Seamless Robe of Jesus;Tunique de Jésus;Heiliger Rock;;Santa túnica;;;;;;;;;x
seamless_robe_of_jesus_desc;The woven tunic that Jesus wore before his crucifixion. Rather than divide it into four parts, like Christ's other garments, the tunic was without seams, and so was kept whole by the soldiers who had crucified him.;La tunique tissée que Jésus portait avant sa crucifixion. Plutôt que de la diviser en quatre parties, comme les autres vêtements du Christ, la tunique était sans coutures, et a ainsi été gardée entière par les soldats qui l'avait crucifié.;Das Untergewand, das Jesus vor seiner Kreuzigung trug. Anders als der Rest seiner Kleidung, der in vier Teile geteilt wurde, blieb es in einem Stück erhalten, da es ohne Naht durchgewebt war und einem der Soldaten als Ganzes zugelost wurde.;;La túnica de tela que Jesús llevó antes de su crucifixión. En lugar de dividirla en cuatro partes al igual que las demás vestimentas de Cristo, la túnica carecía de costuras, así que los soldados que lo crucificaron la mantuvieron entera.;;;;;;;;;x
shoddy_recipes;Shoddy Recipe Collection, by [From.OriginalOwner.GetTitledFirstName];Collection de mauvaises recettes, par [From.OriginalOwner.Get_le_TitledFirstName];Rezepte [From.OriginalOwner.GetFirstName]s;;Chapucera colección de recetas de [From.OriginalOwner.GetTitledFirstName];;;;;;;;;x
shoddy_recipes_desc;This beautiful leather-bound tome is a curious rarity for any collector of oddities. Read it for an insight into the disorganized mind of [From.OriginalOwner.GetTitledFirstName].;Ce beau volume relié en cuir est une chose rare et curieuse pour tout collectionneur d'étrangetés. Lisez-le pour connaître l'âme troublée [From.OriginalOwner.Get_du_TitledFirstName].;Dieser wunderschöne, aus Leder gebundene Buchband ist eine Seltenheit für jeden Sammler von Kuriositäten. Lesen Sie es, um einen Einblick in den chaotischen Geist von [From.OriginalOwner.GetTitledFirstName] zu erhalten.;;Este volumen hermosamente encuadernado en cuero es una antigüedad curiosa para cualquier coleccionista de rarezas. Hay que leerlo para conocer la mente desordenada de [From.OriginalOwner.GetTitledFirstName].;;;;;;;;;x
shroud_of_jesus;Shroud of Jesus;Linceul de Jésus;Grabtuch;;Sábana Santa;;;;;;;;;x
shroud_of_jesus_desc;The burial shroud that Jesus was wrapped in upon his death. It still bears the clear image of a man, including a hauntingly-real imprint of a face.;Le linceul dans lequel Jésus a été enveloppé à sa mort. Il porte encore l'image claire d'un homme, y compris la forme étonnamment réelle d'un visage.;Das Grabtuch, in das Jesus nach seinem Tod eingewickelt wurde. Nach wie vor sichtbar ist das Abbild eines Mannes, einschließlich eines schauerlich realen Abdrucks seiner Züge.;;El sudario que envolvió a Jesús tras su muerte. Aún guarda la clara silueta de un hombre, incluida la impronta increíblemente real de un rostro.;;;;;;;;;x
silk_shroud;Silk Shroud;Linceul en soie;Seidenumhang;;Velo de seda;;;;;;;;;x
silk_shroud_desc;Rumored to have belonged to the renowned Wu Zetian, Empress of China, this masterfully crafted silk shroud shimmers in the light and draws the attention of all who see it.;Réputé avoir appartenu à Wu Zetian, Impératrice de Chine, ce linceul en soie réalisé de main de maître chatoie et captive tous ceux qui l'aperçoivent.;Gerüchten zufolge hat dieses meisterhaft gearbeitete Seidenkleid Wu Zetian, der Kaiserin von China gehört. Es schimmert im Licht und zieht die Aufmerksamkeit von allen an, die es sehen.;;Este velo de seda magistralmente confeccionado, del que se rumorea que perteneció a la famosa Wu Zetian, emperatriz de China, centellea a la luz y atrae la atención de todo el que lo ve.;;;;;;;;;x
silver_bracelets;Silver Bracelets;Bracelets en argent;Silberne Armreife;;Brazaletes de plata;;;;;;;;;x
silver_bracelets_desc;These heavy silver bracelets are beautifully engraved and adorned with ivory and glimmering crystals.;Ces lourds bracelets en argent sont magnifiquement gravés et ornés d'ivoire et de cristaux scintillants.;Diese schweren Armreife aus Silber sind mit herrlichen Gravuren, Elfenbein und schimmernden Kristallen geschmückt.;;Estos brazaletes de plata maciza están bellamente grabados y adornados con marfil y cristales relucientes.;;;;;;;;;x
silver_staff;Silver Staff;Bâton en argent;Silberstab;;Bastón de plata;;;;;;;;;x
silver_staff_desc;This silver staff is covered in the most intricate engravings.;Ce bâton en argent est recouvert de gravures très complexes.;Dieser silberne Stab ist mit unglaublich kunstvollen Gravuren bedeckt.;;Este bastón plateado está cubierto de elaboradísimos grabados.;;;;;;;;;x
skull_cup;Skull Cup;Crâne en guise de coupe;Schädelbecher;;Copa de cráneo;;;;;;;;;x
skull_cup_desc;Rather ornate, this drinking cup is clearly made of unusual material. Once a modest trophy, one might notice that the bone of the skull has been finely polished, set in an sturdy fixture, and decorated with precious stones.;Cette coupe est clairement faite de matériaux inhabituels. Autrefois modeste trophée, on peut remarquer que l'os du crâne a été finement poli et décoré de pierres précieuses.;Dieser Trinkbecher ist eindeutig aus einem ungewöhnlichen Material. Man merkt, dass er einst eine bescheidene Trophäe war und der Schädelknocken fein poliert, in eine stabile Halterung und mit Edelsteinen verziert wurde.;;Esta copa, bastante decorada, está hecha de un material muy poco común. Antes un trofeo modesto, se nota que el cráneo fue finamente pulido, fijado a un soporte resistente y adornado con piedras preciosas.;;;;;;;;;x
sparkling_mane;Sparkling Mane;Crinière brillante;Bezaubernde Mähne;;Crin resplandeciente;;;;;;;;;x
sparkling_mane_desc;A lustrous decoration for any activity of festivities, big and small alike.;Un ornement magnifique pour tout événement festif, grand ou petit.;Eine illustre Dekoration für jede Aktivität von Festen, ob groß oder klein.;;Un adorno lustroso para todas clase de festejos, grandes y pequeños por igual.;;;;;;;;;x
spear_of_destiny;Lance of Longinus;Lance de Longinus;Longinus' Lanze;;Lanza de Longino;;;;;;;;;x
spear_of_destiny_desc;The spear that the Roman soldier Longinus thrust into the side of Jesus, as he hung from the cross, to ensure that Christ was dead. The miraculous combination of blood and water flowed from the wound and coated the lance.;La lance que le soldat romain Longinus enfonça dans le flanc de Jésus, pendant qu'il était sur la croix, pour s'assurer que le Christ était mort. La combinaison miraculeuse du sang et de l'eau coulant de la plaie a recouvert la lance.;Der Speer, den der römische Soldat Longinus dem gekreuzigten Jesus in die Seite stach, um zu überprüfen, ob dieser wirklich tot sei. Eine wundersame Mischung aus Wasser und Blut trat aus der Wunde aus und bedeckt seither den Speer.;;La lanza que el soldado romano Longino clavó en el costado de Jesús mientras colgaba de la cruz para asegurarse de que Cristo estaba muerto. La milagrosa mezcla de sangre y agua brotó de la herida y cubrió la lanza.;;;;;;;;;x
speculum_regale;Speculum Regale;Speculum Regale;Speculum Regale;;Speculum Regale;;;;;;;;;x
speculum_regale_desc;An educational work cleverly disguised as a [From.OriginalOwner.GetFatherMother]'s conversation with [From.OriginalOwner.GetHerHis] [From.OriginalOwner.GetDaughterSon].;Un travail instructif intelligemment dissimulé sous la forme d'une conversation entre un[From.OriginalOwner.Get_E] [From.OriginalOwner.GetFatherMother] et s[From.OriginalOwner.GetOnA] [From.OriginalOwner.GetDaughterSon].;Ein pädagogisch wertvolles Werk, das als Konversation zwischen [From.OriginalOwner.GetFatherMother] und [From.OriginalOwner.GetHerHis]em [From.OriginalOwner.GetDaughterSon] verkleidet ist.;;Un trabajo educativo ingeniosamente camuflado como una conversación entre [From.OriginalOwner.GetFatherMother] e [From.OriginalOwner.GetDaughterSon].;;;;;;;;;x
staff_of_majesty;Staff of Majesty;Bâton de Majesté;Majestätsstab;;Bastón de majestad;;;;;;;;;x
staff_of_majesty_2;Staff of Majesty;Bâton de Majesté;Majestätischer Stab;;Bastón de majestad;;;;;;;;;x
staff_of_majesty_2_desc;This heavy gilded staff is engraved with scenes from ancient tales and adorned with both emeralds and ivory.;Ce lourd bâton doré est gravé de scènes de contes anciens et orné d'émeraudes et d'ivoire.;Dieser schwere vergoldete Stab ist mit eingravierten Szenen aus alten Sagen verziert und mit Smaragden und Elfenbein geschmückt.;;Este bastón de oro macizo está grabado con escenas de cuentos antiguos y adornado con esmeraldas y marfil.;;;;;;;;;x
staff_of_majesty_desc;This heavy gilded staff is engraved with scenes from ancient tales and adorned with both emeralds and ivory.;Ce lourd bâton doré est gravé de scènes de contes anciens et orné d'émeraudes et d'ivoire.;Dieser schwere vergoldete Stab ist mit eingravierten Szenen aus alten Sagen verziert und mit Smaragden und Elfenbein geschmückt.;;Este bastón de oro macizo está grabado con escenas de cuentos antiguos y adornado con esmeraldas y marfil.;;;;;;;;;x
staff_of_moses;Staff of Moses;Bâton de Moïse;Stab von Moses;;Vara de Moisés;;;;;;;;;x
staff_of_moses_desc;The staff given to Moses by God, who had created it on the Sixth Day of Creation. It performed many miracles, such as splitting the Red Sea, producing water from rock, and possessing the ability to turn into a cobra.;Le bâton donné à Moïse par Dieu, qui l'avait conçu au sixième jour de la Création. Il a accompli beaucoup de miracles, tels que la séparation de la mer Rouge, la production d'eau à partir de roche, et possède la capacité de se transformer en un cobra.;Der Stab, den Moses von Gott erhielt. Geschaffen am sechsten Tage der Schöpfung wirkte er so manches Wunder. Mit dem Stab, der sich in eine Kobra verwandeln kann, teilte Moses das Rote Meer und ließ Wasser aus einem Fels entspringen.;;El cayado que Moisés recibió de Dios, que lo había creado en el sexto día de la creación. Realizó muchos milagros, como la división del mar Rojo, la obtención de agua de la roca y la capacidad de convertirse en cobra.;;;;;;;;;x
strange_chest;Strange Chest;Coffre étrange;Seltsame Truhe;;Cofre extraño;;;;;;;;;x
strange_chest_desc;This strange chest has been made out of an unknown type of metal. Despite not being able to open it, you can clearly tell the chest is not empty.;Cet étrange coffre est d'un type inconnu de métal. Bien que vous n'arriviez pas à l'ouvrir, vous pouvez clairement dire qu'il n'est pas vide.;Diese ungewöhnliche Truhe besteht aus einem unbestimmbaren Metall. Obwohl sie sich nicht öffnen lässt, steht für Euch fest, dass sie keineswegs leer ist.;;Este extraño cofre está fabricado con un metal desconocido. A pesar de no ser capaz de abrirlo, sabes con certeza que no está vacío.;;;;;;;;;x
sword_1_battlefield;A Knife;Couteau;Ein Messer;;Un cuchillo;;;;;;;;;x
sword_1_battlefield_desc;Originally belonging to an enemy soldier, [OriginalOwner.GetTitledFirstName] kept this weapon on display, after bringing it back from battle. Some say as a humble symbol of [OriginalOwner.GetHerHis] combat prowess, others as a reminder to any who would oppose [OriginalOwner.GetHerHim].;Possédée à l'origine par un soldat ennemi, [OriginalOwner.Get_le_TitledFirstName] a gardé cette arme en exposition après l'avoir ramenée d'une bataille. Certains la considèrent comme un humble symbole de ses prouesses au combat, tandis que d'autres la voit comme un message à quiconque voudrait s'opposer à [OriginalOwner.GetLuiElle].;[OriginalOwner.GetTitledFirstName] stellt diese Waffe aus, die ursprünglich einem feindlichen Soldaten gehörte. Manche sagen, dass sie ein bescheidendes Symbol für [OriginalOwner.GetHerHis]e Kampfkünste sind. Andere, dass es eine Erinnerung an jeden ist, der [OriginalOwner.Getihnsie] verraten würde.;;Perteneció originalmente a un soldado enemigo. [OriginalOwner.GetTitledFirstName] la exhibe tras volver de la batalla. Algunos dicen que es un símbolo humilde de su destreza en el combate, otros que es un recordatorio para todos los que se enfrenten a [OriginalOwner.GetElElla].;;;;;;;;;x
sword_1_battlefield_upgraded;An Upgraded Knife;Un couteau amélioré;Geschärftes Messer;;Un cuchillo mejorada;;;;;;;;x
sword_1_battlefield_upgraded_desc;A treasured trophy of [Root.GetTitledFirstName]'s, [Root.Society.GetName] had this weapon sharpened, before [Root.GetTitledFirstName]'s adventurous journey to [target_title.GetName].;Un précieux trophée [Root.Get_du_TitledFirstName]. L'arme a été aiguisée par [Root.Get_le_Society] avant le voyage aventureux [Root.Get_du_TitledFirstName] [target_title.Get_en_Realm].;Eine behütete Trophäe von [Root.GetTitledFirstName]. [Root.Society.GetName] hat diese Waffe geschärft, bevor [Root.GetTitledFirstName] zu einem Abenteuer nach [target_title.GetName] aufgebrochen ist.;;Un trofeo preciado de [Root.GetTitledFirstName], [Root.Society.GetName] hizo afilar esta arma antes del audaz viaje de [Root.GetTitledFirstName]a [target_title.GetName].;;;;;;;;x
sword_2_battlefield;A Heavy Blade;Lame lourde;Eine schwere Klinge;;Una hoja pesada;;;;;;;;;x
