#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTTITLEHF25200;The Arm-wrestling Challenge;Le défi du bras de fer;Die Armdrücken-Herausforderung;;El desafío del pulso;;;;;;;;x
EVTOPTAHF25240;Perhaps you should not bet what you do not have?;Peut-être ne devriez-vous pas parier ce que vous n'avez pas ?;Vielleicht solltet ihr nichts wetten, das ihr nicht besitzt!?;;A lo mejor no deberías apostar lo que no tienes, ¿eh?;;;;;;;;x
EVTOPTAHF25241;I will think about this favor you owe me...;Je vais réfléchir à cette faveur que vous me devez...;Ich werde über den Gefallen nachdenken, den ihr mir schuldet.;;Me pensaré sobre el favor que me debes…;;;;;;;;x
EVTOPTAHF25250;I will settle for nobody less than our best speaker!;Je choisis rien de moins que notre meilleur orateur !;Ich werde nur den besten Redner als Gegner wählen!;;¡Solo aceptaré al mejor de nuestros oradores!;;;;;;;;x
EVTOPTAHF25251;We shall see about that!;C'est ce que nous allons voir !;Das werden wir noch sehen!;;¡Eso lo veremos!;;;;;;;;x
EVTOPTAHF25252;Pffh! What a coward!;Pff ! Que[From.GetLLle] lâche !;Pfff! Was für ein Feigling!;;¡Pff! ¡Qué cobarde!;;;;;;;;x
EVTOPTAHF25253;Go ahead, then! I will let you start.;Allez-y, alors ! Je vais vous laisser commencer.;Dann fangt an! Ich lasse euch beginnen.;;¡Adelante, pues! Dejaré que empieces.;;;;;;;;x
EVTOPTAHF25254;[Root.GetProwessInsultOption];[Root.GetProwessInsultOption];[Root.GetProwessInsultOption];;[Root.GetProwessInsultOption];;;;;;;;x
EVTOPTAHF25255;How dare you say that!;Comment osez-vous dire cela ?!;Wie könnt ihr es wagen so etwas zu behaupten!?;;¿Cómo te atreves a decir eso?;;;;;;;;x
EVTOPTAHF25257;Shut up! Shut up immediately!;Taisez-vous ! Taisez-vous immédiatement !;Halte den Mund, Halte sofort den Mund!;;¡Silencio! ¡Cállate ahora mismo!;;;;;;;;x
EVTOPTAHF25261;How dare you! Enough!;Comment osez-vous ?! Assez !;Wie könnt ihr es wagen!? Genug!;;¿Cómo te atreves? ¡Basta!;;;;;;;;x
EVTOPTAHF25262;How dare you! Enough!;Comment osez-vous ?! Assez !;Wie könnt ihr es wagen!? Genug!;;¿Cómo te atreves? ¡Basta!;;;;;;;;x
EVTOPTAHF25263;Stop being such a child!;Arrêtez de faire l'enfant !;Hört auf so ein Kind zu sein!;;¡Deja de portarte como un crío!;;;;;;;;x
EVTOPTAHF25268;This is it! From now on, we are enemies!;Vous l'aurez voulu ! À partir de maintenant, nous sommes ennemis !;Jetzt reicht es! Von nun an sind wir Feinde!;;¡Se acabó! ¡Somos enemigos desde ahora mismo!;;;;;;;;x
EVTOPTAHF25269;Well, too late for that!;Eh bien, c'est trop tard pour ça !;Nun, dafür ist es bereits zu spät!;;¡Bueno, pues ya es tarde!;;;;;;;;x
EVTOPTAHF25270;Can the [From.GetManWoman] not take a joke?;N'a-t-[From.GetIlElle] aucun sens de l'humour ?;Versteht [From.GetSheHe] keinen Spaß?;;¿Es que no sabes aceptar una broma, [From.GetManWoman]?;;;;;;;;x
EVTOPTAHF25280;Why not? Let the celebrations begin!;Pourquoi pas ? Que les festivités commencent !;Warum nicht? Lasst die Feierlichkeiten beginnen!;;¿Por qué no?;;;;;;;;x
EVTOPTAHF25281;I shall be the one!;Je serai [Root.GetLeLa] seul[Root.Get_E] !;Ich werde derjenige sein!;;¡Es[Root.GetEA] seré yo!;;;;;;;;x
EVTOPTAHF25283;Do not worry, there is more than enough for everyone!;Ne vous inquiétez pas, il y en a plus qu'assez pour tout le monde !;Macht euch keine Sorgen, es gibt genug für alle!;;¡No os preocupes, hay más que de sobra para todos!;;;;;;;;x
EVTOPTAHF25284;Come on! Start pouring already!;Allez ! Commencez à verser !;Na los! Schenk endlich ein!;;¡Vamos! ¡Empezad a servir!;;;;;;;;x
EVTOPTAHF25286;It was a fun evening at least...;C'était une soirée amusante au moins...;Es war zumindest ein lustiger Abend...;;Por lo menos fue una velada divertida…;;;;;;;;x
EVTOPTAHF25287;Ugh, well, at least it was fun.;Eh bien, au moins c'était amusant.;Nun... Zumindest hat es Spaß gemacht.;;Ag. En fin, por lo menos nos divertimos.;;;;;;;;x
EVTOPTAHF25288;There must be a way to get ahead...;Il doit y avoir un moyen de prendre de l'avance...;Es muss einen Weg geben um zu gewinnen...;;Debe haber un modo de salir adelante…;;;;;;;;x
EVTOPTAHF25289;Eh, I will allow it.;Eh, je vais le permettre.;Ach, ich erlaube es.;;Bah, lo permitiré.;;;;;;;;x
EVTOPTAHF25290;Ouch!;Aïe !;Aua!;;¡Ay!;;;;;;;;x
EVTOPTAHF25291;Yes! I *hic* won!;J'ai *hic* gagné !;Jawo- *hick* ich habe *hick* gewonnen!;;¡Sí! ¡He *hip* ganado!;;;;;;;;x
EVTOPTAHF25292;Yes! I *hic* won!;J'ai *hic* gagné !;Jawo- *hick* ich habe *hick* gewonnen!;;¡Sí! ¡He *hip* ganado!;;;;;;;;x
EVTOPTAHF25293;A determinate [From.GetManWoman] like [From.GetHerHim] is the kind of ally I need!;Un[From.Get_E] [From.GetManWoman] comme [From.GetLuiElle] est le genre d'allié[From.Get_E] dont j'ai besoin !;[From.GetEinEine] entschlossende[From.GetrMale] [From.GetManWoman] wie [From.GetSheHe] ist es, den ich als Verbündeten brauche.;;Necesito un aliado que sea decidido, ¡como [From.GetElElla]!;;;;;;;;x
EVTOPTAHF25294;Wait, for how long was I out?;Attendez, pendant combien de temps ai-je été inconscient[Root.Get_E] ?;Wartet, wie lange war ich weggetreten?;;Un momento, ¿cuánto estuve inconsciente?;;;;;;;;x
EVTOPTAHF25295;I just want rest my eyes for a while...;Je veux juste reposer mes yeux pendant un moment...;Ich möchte nur meine Augen für eine Weile ausruhen...;;Solo quiero descansar la vista un poco…;;;;;;;;x
EVTOPTAHF25296;Why not? Sure...;Pourquoi pas ?;Warum nicht? Sicher!;;¿Por qué no? Claro…;;;;;;;;x
EVTOPTAHF25297;I should think these things through more often.;Je devrais considérer ses choses en détail plus souvent.;Ich sollte solche Dinge öfter durchdenken.;;Debería pensar más y mejor estas cosas.;;;;;;;;x
EVTOPTAHF25298;Why not? Sure...;Pourquoi pas ?;Warum nicht? Sicher!;;Claro. ¿Por qué no…?;;;;;;;;x
EVTOPTAHF25299;Who needs [From.GetHerHim]?;Qui aurait besoin d[From.GetEluiElle] ?;Wer braucht [From.Getihnsie] schon!?;;¿Quién [From.GetLoLa] necesita?;;;;;;;;x
EVTOPTAHF25300;Thanks, [From.GetFirstName]!;Merci, [From.GetFirstName] !;Vielen Dank, [From.GetFirstName]!;;¡Gracias, [From.GetFirstName]!;;;;;;;;x

EVTOPTBHF25200;[arm_wrestling_opponent_2.GetFirstName] looks like a fitting opponent.;[arm_wrestling_opponent_2.GetFirstName] a l'air d'être un adversaire approprié.;[arm_wrestling_opponent_2.GetFirstName] sieht nach einem guten Gegner aus.;;[arm_wrestling_opponent_2.GetFirstName] parece un rival digno.;;;;;;;;x
EVTOPTBHF25201;I am too tired right now...;Je suis trop fatigué[Root.Get_E] en ce moment...;Ich bin grade zu müde dafür...;;Ahora estoy demasiado cansad[Root.GetOA]…;;;;;;;;x
EVTOPTBHF25205_A;*Wink charmingly at [arm_wrestling_fighter_2.GetFirstName]*;*Faire de l'oeil à [arm_wrestling_fighter_2.GetFirstName]*;*Zwinkert charmant in Richtung [arm_wrestling_fighter_2.GetFirstName]*;;*Guiñas el ojo encantadoramente a [arm_wrestling_fighter_2.GetFirstName]*;;;;;;;;x
EVTOPTBHF25205_B;*Wink charmingly at [arm_wrestling_fighter_1.GetFirstName]*;*Faire de l'oeil à [arm_wrestling_fighter_1.GetFirstName]*;*Zwinkert charmant in Richtung [arm_wrestling_fighter_1.GetFirstName]*;;*Guiñas el ojo encantadoramente a [arm_wrestling_fighter_2.GetFirstName]*;;;;;;;;x
EVTOPTBHF25206;How is [From.GetSheHe] doing it!?!;Comment fait-[From.GetIlElle] ?!;Wie macht [From.GetSheHe] das nur!?;;¿Cómo lo hace?;;;;;;;;x
EVTOPTBHF25209;I only care about my beloved.;Je me soucie seulement de la personne que j'aime.;Mich interessiert nur meine Geliebte.;;Solo me importa mi amor.;;;;;;;;x
EVTOPTBHF25212;What!?! What is it?!;Quoi ?! Qu'est-ce que c'est ?!;Was!? Was ist da!?;;¿Qué? ¿Qué pasa?;;;;;;;;x
EVTOPTBHF25215;Do not be too hard on yourself!;Ne soyez pas trop dur[wl_arm_wrestling_loser.Get_E] avec vous-même !;Seid nicht zu hart zu euch selbst!;;¡No seas tan duro contigo mismo!;;;;;;;;x
EVTOPTBHF25218;Just a passing fancy, surely.;Certainement un simple fantasme éphémère.;Sicherlich ist das nur eine vorübergehende Phantasie.;;Será un capricho pasajero.;;;;;;;;x
EVTOPTBHF25219;Thanks, but I am not interested.;Merci, mais je ne suis pas intéressé[Root.Get_E].;Danke, aber nicht interessiert.;;Gracias, pero no me interesa.;;;;;;;;x
EVTOPTBHF25222;Not as impressive as me.;Pas aussi impressionnant que moi.;Nicht so beeindruckend wie ich.;;No tan impresionante como yo.;;;;;;;;x
EVTOPTBHF25223;That is very flattering of you...;C'est très flatteur de votre part...;Das ist sehr schmeichelhaft...;;Es un halago por tu parte…;;;;;;;;x
EVTOPTBHF25226;Maybe some other time.;Peut-être une autre fois.;Vielleicht ein anderes Mal.;;Puede que en otra ocasión.;;;;;;;;x
EVTOPTBHF25227;I am feeling rather lucky tonight.;Je me sens plutôt chanceu[Root.GetXSe] ce soir.;Ich fühle eine Glückssträhne heute Nacht.;;Me siento con suerte esta noche.;;;;;;;;x
EVTOPTBHF25228;I bet on Treta!;Je parie sur Treta !;Ich wette auf Treta!;;¡Apuesto por Treta!;;;;;;;;x
EVTOPTBHF25228_HELLENIC;I bet on Athena!;Je parie sur Athéna !;Ich wette auf Athene!;;¡Apuesto por Atenea!;;;;;;;;x
EVTOPTBHF25229;Surely, nobody will notice a bump under the table...;Personne ne remarquera une bosse sous la table...;Sicherlich wird niemand Merken, wenn ich unter den Tisch haue...;;Nadie notará un golpe bajo la mesa…;;;;;;;;x
EVTOPTBHF25230;Alright, here is your money...;D'accord, voici votre argent...;Schon gut... Hier ist dein Geld...;;Está bien, aquí tienes el dinero.;;;;;;;;x
EVTOPTBHF25231;We should do this more often.;Nous devrions jouer plus souvent.;Wir sollten das öfter tun.;;Tendríamos que hacerlo más a menudo.;;;;;;;;x
EVTOPTBHF25234;We should do this more often.;Nous devrions jouer plus souvent.;Wir sollten das öfter tun.;;Tendríamos que hacerlo más a menudo.;;;;;;;;x
EVTOPTBHF25235;Yes! I won!;Oui ! J'ai gagné !;Jawohl! Ich habe gewonnen!;;¡Bien! ¡Gané!;;;;;;;;x
EVTOPTBHF25236;Ugh... I lost everything!;Mince... J'ai tout perdu !;Puh... Ich habe alles verloren!;;Ag… ¡Lo perdí todo!;;;;;;;;x
EVTOPTBHF25250;[flyting_potential_opponent_2.GetTitledFirstName] looks like a good match for me!;[flyting_potential_opponent_2.Get_Le_TitledFirstName] a l'air d'être un[flyting_potential_opponent_2.Get_E] adversaire approprié[flyting_potential_opponent_2.Get_E] !;[flyting_potential_opponent_2.GetTitledFirstName] scheint ein ebenbürtiger Gegner zu sein!;;¡[flyting_potential_opponent_2.GetTitledFirstName] me parece buen rival!;;;;;;;;x
EVTOPTBHF25251;I am not in the mood right now.;Je ne suis pas d'humeur pour le moment.;Ich bin gerade nicht in Stimmung.;;No estoy de humor.;;;;;;;;x
EVTOPTBHF25254;[Root.GetCharacterInsultOption];[Root.GetCharacterInsultOption];[Root.GetCharacterInsultOption];;[Root.GetCharacterInsultOption];;;;;;;;x
EVTOPTBHF25255;As if I cared...;Comme si je m'en souciais...;Als ob mich das interessiert...;;Como si me importara…;;;;;;;;x
EVTOPTBHF25257;I have no problem admitting my flaws.;Je n'ai aucun problème à admettre mes défauts.;Ich habe kein Problem damit meine Fehler zuzugeben.;;No me molesta aceptar mis fallos.;;;;;;;;x
EVTOPTBHF25259;Meh, not that I care either way...;Pff, ce n'est pas comme si ça importait...;Nicht das es mich interessieren würde...;;Bah, no es que me importe.;;;;;;;;x
EVTOPTBHF25261;As if I cared.;Comme si je m'en souciais.;Als ob es mich interessiert.;;Como si me importara.;;;;;;;;x
EVTOPTBHF25262;As if I cared about what you think.;Comme si je me souciais de ce que vous pensez.;Als ob es mich interessiert, was ihr denkt.;;Como si me importara lo que pienses.;;;;;;;;x
EVTOPTBHF25263;It was all in good fun, [From.GetFirstName], do not be mad!;C'était juste pour rire, [From.GetFirstName], ne vous tracassez pas !;Es hat Spaß gemacht, [From.GetFirstName], seid nicht böse!;;Era para divertirnos, ¡no te enfades, [From.GetFirstName]!;;;;;;;;x
EVTOPTBHF25268;Enough of this stupid game!;C'en est assez de ce jeu stupide !;Genug von diesem blöden Spiel!;;¡Basta de este estúpido juego!;;;;;;;;x
EVTOPTBHF25269;If you say so...;Si vous le dites...;Wenn ihr das sagt...;;Si tú lo dices…;;;;;;;;x
EVTOPTBHF25280;That seems like such a waste...;Cela semble être une perte de temps...;Das ist so eine Verschwendung...;;Parece un desperdicio…;;;;;;;;x
EVTOPTBHF25281;I'd rather avoid the headache instead.;Je préfère éviter le mal de tête.;Ich würde lieber die Kopfschmerzen vermeiden.;;Prefiero ahorrarme el dolor de cabeza.;;;;;;;;x
EVTOPTBHF25288;I am made of tougher stuff than this!;Je suis plus coriace que ça !;Ich bin härter als das!;;¡Me han hecho cosas más duras que esta!;;;;;;;;x
EVTOPTBHF25289;Stop right there!;Arrêtez-vous là !;Hört damit sofort auf!;;¡Alto ahí!;;;;;;;;x
EVTOPTBHF25293;I really like that [From.GetManWoman].;J'aime vraiment c[From.GetEtEtte] [From.GetManWoman].;Ich mag [From.Getihnsie] wirklich.;;¡Me gusta es[From.GetEA] [From.GetManWoman]!;;;;;;;;x
EVTOPTBHF25296;Bah! I do not need *you*!;Je ne pas besoin de vous !;Ich brauche euch nicht!;;¡Bah! ¡No te necesito!;;;;;;;;x
EVTOPTBHF25298;Bah! You are not *my* friend!;Vous n'êtes pas mon ami[From.Get_E] !;Pff! Ihr seid nicht "mein" Freund!;;¡Bah! ¡No eres amigo *mío*!;;;;;;;;x

EVTOPTCHF25200;I'd rather not risk embarrassing myself...;Je préfère ne pas risquer de m'humilier...;Ich riskiere es lieber nicht mich zu blamieren...;;Prefiero no arriesgarme a ponerme en ridículo…;;;;;;;;x
EVTOPTCHF25205;*Lean forward and smile*;*Se pencher en avant et sourire*;*Lehnt Euch nach vorne und lächelt*;;*Te echas hacia delante y sonríes*;;;;;;;;x
EVTOPTCHF25206;Wha-?;Quoi ?!;Wa-?;;¿Qu…?;;;;;;;;x
EVTOPTCHF25209;Pfh! You have picked the wrong person!;Pff ! Vous avez choisi la mauvaise personne !;Pah! Ihr habt die falsche Person gewählt!;;¡Elegiste a la persona equivocada!;;;;;;;;x
EVTOPTCHF25227;This is as much as I am willing to go.;C'est le montant que je suis prêt[Root.Get_E] à miser.;Das ist alles, was ich bereit bin zu geben.;;Esto es lo máximo que voy a ir.;;;;;;;;x
EVTOPTCHF25228;I bet on Dwapara!;Je parie sur Dvapara !;Ich wette auf Dwapara!;;¡Apuesto por Dwapara!;;;;;;;;x
EVTOPTCHF25228_HELLENIC;I bet on Hermes!;Je parie sur Hermès !;Ich wette auf Hermes!;;¡Apuesto por Hermes!;;;;;;;;x
EVTOPTCHF25229;Let's play!;Jouons !;Lasst uns spielen!;;¡Juguemos!;;;;;;;;x
EVTOPTCHF25230;How about we consider it even?;Et si nous considérions que c'était égalité ?;Sagen wir es war ein Unentschieden!?;;¿Y si nos consideramos en paz?;;;;;;;;x
EVTOPTCHF25235;Curses!;Malédictions !;Verflucht!;;¡Maldición!;;;;;;;;x
EVTOPTCHF25250;I just want an easy fight.;Je veux juste un combat facile.;Ich möchte einfach einen leichten Kampf.;;Solo quiero una pelea fácil.;;;;;;;;x
EVTOPTCHF25254;[Root.GetAccomplishmentsInsultOption];[Root.GetAccomplishmentsInsultOption];[Root.GetAccomplishmentsInsultOption];;[Root.GetAccomplishmentsInsultOption];;;;;;;;x
EVTOPTCHF25255;I think my accomplishments speak for themselves...;Je pense que mes accomplissements parlent d'eux-mêmes...;Ich denke, dass meine Leistungen für sich sprechen...;;Creo que mis logros hablan por sí mismos…;;;;;;;;x
EVTOPTCHF25257;But I am not like that at all!;Mais je ne suis pas du tout comme ça !;Aber so bin ich überhaupt nicht!;;¡Pero no soy así!;;;;;;;;x
EVTOPTCHF25259;What does that mean?!;Qu'est-ce que cela signifie ?!;Was soll das bedeuten!?;;¿Qué significa eso?;;;;;;;;x
EVTOPTCHF25261;This is so mean of you!;C'est si mesquin de votre part !;Das ist so gemein von euch!;;¡Qué cruel de tu parte!;;;;;;;;x
EVTOPTCHF25262;This is so mean of you!;C'est si mesquin de votre part !;Das ist so gemein von euch!;;¡Qué cruel de tu parte!;;;;;;;;x
EVTOPTCHF25288;I have to try at least!;Je dois au moins essayer !;Ich muss es zumindest versuchen.;;¡Por lo menos tengo que intentarlo!;;;;;;;;x
EVTOPTCHF25293;I will honor [From.GetHerHis] victory with a gift.;Je vais honorer sa victoire avec un cadeau.;Ich werde [From.GetHerHis]en Sieg mit einem Geschenk würdigen.;;Honraré su victoria con un regalo.;;;;;;;;x

EVTOPTDHF25200;On second thought, I will go take a drink instead.;A la réflexion, je vais juste boire un verre.;Wenn ichs mir so überlege gehe ich lieber etwas trinken.;;Pensándolo mejor, creo que beberé algo.;;;;;;;;x
EVTOPTDHF25205;Wh-what's that behind you?!;Qu-Qu'est-ce qu'il y a derrière vous ?!;Wa-Was ist das da hinter euch!?;;¿Qué es que tienes detrás?;;;;;;;;x
EVTOPTDHF25209;I... uhhh...;Je... euh...;Ich... ähm...;;Yo… ah…;;;;;;;;x
EVTOPTDHF25227;I am only playing for fun...;Je ne joue que pour le plaisir...;Ich spiele nur zum, Spaß...;;Solo juego para divertirme.;;;;;;;;x
EVTOPTDHF25228;I bet on Kali!;Je parie sur Kâli !;Ich wette auf Kali!;;¡Apuesto por Kali!;;;;;;;;x
EVTOPTDHF25228_HELLENIC;I bet on Dionysus!;Je parie sur Dionysos !;Ich wette auf Dionysus!;;¡Apuesto por Dionisio!;;;;;;;;x
EVTOPTDHF25230;I will make it up to you in some way, I promise!;Je vais me racheter d'une façon ou d'une autre, je le promets !;Ich werde es wiedergutmachen, das verspreche ich!;;¡Te lo pagaré de algún modo, te lo prometo!;;;;;;;;x
EVTOPTDHF25250;Maybe some other night...;Peut-être un autre soir...;Vielleicht in einer anderen Nacht;;Puede que otra noche…;;;;;;;;x
EVTOPTDHF25254;[Root.GetFamilyInsultOption];[Root.GetFamilyInsultOption];[Root.GetFamilyInsultOption];;[Root.GetFamilyInsultOption];;;;;;;;x
EVTOPTDHF25255;Oh, I wouldn't know about that, [From.GetFirstName]...;Oh, je ne saurais dire, [From.GetFirstName]...;Oh, da wäre ich mir nicht so sicher, [From.GetFirstName]...;;No sé qué decirte, [From.GetFirstName]…;;;;;;;;x
EVTOPTDHF25257;How dare you say it! That's not my fault!;Comment osez-vous dire cela ?! Ce n'est pas de ma faute !;Wie könnt ihr es wagen so etwas zu sagen! Das ist nicht meine Schuld!;;¿Cómo te atreves a decir eso? ¡No es culpa mía!;;;;;;;;x
EVTOPTDHF25259;Oh, we shall see about that!;Oh, c'est ce que nous allons voir !;Oh, das werden wir noch sehen!;;¡Eso lo veremos!;;;;;;;;x
EVTOPTDHF25261;Isn't this supposed to be a game?;N'est-ce pas supposé être un jeu ?;Soll das nicht nur ein Spiel sein?;;¿No estábamos jugando?;;;;;;;;x
EVTOPTDHF25262;Isn't this supposed to be a game?;N'est-ce pas supposé être un jeu ?;Soll das nicht nur ein Spiel sein?;;¿Esto no era un juego?;;;;;;;;x
EVTOPTDHF25293;[From.GetSheHeCap] earned a bit of praise.;[From.GetIlElleCap] a gagné un peu d'éloges.;[From.GetSheHeCap] hat sich etwas Lob verdient.;;Se ha ganado unas pocas alabanzas.;;;;;;;;x

EVTOPTEHF25205;I must try anyway!;Je dois essayer quand même !;Ich muss es einfach versuchen!;;¡Al menos debo intentarlo!;;;;;;;;x
EVTOPTEHF25209_A;*Stare intently at [From.GetFirstName]'s breasts.*;*Vous regardez attentivement les seins de [From.GetFirstName]*;*Schaut intensiv auf die Brüste von [From.GetFirstName]*;;*Miras fijamente los pechos de [From.GetFirstName]*;;;;;;;;x
EVTOPTEHF25209_B;*Lose yourself in [From.GetFirstName]'s dreamy eyes*;*Vous vous perdez dans le regard de rêve de [From.GetFirstName]*;*Verliert Euch selbst in den verträumten Augen von [From.GetFirstName]*;;*Te pierdes en los maravillosos ojos de [From.GetFirstName]*;;;;;;;;x
EVTOPTEHF25255;I have no idea what you are talking about!;Je n'ai aucune idée de ce dont vous parlez !;Ich habe keine Ahnung wovon ihr sprecht!;;¡No sé de qué me hablas!;;;;;;;;x

EVTOPTFHF25255;T-That's not true at all!;C-Ce n'est pas vrai du tout !;D-Das ist überhaupt nicht wahr!;;¡N-no es verdad en absoluto!;;;;;;;;x

EVTOPTYHF25216;I will show you who is stronger!;Je vais vous montrer qui est le plus fort !;Ich zeige euch wer hier stärker ist!;;¡Ya verás quién es más fuerte!;;;;;;;;x
EVTOPTYHF25221;How dare you reject me!;Comment osez-vous me rejeter ?!;Wie könnt ihr es wagen mir einen Korb zu geben!;;¿Cómo osas rechazarme?;;;;;;;;x
EVTOPTYHF25230;How dare you call me a cheat!;Comment osez-vous m'accuser de triche ?!;Wie könnt ihr es wagen mich Schummler zu nennen!;;¿Cómo osas llamarme tramposo?;;;;;;;;x
EVTOPTYHF25235;You cheated!;Vous avez triché !;Ihr habt geschummelt!;;¡Has hecho trampas!;;;;;;;;x
EVTOPTYHF25268;I will make you eat those words!;Je vais vous faire ravaler ces mots !;Ich werde euch dazu bringen eure Wort zu essen!;;¡Te comerás esas palabras!;;;;;;;;x

EVTOPTZZZHF25252;Last time [Root.GetFirstName] pleasured a woman was when he relieved his mother's womb of his presence.;La dernière fois que [Root.GetFirstName] a fait plaisir à une femme, c'était lorsqu'[Root.GetIlElle] a soulagé le ventre de sa mère de sa présence.;Das letzte Mal als [Root.GetFirstName] eine Frau glücklich gemacht hat war, als er den Mutterleib seiner Mutter von seiner Anwesenheit befreit hatte.;;La última vez que [Root.GetFirstName] satisfizo a una mujer, fue cuando liberó el útero de su madre de su presencia.;;;;;;;;x

TT_EVTOPTAHF25200;Challenge §Y[arm_wrestling_opponent_1.GetTitledFirstName]§! to an arm-wrestling match.;Vous défiez §Y[arm_wrestling_opponent_1.Get_le_TitledFirstName]§! au bras de fer.;Fordert §Y[arm_wrestling_opponent_1.GetTitledFirstName]§! zum Armdrücken heraus.;;Desafía a §Y[arm_wrestling_opponent_1.GetTitledFirstName]§! a un pulso.;;;;;;;;x
TT_EVTOPTAHF25201;Accept §Y[From.GetTitledFirstName]§!'s challenge.;Vous acceptez le défi [From.Get_du_TitledFirstNameJ].;Akzeptiert die Herausforderung von §Y[From.GetTitledFirstName]§!.;;Acepta el desafío de §Y[From.GetTitledFirstName]§!;;;;;;;;x
TT_EVTOPTAHF25215;§Y[wl_arm_wrestling_loser.GetTitledFirstName]§! might challenge you to a §YDuel§! for insulting [wl_arm_wrestling_loser.GetHerHim].;[wl_arm_wrestling_loser.Get_Le_TitledFirstNameJ] pourrait vous défier en §Yduel§! pour l'avoir insulté[wl_arm_wrestling_loser.Get_E].;§Y[wl_arm_wrestling_loser.GetTitledFirstName]§! könnte Euch zum §YDuell§! fordern, da Ihr [wl_arm_wrestling_loser.Getihnsie] beleidigt habt.;;§Y[wl_arm_wrestling_loser.GetTitledFirstName]§! puede desafiarte a un §Yduelo§! por insultar[wl_arm_wrestling_loser.GetLoLa].;;;;;;;;x
TT_EVTOPTAHF25216;Your fellow warriors laugh at you.;Vos compagnons guerriers se moquent de vous.;Eure Kriegerbrüder lachen über Euch.;;Tus compañeros guerreros se ríen de ti.;;;;;;;;x
TT_EVTOPTAHF25218;Approach §Y[From.GetTitledFirstName]§! and declare your feelings for [From.GetHerHim].;Approche §Y[From.GetTitledFirstName]§! et déclare tes sentiments pour lui.;Sprecht §Y[From.GetTitledFirstName]§! an und erklärt Eure Gefühle für [From.Getihnsie].;;Dirígete a §Y[From.GetTitledFirstName]§! y confiesa lo que sientes por §Y[From.GetElElla]§!.;;;;;;;;x
TT_EVTOPTAHF25222;Approach §Y[From.GetTitledFirstName]§!, offering [From.GetHerHim] your friendship.;Vous approchez [From.Get_le_TitledFirstNameJ], lui offrant votre amitié.;Sprecht §Y[From.GetTitledFirstName]§! an und bietet Eure Freundschaft an.;;Dirígete a §Y[From.GetTitledFirstName]§!, ofreciéndole tu amistad.;;;;;;;;x
TT_EVTOPTAHF25230;Your fellow §YWarriors§! will remember this.;Vos compagnons §Yguerriers§! s'en souviendront.;Eure §YKriegerbrüder§! werden sich daran erinnern.;;Tus colegas §Yguerreros§! se acordarán de esto.;;;;;;;;x
TT_EVTOPTAHF25232;Your fellow §YWarriors§! will remember this.;Vos compagnons §Yguerriers§! s'en souviendront.;Eure §YKriegerbrüder§! werden sich daran erinnern.;;Tus colegas §Yguerreros§! se acordarán de esto.;;;;;;;;x
TT_EVTOPTAHF25250;Challenge §Y[flyting_potential_opponent_1.GetTitledFirstName]§! to a contest of dialectics.;Défier [flyting_potential_opponent_1.Get_le_TitledFirstNameJ] à un concours de dialectique.;Fordert §Y[flyting_potential_opponent_1.GetTitledFirstName]§! zu einem Wettbewerb der Dialektik heraus.;;Desafía a §Y[flyting_potential_opponent_1.GetTitledFirstName]§! a un concurso de dialéctica.;;;;;;;;x
TT_EVTOPTAHF25251;Accept §Y[From.GetTitledFirstName]§!'s challenge and begin the §YFlyting§!.;Vous acceptez le défi §Y[From.Get_du_TitledFirstName]§! et commencez la §Yjoute verbale§!.;Akzeptiert die Herausforderung von §Y[From.GetTitledFirstName]§! zu einem §YDichterwettstreit§!.;;Acepta el desafío de §Y[From.GetTitledFirstName]§! y empieza el §Yduelo de ingenios§!.;;;;;;;;x
TT_EVTOPTAHF25263;§Y[From.GetTitledFirstName]§! might challenge you to a §YDuel§! for insulting [From.GetHerHim].;[From.Get_Le_TitledFirstNameJ] pourrait vous défier en §Yduel§! pour l'avoir insulté[From.Get_E].;§Y[From.GetTitledFirstName]§! könnte Euch zum §YDuell§! fordern, da Ihr [From.Getihnsie] beleidigt habt.;;§Y[From.GetTitledFirstName]§! puede desafiarte a un §Yduelo§! por insultar[wl_arm_wrestling_loser.GetLoLa].;;;;;;;;x
TT_EVTOPTAHF25268;The other warriors laugh at you as you storm out.;Les autres guerriers se moquent de vous tandis que vous sortez.;Die anderen Krieger lachen über Euch, als Ihr herausstürmt.;;Los otros guerreros se ríen de ti mientras sales disparado.;;;;;;;;x
TT_EVTOPTAHF25269;The other warriors mock you for your pettiness as you storm out.;Les autres guerriers se moquent de votre mesquinerie tandis que vous sortez.;Die anderen Krieger verspotten Euch wegen Eurer Kleinlichkeit, während Ihr herausstürmt.;;Los otros guerreros se burlan de tu mezquindad mientras sales corriendo.;;;;;;;;x
TT_EVTOPTAHF25281;Accept §Y[From.GetFirstName]§!'s challenge.;Acceptez le défi de §Y[From.GetFirstName]§!.;Akzeptiert die Herausforderung von  §Y[From.GetFirstName]§!.;;Acepta el desafío de §Y[From.GetFirstName]§!.;;;;;;;;x
TT_EVTOPTAHF25283;You keep track of the contenders and wait for the winner.;Vous observez les concurrents et attendez le vainqueur.;Ihr behaltet einen Überblick über die Teilnehmer und wartet auf den Gewinner.;;Sigues a los contendientes y esperas al ganador.;;;;;;;;x
