caught_with_forgery;Forgery Discovered;Contrefaçon découverte;Fälschung entdeckt;;Falsificación descubierta;;;;;;;;x
ate_beating_heart;Heart-Eater;Mange des coeurs;Herzfresser;;Comecorazones;;;;;;;;x
religious_tolerance;Religious Tolerance;Tolérance religieuse;Religiöse Toleranz;;Tolerancia religiosa;;;;;;;;x
religious_tolerance_desc;The Ruler has given signs of Religious Tolerance to the population.;Le dirigeant a donné des signes de tolérance religieuse à la population.;Der Herrscher hat der Bevölkerung Zeichen religiöser Toleranz gegeben.;;El gobernante ha dado a la población señales de tolerancia religiosa.;;;;;;;;x
weak_leader_modifier;Weak Leader;Chef faible;Schwacher Anführer;;Líder débil;;;;;;;;x
weak_leader_modifier_desc;Could not control [GetHerHis] own troops.;N'a pas pu contrôler ses propres troupes.;Dieser Anführer konnte nicht einmal die eigenen Truppen kontrollieren.;;No pudo controlar sus propias tropas;;;;;;;;x
strong_leader_modifier;Strong Leader;Chef fort;Starker Anführer;;Líder fuerte;;;;;;;;x
strong_leader_modifier_desc;Does not tolerate indiscipline in the army.;Ne tolère pas l'indiscipline dans son armée.;Duldet keine Undiszipliniertheit in der Armee.;;No tolera la indisciplina en el ejército.;;;;;;;;x
plundering_leader_modifier;Plundering Leader;Chef pillard;Plündernder Anführer;;Líder saqueador;;;;;;;;x
plundering_leader_modifier_desc;Likes to sack and plunder.;Aime piller.;Mag es zu brandschatzen und zu plündern.;;Le gusta saquear y rapiñar.;;;;;;;;x
tribal_festival_bought_strength_charm;Strength Charm;Charme de force;Stärke-Talisman;;Amuleto de fuerza;;;;;;;;x
tribal_festival_bought_strength_charm_desc;This [GetGirlWomanBoyMan] has bought a magical charm that increases [GetHerHis] strength.;Ce personnage a acheté un charme magique qui augmente sa force.;Dieser Charakter hat einen verzauberten Talisman gekauft, der für begrenzte Zeit [GetHerHis]e Stärke erhöht.;;Este personaje ha comprado un amuleto mágico que aumenta las fuerzas.;;;;;;;;x
tribal_festival_bought_bravery_amulet;Bravery Amulet;Amulette de bravoure;Tapferkeitsamulett;;Amuleto de valentía;;;;;;;;x
tribal_festival_bought_bravery_amulet_desc;This [GetGirlWomanBoyMan] has bought a magical amulet to give [GetHerselfHimself] courage.;Ce personnage s'est acheté une amulette magique pour lui donner du courage.;Dieser Charakter hat ein magisches Amulett gekauft, das Mut verleiht.;;Este personaje ha comprado un amuleto mágico para ganar valor.;;;;;;;;x
tribal_festival_bought_very_good_trinkets;Rare Trinkets;Bibelots rares;Seltene Talismane;;Baratijas raras;;;;;;;;x
tribal_festival_bought_very_good_trinkets_desc;This [GetGirlWomanBoyMan] has bought rare trinkets and tools from a foreign merchant to add on [GetHerHis] religious offerings during a local festival.;Ce personnage a acheté des bibelots et des outils rares d'un marchand étranger pour les ajouter à ses offrandes religieuses lors d'une foire locale.;Dieser Charakter hat seltene Schmuckstücke und Werkzeuge von einem ausländischen Händler gekauft, um diese [GetHerHis]en religiösen Opfergaben während eines lokalen Festes beizulegen.;;Este personaje ha comprado alhajas y herramientas raras a un mercader extranjero para añadirlas a sus ofrendas religiosas durante un festival local.;;;;;;;;x
tribal_festival_bought_good_trinkets;Expensive Trinkets;Bibelots coûteux;Teure Talismane;;Baratijas caras;;;;;;;;x
tribal_festival_bought_good_trinkets_desc;This [GetGirlWomanBoyMan] has bought expensive trinkets and tools from a foreign merchant to add on [GetHerHis] religious offerings during a local festival.;Ce personnage a acheté des bibelots et des outils coûteux d'un marchand étranger pour les ajouter à ses offrandes religieuses lors d'une foire locale.;Dieser Charakter hat teure Schmuckstücke und Werkzeuge von einem ausländischen Händler gekauft, um diese [GetHerHis]en religiösen Opfergaben während eines lokalen Festes beizulegen.;;Este personaje ha comprado alhajas y herramientas caras a un mercader extranjero para añadirlas a sus ofrendas religiosas durante un festival local.;;;;;;;;x
tribal_festival_bought_cheap_trinkets;Cheap Trinkets;Bibelots bon marché;Billige Talismane;;Baratijas baratas;;;;;;;;x
tribal_festival_bought_cheap_trinkets_desc;This [GetGirlWomanBoyMan] has bought some cheap trinkets and tools from a foreign merchant to add on [GetHerHis] religious offerings during a local festival.;Ce personnage a acheté des bibelots et des outils bon marché d'un marchand étranger pour les ajouter à ses offrandes religieuses lors d'une foire locale.;Dieser Charakter hat billige Schmuckstücke und Werkzeuge von einem ausländischen Händler gekauft, um diese [GetHerHis]en religiösen Opfergaben während eines lokalen Festes beizulegen.;;Este personaje ha comprado algunas baratijas y herramientas baratas a un mercader extranjero para añadirlas a sus ofrendas religiosas durante un festival local.;;;;;;;;x
mud_splatter;Muddy;Couvert de boue;Verschlammt;;Enlodado;;;;;;;;x
mud_splatter_desc;This [GetGirlWomanBoyMan] has been soiled in mud, dirt, and other less flavorful slush...;Ce personnage est couvert de boue et de saleté.;Dieser Charakter ist von Schlamm, Dreck und anderen weniger schmackhaften Substanzen bedeckt...;;Este personaje se manchó de barro, polvo y otros fangos menos agradables…;;;;;;;;x
tribal_king_of_fair;King of the Harvest;Roi de la Récolte;Erntekönig;;Rey de la cosecha;;;;;;;;x
tribal_king_of_fair_desc;This [GetManWoman] has been proclaimed King of the Harvest during a local tribal festivity.;Cet homme a été proclamé roi de la récolte lors d'une fête tribale locale.;Diese[GetrMale] [GetManWoman] wurde während eines lokalen Stammesfestes als König der Ernte gefeiert.;;Este hombre ha sido proclamado Rey de la cosecha durante una festividad tribal local.;;;;;;;;x
tribal_queen_of_fair;Queen of the Harvest;Reine de la Récolte;Erntekönigin;;Reina de la Cosecha;;;;;;;;x
tribal_queen_of_fair_desc;This [GetManWoman] has been proclaimed Queen of the Harvest during a local tribal festivity.;Cette femme a été proclamée reine de la récolte lors d'une fête tribale locale.;Diese[GetrMale] [GetManWoman] wurde während eines lokalen Stammesfestes als König der Ernte gefeiert.;;Esta mujer ha sido proclamada Reina de la cosecha durante una festividad tribal local.;;;;;;;;x
tribal_festival_modifier;Bustling Activity;Activité animée;Reges Treiben;;Actividad febril;;;;;;;;x
tribal_festival_modifier_desc;A recent festival has revitalized this province with new goods and manpower.;Un festival récent a revitalisé cette province avec de nouveaux biens et des effectifs.;Ein kürzliches Fest hat diese Provinz mit neuen Gütern und Arbeitskräften versorgt.;;Un festival reciente ha revitalizado esta provincia con nuevos productos y soldadesca.;;;;;;;;x
mass_baptism_capital_traders;Foreign Traders;Marchands étrangers;Ausländische Händler;;Comerciantes extranjeros;;;;;;;;x
mass_baptism_capital_traders_desc;The recent mass conversion of this province's owner has attracted new merchants from the more civilized parts of the world, revitalizing local trade.;La récente conversion massive du propriétaire de cette province a attiré de nouveaux marchands venus des régions les plus civilisées du monde, ce qui revitalise le commerce local.;Die jüngsten Massenkonvertierungen des Besitzers dieser Provinz hat neue Händler aus den zivilisierten TEilen der Welt angezogen und den lokalen Handel wiederbelebt.;;La reciente conversión en masa del dueño de esta provincia ha atraído nuevos mercaderes de las partes más civilizadas del mundo, dando nueva vida al comercio local.;;;;;;;;x
mass_baptism_capital_missionaries;Charity Sermons;Sermons de charité;Wohltätige Predigt;;Sermones de caridad;;;;;;;;x
mass_baptism_capital_missionaries_desc;The new clergy of this realm is attempting to sway the remaining pagan converts to fully embrace the new faith.;Le nouveau clergé de ce pays tente d'influencer les païens restants afin qu'ils embrassent pleinement la nouvelle foi.;Der neue Klerus dieses Reiches versucht die verbleibenden Heiden dazu zu bringen, den neuen Glauben voll anzunehmen.;;El nuevo clero de este reino intenta ganarse a los paganos que aún quedan para que adopten totalmente la nueva fe.;;;;;;;;x
mass_baptism_capital_builders;Foreign Builders;Maçons étrangers;Ausländische Baumeister;;Constructores extranjeros;;;;;;;;x
mass_baptism_capital_builders_desc;Following the recent mass conversion, a number of experienced craftsmen from more civilized lands have reached this province to offer their services to the locals.;Suite à la récente conversion de masse, un certain nombre d'artisans expérimentés de terres plus civilisées ont atteint cette province pour offrir leurs services aux habitants.;Nach den jüngsten Massenkonvertierungen haben eine Reihe von erfahrenen Handwerkern aus zivilisierten Ländern diese Provinz erreicht und bieten den Einheimischen nun ihre Dienste an.;;Tras la reciente conversión en masa, ha llegado a esta provincia una gran cantidad de artesanos experimentados de tierras más civilizadas para ofrecer sus servicios a los lugareños.;;;;;;;;x
kid_crusade_pledged_troops;Pledged Troops;Troupes promises;Verpflichtete Truppen;;Prometió tropas;;;;;;;;x
kid_crusade_pledged_troops_desc;The local garrison has been depleted to help the efforts of a righteous Crusade.;La garnison locale a été réduite afin d'aider une croisade.;Die lokale Garnison wurde aufgebracht, um den Bemühungen eines gerechten Kreuzzugs zu helfen.;;La guarnición local se ha vaciado para ayudar la campaña de una cruzada justa.;;;;;;;;x
kid_crusade_recruited_peasants;Missing Peasants;Paysans manquants;Vermisste Bauern;;Campesinos desaparecidos;;;;;;;;x
kid_crusade_recruited_peasants_desc;A good portion of the local population has left the field to join a Crusade.;Une bonne partie de la population locale est partie rejoindre une croisade.;Ein Großteil der lokalen Bevölkerung hat ihre Felder verlassen, um an einem Kreuzzug teilzunehmen.;;Una buena parte de la población local ha abandonado el campo para unirse a una cruzada.;;;;;;;;x
kid_crusade_economic_support;Pledged Economic Aid;Aide financière promise;Schwor wirtschaftliche Unterstützung;;Ayuda económica prometida;;;;;;;;x
kid_crusade_economic_support_desc;This ruler has vowed to support the Children's Crusade economically, helping the young zealots in their efforts to restore the Holy Land to Christendom.;Ce dirigeant a promis de soutenir financièrement la Croisade des Enfants, en aidant les jeunes zélateurs dans leurs efforts pour faire revenir la Terre sainte dans la chrétienté.;Dieser Herrscher hat geschworen den Kinderkreuzzug wirtschaftlich zu unterstützen und den jungen Zeloten so bei ihren Bemühungen zu helfen, das Heilige Land der Christenheit zurückzuerobern.;;Este gobernante ha prometido apoyar económicamente a la Cruzada de los niños, ayudando a los jóvenes fanáticos en sus esfuerzos por devolver Tierra Santa a la Cristiandad.;;;;;;;;x
children_crusade_morale_0;Abysmal Morale;Moral catastrophique;Miserable Moral;;Moral abismal;;;;;;;;x
children_crusade_morale_0_desc;The crusaders have reached the Holy Land scattered, starving and desperate, with barely any hope left to conquer Jerusalem.;Les croisés ont atteint la Terre sainte, dispersés, affamés et désespérés, avec peu d'espoir de conquérir Jérusalem.;Die Kreuzritter haben das Heilige Land verstreut, hungernd und verzweifelt erreicht und haben kaum noch Hoffnung auf die Eroberung Jerusalems.;;Los cruzados han llegado a Tierra Santa dispersos, hambrientos y desesperados, sin apenas esperanzas de conquistar Jerusalén.;;;;;;;;x
children_crusade_morale_1;Poor Morale;Moral faible;Schlechte Moral;;Moral pobre;;;;;;;;x
children_crusade_morale_1_desc;The many difficulties encountered during their long travel has all but extinguished the crusaders' hopes to reconquer the Holy Land.;Les nombreuses difficultés rencontrées au cours de leur long voyage ont presque anéanti les espoirs des croisés de reconquérir la Terre sainte.;Die vielen Schwierigkeiten, die während ihrer langen Reise auftraten, hat die Hoffnung der Kreuzritter das Heilige Land zurückzuerobern nahezu ausgelöscht.;;Las muchas dificultades encontradas durante su largo viaje han casi extinguido las esperanzas de los cruzados de reconquistar Tierra Santa.;;;;;;;;x
children_crusade_morale_2;Poor Morale;Moral faible;Schlechte Moral;;Moral pobre;;;;;;;;x
children_crusade_morale_2_desc;The many difficulties encountered during their long travel has all but extinguished the crusaders' hopes to reconquer the Holy Land.;Les nombreuses difficultés rencontrées au cours de leur long voyage ont presque anéanti les espoirs des croisés de reconquérir la Terre sainte.;Die vielen Schwierigkeiten, die während ihrer langen Reise auftraten, hat die Hoffnung der Kreuzritter das Heilige Land zurückzuerobern nahezu ausgelöscht.;;Las muchas dificultades encontradas durante su largo viaje han casi extinguido las esperanzas de los cruzados de reconquistar Tierra Santa.;;;;;;;;x
children_crusade_morale_3;Poor Morale;Moral faible;Schlechte Moral;;Moral pobre;;;;;;;;x
children_crusade_morale_3_desc;The many difficulties encountered during their long travel has all but extinguished the crusaders' hopes to reconquer the Holy Land.;Les nombreuses difficultés rencontrées au cours de leur long voyage ont presque anéanti les espoirs des croisés de reconquérir la Terre sainte.;Die vielen Schwierigkeiten, die während ihrer langen Reise auftraten, hat die Hoffnung der Kreuzritter das Heilige Land zurückzuerobern nahezu ausgelöscht.;;Las muchas dificultades encontradas durante su largo viaje han casi extinguido las esperanzas de los cruzados de reconquistar Tierra Santa.;;;;;;;;x
children_crusade_morale_4;Inspired Troops;Troupes inspirées;Inspirierte Truppen;;Tropas inspiradas;;;;;;;;x
children_crusade_morale_4_desc;Despite the many difficulties encountered during their long travel, the crusaders' fervor has not dimmed as they reached the gates of the Kingdom of Heaven.;Malgré les nombreuses difficultés rencontrées au cours de leur long voyage, la ferveur des croisés n'a pas diminué en atteignant les portes du Royaume des Cieux.;Trotzt der vielen Schwierigkeiten auf ihren langen Reisen hat der Eifer der Kreuzritter nicht nachgelassen als sie die Tore des Himmelreiches erreichten.;;A pesar de las muchas dificultades encontradas durante su largo viaje, el fervor de los cruzados no se ha atenuado ahora que llegan a las puertas del Reino de los Cielos.;;;;;;;;x
exploring_local_culture;Exploring Local Culture;Explore les cultures locales;Erforscht lokale Kultur;;Explorando la cultura local;;;;;x
well_versed_in_local_culture;Well Versed in Local Culture;Très au fait de la culture locale;Gut in lokaler Kultur bewandert;;Versado en cultura local;;;;;x
ruling_in_crusader_kingdom;Crusade Recipient;Bénéficiaire de la croisade;Begünstigter des Kreuzzugs;;Cruzada Receptor;;;;;x
taskmaster;Taskmaster;Chef exigeant;Aufseher;;Capataz;;;;;x
tough_taskmaster;Taskmaster;Chef très exigeant;Aufseher;;Capataz;;;;;x
inspirational_comet;Inspirational Comet;Comète inspirante;Inspirierender Komet;;Cometa inspirador;;;;;x
very_inspirational_comet;Inspirational Comet;Comète inspirante;Inspirierender Komet;;Cometa inspirador;;;;;x
settled_crusader_state;Settled Crusaders;Croisés installés;Sesshafte Kreuzritter;;Cruzados asentados;;;;;x
left_for_shepherds_crusade;Soldiers joined Shepherds' Crusade;Les soldats ont rejoint la croisade des pastoureaux;Soldaten, die sich dem Kreuzzug der Hirten angeschlossen haben;;Los soldados se unieron a la Cruzada de los pastores;;;;;x
shepherds_chaos;In the wake of the Shepherds' Crusade;Dans le sillage de la croisade des pastoureaux;Im Zuge des Kreuzzugs der Hirten;;A raíz de la Cruzada de los pastores;;;;;x
shepherds_settled;Settled Shepherds;Pastoureaux installés;Sesshafte Hirten;;Pastores asentados;;;;;x
ritual_hunt_trophy_wolf;Wolf Tooth;Dent de loup;Wolfszahn;;Diente de lobo;;;;;;;;x
ritual_hunt_trophy_wolf_desc;The gnawed tooth of a great wolf hunted down and slain by [GetTitledFirstName] after a long and perilous journey.;La dent rongée d'un grand loup traqué et tué par [Get_le_TitledFirstName] après un long et périlleux voyage.;Der abgenagte Zahn eines großen Wolfes, der nach einer langen und gefährlichen Jagd von [GetTitledFirstName] erbeutet wurde.;;Diente roído de un gran lobo al que [GetTitledFirstName] dio caza y mató tras un viaje largo y peligroso.;;;;;;;;x
ritual_hunt_trophy_bear;Bear Paw;Patte d'ours;Bärentatze;;Zarpa de oso;;;;;;;;x
ritual_hunt_trophy_bear_desc;The musky paw of a great bear hunted down and slain by [GetTitledFirstName] after a long and perilous journey.;La patte musquée d'un grand ours chassé et tué par [Get_le_TitledFirstName] après un voyage long et périlleux.;Die Tatze eines großen Bären, der nach einer langen und gefährlichen Jagd von [GetTitledFirstName] erbeutet wurde.;;Zarpa almizclada de un gran oso al que [GetTitledFirstName] dio caza y mató tras un viaje largo y peligroso.;;;;;;;;x
ritual_hunt_trophy_eagle;Eagle Talon;Serre d'aigle;Adlerkralle;;Garra de águila;;;;;;;;x
ritual_hunt_trophy_eagle_desc;The fierce talon of a great eagle hunted down and slain by [GetTitledFirstName] after a long and perilous journey.;La redoutable serre d'un grand aigle abattu par [Get_le_TitledFirstName] après un long et périlleux voyage.;Die spitze Klaue eines großen Adlers, der nach einer langen und gefährlichen Jagd von [GetTitledFirstName] erbeutet wurde.;;Garra fiera de una gran águila al que [GetTitledFirstName] dio caza y mató tras un viaje largo y peligroso.;;;;;;;;x
ritual_hunt_trophy_lion;Lion's Mane;Crinière de lion;Löwenmähne;;Cabellera de león;;;;;;;;x
ritual_hunt_trophy_lion_desc;The regal mane of a great lion hunted down and slain by [GetTitledFirstName] after a long and perilous journey.;La crinière royale d'un grand lion chassé et tué par [Get_le_TitledFirstName] après un voyage long et périlleux.;Die königliche Mähne eines großen Löwen, der nach einer langen und gefährlichen Jagd von [GetTitledFirstName] erbeutet wurde.;;Regia cabellera de un gran león al que [GetTitledFirstName] dio caza y mató tras un viaje largo y peligroso.;;;;;;;;x
finnish_bear_burning;Performed the Karhunpeijaiset;A effectué le karhunpeijaiset;Führte das Karhunpeijaiset durch;;Llevó a cabo el Karhunpeijaiset;;;;;;;;x
finnish_bear_burning_desc;This [GetGirlWomanBoyMan] has performed the sacred [finnish_pagan.GetName] ritual known as Karhunpeijaiset after slaying a great bear during a ritual hunt, ensuring the soul of this proud beast to find its rightful place in the next world.;Ce personnage a exécuté le rituel sacré de la foi [finnish_pagan.GetName] connu sous le nom de karhunpeijaiset après avoir tué un grand ours lors d'une chasse rituelle, assurant à l'âme de cette fière bête de trouver sa place légitime dans l'autre monde.;Dieser Charakter hat nach der Ermordung eines großen Bären während einer rituellen Jagd das heilige [finnish_pagan.GetName]e Ritual des Karhunpeijaiset durchgeführt und so sichergestellt, dass die Seele dieses stolzen Tieres seinen rechtmäßigen Platz in der nächsten Welt finden wird.;;Este personaje ha realizado el ritual sagrado [finnish_pagan.GetName] llamado Karhunpeijaiset tras matar a un gran oso en una caza ritual, asegurándose de que el alma de esta bestia orgullosa encuentra su legítimo lugar en el otro mundo.;;;;;;;;x
renowned_hero;Renowned Hero;Héros célèbre;Angesehener Held;;Héroe célebre;;;;;;;;x
renowned_hero_desc;This [GetGirlWomanBoyMan] is famous for [GetHerHis] combat prowess and warrior's blood [GetSheHe] carries in [GetHerHis] veins. [GetHerHisCap] presence alone has people swooning.;Ce personnage est célèbre pour ses prouesses au combat et le sang de guerrier qui coule dans ses veines. Sa seule présence fait s'évanouir des gens.;Dieser Charakter ist bekannt für seine Kampfkraft und das Blut der Krieger, dass er in seinen Adern trägt. Seine alleinige Anwesenheit lässt die Menschen ohnmächtig werden.;;Este personaje es famoso por su destreza en el combate y la sangre de guerrero que corre por sus venas. Su sola presencia hace que la gente se derrita.;;;;;;;;x
inspired_singer;Battle Singer;Chanteur avant la bataille;Schlachtensänger;;Cantante de guerra;;;;;;;;x
inspired_singer_desc;This [GetGirlWomanBoyMan] is known to inspire [GetHerHis] companions on the battlefield, singing songs of triumph even before the battle is won.;Ce personnage est connu pour inspirer ses compagnons sur le champ de bataille, en chantant des chansons de triomphe avant même que la bataille ne soit gagnée.;Dieser Charakter ist dafür bekannt [GetHerHis]e Gefährten auf dem Schlachtfeld zu inspirieren, indem er triumphierende Lieder singt, noch bevor die Schlacht gewonnen ist.;;Este personaje es célebre por inspirar a sus compañeros en el campo de batalla, cantando canciones de triunfo incluso antes de ganar la batalla.;;;;;;;;x
inspired_drummer;Battle Drummer;Joueur de tambour avant la bataille;Schlachtentrommler;;Tambor de combate;;;;;;;;x
inspired_drummer_desc;This [GetGirlWomanBoyMan] is known to intimidate [GetHerHis] enemies from a distance, rhythmically chanting threats of destruction upon entering a battle.;Ce personnage est connu pour intimider ses ennemis à distance, scandant des menaces de destruction au moment d'entrer dans une bataille.;Dieser Charakter ist dafür bekannt, dass er seine Feinde aus der Entfernung her einschüchtert, indem er bei Beginn des Kampfes rhythmische Klänge mit seinen Waffen macht.;;Este personaje es célebre por intimidar al enemigo a distancia, cantando rítmicamente amenazas de destrucción al entrar en combate.;;;;;;;;x
cowardly_ruler;Cowardly Ruler;Dirigeant lâche;Feiger Herrscher;;Gobernante cobarde;;;;;;;;x
cowardly_ruler_desc;This [GetGirlWomanBoyMan] is known for chickening out of a good challenge.;Ce personnage est connu pour se dégonfler devant un défi.;Dieser Charakter ist bekannt dafür vor Herausforderungen wegzulaufen.;;Este personaje tiene fama de acobardarse ante los desafíos.;;;;;;;;x

# Legendary Bloodlines ambition modifiers
forging_legend_building_infrastructure_1;Grandiose Infrastructure;Infrastructure grandiose;Grandiose Infrastruktur;;Infraestructuras grandiosas;;;;;;;;x
forging_legend_building_infrastructure_1_desc;This ruler is investing a considerable amount of [GetHerHis] realm's resources to better support the needs of artists and philosophers.;Ce dirigeant investit une quantité considérable de ressources de son pays pour mieux répondre aux besoins des artistes et des philosophes.;Dieser Herrscher investiert eine beträchtliche Menge der Ressourcen [GetHerHis]en Reiches, um die Bedürfnisse von Künstlern und Philosophen zu unterstützen.;;Este gobernante invierte una cantidad considerable de los recursos de su reino para financiar mejor las necesidades de artistas y filósofos.;;;;;;;;x
forging_legend_building_infrastructure_2;Expanding Infrastructure;Infrastructure améliorée;Erweitert Infrastruktur;;Expandiendo infraestructuras;;;;;;;;x
forging_legend_building_infrastructure_2_desc;This ruler is investing a considerable amount of [GetHerHis] realm's resources to better support the needs of artists and philosophers.;Ce dirigeant investit une quantité considérable de ressources de son pays pour mieux répondre aux besoins des artistes et des philosophes.;Dieser Herrscher investiert eine beträchtliche Menge der Ressourcen [GetHerHis]en Reiches, um die Bedürfnisse von Künstlern und Philosophen zu unterstützen.;;Este gobernante invierte una cantidad considerable de los recursos de su reino para financiar mejor las necesidades de artistas y filósofos.;;;;;;;;x
forging_legend_building_infrastructure_3;Palace of Arts;Palais des Arts;Kunstpalast;;Palacio de las artes;;;;;;;;x
forging_legend_building_infrastructure_3_desc;This ruler is expanding [GetHerHis] palace to host and support the needs of a stable host of poets, artists and philosophers.;Ce dirigeant étend son palais pour accueillir et répondre aux besoins d'un groupe régulier de poètes, d'artistes et de philosophes.;Dieser Herrscher erweitert [GetHerHis]en Palast, um die Bedürfnisse für ein Heer von Dichtern, Künstlern und Philosophen zu beherbergen und zu unterstützen.;;Este gobernante está expandiendo su palacio para albergar y financiar las necesidades de un gran grupo de poetas, artistas y filósofos.;;;;;;;;x
forging_legend_building_zealotry_1;Influencing Priesthood;Influence le clergé;Beeinflusst das Priestertum;;Sacerdocio influyente;;;;;;;;x
forging_legend_building_zealotry_1_desc;This ruler is spending a considerable amount of resources to exert [GetHerHis] influence over the realm's clergy and inspire religious fervor amongst [GetHerHis] populace.;Ce dirigeant dépense une quantité considérable de ressources pour exercer une influence sur le clergé du pays et inspirer la ferveur religieuse parmi sa population.;Dieser Herrscher gibt eine beträchtliche Menge an Ressourcen aus, um [GetHerHis]en Einfluss auf den Klerus in [GetHerHis]em Reich zu erweitern und unter [GetHerHis]er Bevölkerung religiöse Begeisterung zu wecken.;;Este gobernante invierte una cantidad considerable de para ejercer influencia en el clero del reino e inspirar fervor religioso entre su pueblo.;;;;;;;;x
forging_legend_building_zealotry_2;Encouraging Zealotry;Encourager le fanatisme;Ermutigt Fanatismus;;Animando el fanatismo;;;;;;;;x
forging_legend_building_zealotry_2_desc;This ruler is spending a considerable amount of influence to inspire religious fervor amongst [GetHerHis] populace.;Ce dirigeant dépense une quantité considérable de ressources pour inspirer la ferveur religieuse parmi sa population.;Dieser Herrscher wendet eine beträchtliche Menge [GetHerHis]es Einflusses dafür auf, um die religiöse Begeisterung unter [GetHerHis]er Bevölkerung zu wecken.;;Este gobernante invierte una cantidad considerable de influencia para inspirar fervor religioso entre su pueblo.;;;;;;;;x
forging_legend_censoring_arts_1;Inquisitorial Raids;Mission inquisitoriale;Inquisitorische Mission;;Incursiones inquisitoriales;;;;;;;;x
forging_legend_censoring_arts_1_desc;This ruler is exerting a direct control over all crafts and activities of [GetHerHis] subjects in order to prevent the spreading of any heretical thought within [GetHerHis] realm.;Ce dirigeant exerce un contrôle direct sur tous les métiers et activités de ses sujets afin d'empêcher la propagation de pensées hérétiques dans son pays.;Dieser Herrscher übt direkte Kontrolle über alle Kunsthandwerke und Aktivitäten [GetHerHis]er Untertanen aus und verhindert so die Verbreitung eines häretischen Denkens innerhalb [GetHerHis]es Reiches.;;Este gobernante ejerce un control directo sobre todo trabajo y actividad de sus súbditos para impedir que ninguna idea herética se extienda por el reino.;;;;;;;;x
forging_legend_censoring_arts_2;Inquisitorial Advisory;Conseil inquisitorial;Inquisitorische Beratung;;Consultas inquisitoriales;;;;;;;;x
forging_legend_censoring_arts_2_desc;This ruler has hired religious agents to oversee most of [GetHerHis] subjects' everyday activities in order to prevent the spreading of any heretical thought within [GetHerHis] realm.;Ce dirigeant a embauché des religieux pour surveiller la plupart des activités quotidiennes de ses sujets afin d'empêcher la propagation de pensées hérétiques dans son pays.;Dieser Herrscher hat religiöse Berater angeheuert, um die meisten alltäglichen Aktivitäten [GetHerHis]er Untertanen zu überwachen und die Verbreitung eines häretischen Denkens innerhalb [GetHerHis]es Reiches zu verhindern.;;Este gobernante ha contratado agentes religiosos para supervisar la mayor parte de las actividades diarias de sus súbditos para impedir que ninguna idea herética se extienda por el reino.;;;;;;;;x
forging_legend_censoring_arts_3;Censorious Efforts;Moyens de censure;Zensierungsbemühungen;;Esfuerzos censores;;;;;;;;x
forging_legend_censoring_arts_3_desc;This ruler has taken a personal interest in monitoring most of [GetHerHis] subjects' everyday activities in order to prevent the spreading of any heretical thought within [GetHerHis] realm.;Ce dirigeant a pris un intérêt personnel à surveiller la plupart des activités quotidiennes de ses sujets afin d'empêcher la propagation de pensées hérétiques dans son pays.;Dieser Herrscher hat persönliches Interesse darin die meisten alltäglichen Aktivitäten [GetHerHis]er Untertanen zu überwachen und so die Verbreitung eines häretischen Denkens innerhalb [GetHerHis]es Reiches zu verhindern.;;Este gobernante se ha tomado un interés especial en vigilar la mayor parte de las actividades diarias de sus súbditos para impedir la difusión de cualquier pensamiento herético en su reino.;;;;;;;;x
forging_legend_family_dedication_1;Familial Devotion;Important dévouement familial;Familiäre Hingabe;;Devoción familiar;;;;;;;;x
forging_legend_family_dedication_1_desc;This ruler is spending most of [GetHerHis] time pursuing the interests of [GetHerHis] family and trying to increase the standing and prestige of [GetHerHis] dynastic name.;Ce dirigeant passe le plus clair de son temps à défendre les intérêts de sa famille et à essayer d'accroître la réputation et le prestige de sa dynastie.;Dieser Herrscher verbringt den Großteil [GetHerHis]er Zeit damit die Interessen [GetHerHis]er Familie zu verfolgen und versucht dabei die Stellung und das Ansehen [GetHerHis]er Dynastie zu erhöhen.;;Este gobernante está dedicando la mayor parte del tiempo a luchar por los intereses de su familia e intentando aumentar la posición y prestigio de su propio nombre dinástico.;;;;;;;;x
forging_legend_family_dedication_2;Familial Dedication;Grand dévouement familial;Familiäres Engagement;;Dedicación familiar;;;;;;;;x
forging_legend_family_dedication_2_desc;This ruler is spending a considerate amount of time pursuing the interests of [GetHerHis] family and trying to increase the standing and prestige of [GetHerHis] dynastic name.;Ce dirigeant passe beaucoup de temps à défendre les intérêts de sa famille et à essayer d'accroître la réputation et le prestige de sa dynastie.;Dieser Herrscher verbringt viel Zeit damit die Interessen [GetHerHis]er Familie zu verfolgen und versucht dabei die Stellung und das Ansehen [GetHerHis]er Dynastie zu erhöhen.;;Este gobernante está dedicando una gran cantidad de tiempo a luchar por los intereses de su familia e intentando aumentar la posición y prestigio de su propio nombre dinástico.;;;;;;;;x
forging_legend_family_dedication_3;Familial Care;Dévouement familial;Familiäre Fürsorge;;Cuidado familiar;;;;;;;;x
