# Vanilla
alcohol_gift_decision;Send Alcohol Gift;Offrir de l'alcool;Alkohol-Geschenk schicken;;Enviar regalo de alcohol;;;;;;;;;x
hold_ukon_juhla;Hold Ukon Juhla Festival;Organiser la fête d'Ukko Ylijumala;Veranstaltet das Ukon Juhla Fest;;Celebrado el Festival Ukon Juhla ;;;;;;;;;x
hold_ukon_juhla_desc;Celebrate the coming of summer and pay tribute to Ukko, the god of weather and crops, by hosting the Ukon juhla festival.;Célébrez la venue de l'été et rendez hommage à Ukko, le dieu du temps et des récoltes, en organisant la fête d'Ukko Ylijumala.;Feiert den Beginn des Sommers und ehrt Ukko, den Gott des Wetters und Getreides, indem Ihr das Ukon Juhla Fest veranstaltest.;;Celebra la llegada del verano y rinde tributo a Ukko, el dios del clima y las cosechas, acogiendo el festival Ukon Juhla.;;;;;;;;;x
hold_uzgavenes;Hold Užgavenes Festival;Organiser la fête de l'Užgavenes;Užgavenes Fest veranstalten;;Celebrar el Festival Užgavenes;;;;;;;;;x
hold_uzgavenes_desc;The Užgavenes festival takes place in spring to celebrate the end of winter and the coming of summer.;La fête de l'Užgavenes se tient au printemps pour célébrer la fin de l'hiver et la venue de l'été.;Das Užgavenes Fest findet im Frühling statt, um das Ende des Winters und das Kommen des Sommers zu feiern.;;El festival Užgavenes se celebra en primavera para celebrar el fin del invierno y la llegada del verano.;;;;;;;;;x
organize_varangian_guard;Organize the Varangian Guard;Organiser la Garde varègue;Organisiert die Warägergarde;;Organizar la Guardia Varangiana;;;;;;;;;x
organize_varangian_guard_desc;Recruit Varangian warriors from the north into an elite unit that will serve as the personal guard of the [Root.GetTitle].;Recruter les guerriers varègues du nord pour former une unité d'élite qui servira de garde personnelle [Root.Get_only_au_Title][Root.GetTitle].;Rekrutiert Warägerkrieger aus dem Norden als Eliteeinheit, die [Root.GetTitle] als persönliche Leibwache dienen wird.;;Recluta guerreros Varangianos del norte para una unidad de élite que servirá como guardia personal del [Root.GetTitle].;;;;;;;;;x
pick_main_deity;Pick Patron Deity;Choisir une divinité protectrice;Schutzgott auswählen;;Elegir deidad protectora;;;;;;x
pick_main_deity_desc;There are many gods and goddesses who rule over different aspects of our life. While all of them should be honored properly, it is common for people to pick a deity whom they pray and sacrifice to more often.;Il y a de nombreux dieux et déesses qui règnent sur différents aspects de notre vie. Bien que tous devraient être honorés convenablement, il est normal pour les gens de choisir une divinité qu'ils prieront et pour laquelle ils feront des sacrifices plus souvent.;Es gibt viele Götter und Göttinnen, die über verschiedene Aspekte unseres Lebens herrschen. Obwohl alle von ihnen angemessen geehrt werden sollten, wählen Menschen meist eine Gottheit aus, die sie häufiger anbeten und der sie häufiger Opfer bringen.;;Hay muchos dioses y diosas que gobiernan distintos aspectos de nuestras vidas. Aunque todos deberían ser adorados como es debido, las personas suelen elegir a una deidad a la que rezan y ofrecen sacrificios más a menudo.;;;;;;x
restore_ecumenical_patriarchate;Restore the Ecumenical Patriarchate;Restaurer le patriarcat oecuménique;Stellt das ökumenische Patriarchat wieder her;;Restaurar el Patriarcado Ecuménico;;;;;;;;;x
restore_ecumenical_patriarchate_desc;Now that we control Constantinople, we can restore the Orthodox Ecumenical Patriarchate. May it return to its former glory!;Maintenant que nous contrôlons Constantinople, nous pouvons restaurer le Patriarcat oecuménique orthodoxe. Rendons-lui sa gloire d'antan !;Jetzt, da wir Konstantinopel besitzen, können wir das Orthodoxe Ökumenische Patriarchat wiederherstellen. Möge es zu seinem alten Glanz zurückkehren!;;Ahora que controlamos Constantinopla, podemos restaurar el Patriarcado Ecuménico Ortodoxo. ¡Volverá su antigua gloria!;;;;;;;;;x
restore_priesthood;Restore the High Priesthood;Restaurer la Grande Prêtrise;Stellt die Hohe Priesterschaft wieder her;;Restaurar el Sumo Sacerdocio;;;;;;;;;x
restore_priesthood_desc;If the Zoroastrian faith makes a return as the state religion of Persia, the time will be ripe for the reinstitution of the office of the Priest of Priests: the Moabadan-Moabad.;Si le zoroastrisme redevient la religion d'État en Perse, le temps sera venu de réintégrer dans ses fonctions le prêtre des prêtres : le Moabadan-Moabad.;Wenn der zoroastrische Glauben erneut als Staatsreligion in Persien Fuß fasst, so ist die Zeit reif, das Amt des Priesters aller Priester erneut zu etablieren: des Moabadan-Moabad.;;Si la fe Zoroastriana vuelve como la religión del estado de Persia, será el momento oportuno para restablecer el cargo de Sacerdote de Sacerdotes: el Moabadan-Moabad.;;;;;;;;;x
vassal_sacrifice_decision;Sacrifice;Sacrifier;Opfert;;Sacrifica;;;;;;;;;x
vassal_sacrifice_decision_desc;Have your priests sacrifice [Root.GetTitledFirstName] to the gods.;Demander à vos prêtres de sacrifier [Root.Get_le_TitledFirstName] aux dieux.;Lasst Eure Priester [Root.GetTitledFirstName] den Göttern opfern.;;Haz que tus sacerdotes sacrifiquen a [Root.GetTitledFirstName] a los dioses.;;;;;;;;;x
vassal_sacrifice_decision_named;Sacrifice [Root.GetFirstName];Sacrifier [Root.GetFirstName];[Root.GetFirstName] opfern;;Sacrifica a [Root.GetFirstName];;;;;;;;;x

# Charlemagne
borrow_money_haruriyyah;Borrow 300¤ from the Haruriyyah;Emprunter 300¤ aux Haruriyyah;Leiht Euch 300¤ von den Haruriyyah;;Pedir 300¤ prestados a los Haruriyyah;;;;;;;;;x
borrow_money_haruriyyah_desc;I can borrow money from the Haruriyyah and pay back the same sum at any time. However, while I'm in their debt, the Grand Master can make various requests, like one of my sons joining their ranks.;Je peux emprunter de l'argent aux Haruriyyah et rembourser la même somme quand bon me semble. Cependant, tant que cette dette existe, le Grand Maître peut formuler diverses requêtes, comme demander qu'un de mes fils rejoigne leurs rangs.;Ich kann mir von den Haruriyyah Geld leihen und den Betrag zu beliebiger Zeit zurückzahlen. Jedoch kann der Großmeister, während ich in ihrer Schuld stehe, an mich verschiedene Forderungen stellen, z.B. dass einer meiner Söhne dem Orden beitritt.;;Puedo pedir un préstamo a los Haruriyyah y devolverles la misma suma en cualquier momento. Sin embargo, mientras esté en deuda con ellos, el Gran Maestre podrá hacer distintas peticiones, como que uno de mis hijos se una a sus filas.;;;;;;;;;x
donate_money_to_haruriyyah;Donate 300¤ to the Haruriyyah;Donner 300¤ aux Haruriyyah;Spendet den Haruriyyah 300¤;;Donar 300¤ a los Haruriyyah;;;;;;;;;x
donate_money_to_haruriyyah_desc;I can donate money to the Haruriyyah in exchange for [Player.Religion.GetPietyName] and lifelong respect from the Priesthood.;Je peux donner de l'argent aux Haruriyyah en échange de [Player.Religion.GetPietyName] et du respect permanent du clergé.;Mit einer Geldspende an die Haruriyyah kann ich [Player.Religion.GetPietyName] und den lebenslangen Respekt der Priesterschaft erlangen.;;Puedo donar dinero a los Haruriyyah a cambio de [Player.Religion.GetPietyName] y el respeto de por vida del Clero.;;;;;;;;;x
donate_money_to_zun_warriors;Donate 300¤ to the Knights of the Sun;Donner 300¤ aux Chevaliers du Soleil;Spendet den Rittern der Sonne 300¤;;Donar 300¤ a los Caballeros del Sol;;;;;;;;;x
donate_money_to_zun_warriors_desc;I can donate money to the Knights of the Sun in exchange for [Player.Religion.GetPietyName] and lifelong respect from the Priesthood.;Je peux donner de l'argent aux Chevaliers du Soleil en échange de [Player.Religion.GetPietyName] et du respect permanent des prêtres.;Ich kann den Rittern der Sonne Geld spenden, um [Player.Religion.GetPietyName] und den lebenslangen Respekt der Priesterschaft zu erhalten.;;Puedo donar dinero a los Caballeros del Sol a cambio de [Player.Religion.GetPietyName] y el respeto de por vida del Clero.;;;;;;;;;x
expel_saint_anthony;Expel the Order of Saint Anthony;Expulser l'Ordre de Saint Antoine;Vertreibt den Orden des Heiligen Antonius;;Expulsar a la Orden de San Antonio;;;;;;;;;x
expel_saint_anthony_desc;I can drive the Order of Saint Anthony from my realm and seize their castles. However, it is a very impious thing to do...;Je peux expulser l'Ordre de Saint Antoine de mon pays et m'emparer de leurs commanderies. Ce serait par contre un acte des plus impies...;Ich kann den Orden des Heiligen Antonius aus meinem Reich vertreiben und mir ihre Burgen aneignen. Das ist jedoch eine sehr unfromme Tat ...;;Puedo echar a la Orden de San Antonio de mi reino y apoderarme de sus castillos. Sin embargo, es una acción muy impía...;;;;;;;;;x
expel_the_haruriyyah;Expel the Haruriyyah;Expulser les Haruriyyah;Vertreibt die Haruriyyah;;Expulsar a los Haruriyyah;;;;;;;;;x
expel_the_haruriyyah_desc;I can drive the Haruriyyah from my realm and seize their castles. However, it is a very impious thing to do...;Je peux expulser les Haruriyyah de mon pays et m'emparer de leurs commanderies. Ce serait par contre un acte des plus impies...;Ich kann die Haruriyyah aus meinem Reich vertreiben und ihre Burgen beschlagnahmen. Allerdings wäre das leider nicht sehr fromm ...;;Puedo manejar a los Haruriyyah de mi reino y arrebatarles sus castillos. No obstante, eso sería una acción muy impía...;;;;;;;;;x
expel_zun_warriors;Expel the Knights of the Sun;Expulser les Chevaliers du Soleil;Vertreibt die Ritter der Sonne;;Expulsar a los Caballeros del Sol;;;;;;;;;x
expel_zun_warriors_desc;I can drive the Knights of the Sun from my realm and seize their castles. However, it is a very impious thing to do...;Je peux expulser les Chevaliers du Soleil de mon pays et m'emparer de leurs commanderies. Ce serait par contre un acte des plus impies...;Ich kann die Ritter der Sonne aus dem Land jagen und ihre Burgen beschlagnahmen. Allerdings wäre das leider nicht sehr fromm ...;;Puedo manejar a los Caballeros del Sol de mi reino y arrebatarles sus castillos. No obstante, eso sería una acción muy impía...;;;;;;;;;x
form_new_empire;Found a New Empire;Former un nouvel empire;Neues Kaiserreich gründen;;Forma un nuevo Imperio;;;;;;;;;x
form_new_empire_desc;A powerful [Root.PrimaryTitle.GetRulerTitle] such as I surely deserves to be recognized as something more. Perhaps the time has come to claim my place in the sun...;Notre influence croît au fur et à mesure que le royaume s'étend. L'époque où nous formions un royaume est révolue, faites place au nouvel empire !;Mit unserem Reich ist auch unser Einfluss gewachsen. Wir sind jetzt kein bloßes Königreich mehr, wir können uns zum Kaiserreich erklären!;;A medida que nuestros dominios han crecido, también lo ha hecho nuestra influencia. Ya no podemos ser considerados sólo un ducado, ¡ahora nos podemos proclamar imperio!;;;;;;;;;x
form_new_kingdom;Found a New Kingdom;Former un nouveau royaume;Ein neues Königreich gründen;;Formar un nuevo reino;;;;;;;;;x
form_new_kingdom_desc;A powerful [Root.PrimaryTitle.GetRulerTitle] such as I surely deserves to be recognized as something more. Perhaps the time has come to claim my place in the sun...;En tant que [Root.PrimaryTitle.GetRulerTitle] à la puissance reconnue, je mérite un meilleur rang. Peut-être que le temps est venu de revendiquer ma place sur un trône royal !;Mit unserem Reich ist auch unser Einfluss gewachsen. Wir sind jetzt kein bloßes Herzogtum mehr, wir können uns zum Königreich erklären!;;A medida que nuestros dominios han crecido, también lo ha hecho nuestra influencia. Ya no podemos ser considerados sólo un ducado, ¡ahora nos podemos proclamar reino!;;;;;;;;x
hold_zun_feast;Hold Festival of the Sun;Organiser la fête du Soleil;Feiert ein Fest der Sonne;;Mantener el Festival del Sol;;;;;;;;;x
hold_zun_feast_desc;Hold a Festival of the Sun with your vassals and courtiers, celebrating the summer solstice and paying homage to Zun the Giver of Light and Justice.;Organiser une fête du Soleil avec vos vassaux et vos courtisans, afin de célébrer le solstice d'été et d'honorer Zun, celui qui donne la Lumière et la Justice.;Haltet mit Euren Vasallen und Höflingen ein Fest der Sonne ab, bei dem die Sommersonnenwende gefeiert und Zun, dem Bringer des Lichts, und der Gerechtigkeit gehuldigt wird.;;Mantener un Festival del Sol con tus vasallos y cortesanos, celebrando el solsticio de verano y rendir homenaje a Zun, el que Imparte Luz y Justicia.;;;;;;;;;x
renounce_iconoclasm;Renounce Iconoclasm;Renoncer à l'iconoclasme;Dem Ikonoklasmus abschwören;;Renunciar a la Iconoclastia;;;;;;;;;x
renounce_iconoclasm_desc;Many in your realm and abroad are strongly against the Iconoclast doctrine, which forbids the creation or possession of any religious images or icons and condemns it as idolatry. You could, in the interest of pragmatism, choose to renounce Iconoclasm and declare it a heresy.;Nombreux sont ceux qui, partout dans le royaume et plus loin encore, s'opposent à la doctrine iconoclaste qui défend la création ou la possession d'images ou d'icônes religieuses et condamne l'idolâtrie. Vous pouvez, par pragmatisme, choisir de renoncer à l'iconoclasme et le déclarer comme hérésie.;Viele in Eurem Reich lehnen die Lehre des Ikonoklasmus ab, die die Erschaffung und den Besitz religiöser Bilder oder Ikonen verbietet und sie als Götzendienst verdammt. Ihr habt ganz pragmatisch die Wahl, dem Ikonoklasmus abzuschwören und diese Lehre zur Ketzerei zu erklären.;;Muchos en tu reino, y fuera de él, están radicalmente en contra de la doctrina Iconoclasta que prohíbe la creación y tenencia de cualquier símbolo o imagen religiosa y acusándolo de idolatría. Podrías, para ser pragmáticos, elegir renunciar a la Iconoclastia y declararla una herejía.;;;;;;;;;x
vassal_zun_judgement_decision;Have [Root.GetTitledFirstName] judged by Zun;Faire juger [Root.Get_le_TitledFirstName] par Zun;Lasst Zun ein Urteil über [Root.GetTitledFirstName] fällen;; Hacer juzgar a [Root.GetTitledFirstName] por Zun;;;;;;;;;x
vassal_zun_judgement_decision_desc;By having [Root.GetTitledFirstName] thrown into a pit in the middle of the desert, [Root.GetSheHe] shall be exposed to Zun for days and will be most likely given the 'justice' that [Root.GetSheHe] deserves.;En faisant jeter [Root.Get_le_TitledFirstName] dans un puits au beau milieu du désert, vous [Root.GetLeLa] soumettrez au jugement de Zun pendant plusieurs jours. [Root.GetIlElleCap] recevra alors la 'justice' qu'il mérite.;Indem wir [Root.GetTitledFirstName] in einer Grube mitten in der Wüste schmachten lassen, wo [Root.GetSheHe] tagelang Zun ausgesetzt sein wird, dürfte [Root.Getihmihr] die "Gerechtigkeit" zuteil werden, die [Root.GetSheHe] verdient.;;Habiendo arrojado a [Root.GetTitledFirstName] en un pozo en medio del desierto, estará expuesto a Zun durante días y obtendrá, más probablemente, la "justicia" que se merece.;;;;;;;;;x

# Conclave
ask_for_land;Ask Liege for Land;Demander des terres [Root.GetAuAla] [Root.GetLordLady] lige;Lehnsherrn um Land bitten;;Pedir tierras a mi señor;;;;;;;;;x
ask_for_land_desc;I can ask my Liege, §Y[Root.GetTitledFirstName]§!, to grant some land to my unlanded child. This can only be done once every two years.;Je peux demander à m[Root.GetOnA] [Root.GetLordLady] lige, [Root.Get_le_TitledFirstNameJ], d'accorder une terre à mon enfant qui n'en a pas. Cela ne peut être fait qu'une fois tous les deux ans.;Ich kann meinen Lehnsherrn, §Y[Root.GetTitledFirstName]§!, bitten, meinen Kindern ohne Landbesitz etwas Land zu schenken. Dies kann ich nur einmal alle zwei Jahre tun.;;Puedo pedir a mi señor, §Y[Root.GetTitledFirstName]§!, que conceda algunas tierras a mi hijo que no las tiene. Esto solo se puede hacer una vez cada dos años.;;;;;;;;x
ask_for_pardon;Ask for Pardon;Demander grâce;Begnadigung ersuchen;;Pedir perdón;;;;;;;;;x
ask_for_pardon_desc;Call in a §YFavor§! to remove any reason to banish, execute, imprison or revoke titles your liege may have.;Demandez une §Yfaveur§! pour annuler toute raison que pourrait posséder votre [Root.Liege.GetLordLady] lige de bannir, exécuter, emprisonner ou révoquer un titre.;Fordert einen §YGefallen§! ein, um sämtliche Gründe, die Euer Lehnsherr haben mag, um Euch zu verstoßen, hinzurichten, einzukerkern oder Titel abzuerkennen, zu annullieren.;;Reclamar un §YFavor§! para eliminar cualquier motivo para desterrar, ejecutar, encarcelar o revocar títulos que tenga tu señor.;;;;;;;;;x
ask_wards_liege_to_allow_culture_religion_swap;Ask Permission for Heritage Focus;Demander la permission pour l'intérêt Héritage;Um Erlaubnis zur Erziehung mit einem Schwergewicht auf dem kulturellen Erbe bitten;;Pedir permiso para enfoque de patrimonio;;;;;;;;;x
ask_wards_liege_to_allow_culture_religion_swap_desc;Send a letter to §Y[Root.Liege.GetTitledFirstName]§! asking for permission to change the focus for the upbringing of §Y[Root.GetFirstName]§!. Focusing on §YHeritage§! will make §Y[Root.GetFirstName]§! adopt the Guardian's religion and culture.;Envoyer une lettre [Root.Liege.Get_au_TitledFirstNameJ] demandant la permission de changer ce sur quoi se concentre l'éducation de §Y[Root.GetFirstName]§!. Se concentrer sur l'§Yhéritage§! lui fera adopter la religion et la culture du tuteur.;Schickt einen Brief an §Y[Root.Liege.GetTitledFirstName]§! und bittet um die Erlaubnis, den Schwerpunkt bei der Erziehung von §Y[Root.GetFirstName]§! ändern zu dürfen. Den Schwerpunkt bei der Erziehung auf §YTradition§! zu legen, wird §Y[Root.GetFirstName]§! dazu bringen, die Religion und die Kultur des Vormunds anzunehmen.;;Enviar una carta a §Y[Root.Liege.GetTitledFirstName]§! pidiendo permiso para cambiar el foco de la educación de §Y[Root.GetFirstName]§!. Centrarse en la §Yherencia§! hará que §Y[Root.GetFirstName]§! adopte la religión y cultura del tutor.;;;;;;;;;x
ask_wards_liege_to_allow_faith_focus;Ask Permission for Faith Focus;Demander la religion comme intérêt;Um Erlaubnis zur Erziehung mit einem Schwergewicht auf dem Glauben bitten;;Pedir permiso para enfoque de fe;;;;;;;;;x
ask_wards_liege_to_allow_faith_focus_desc;Send a letter to §Y[Root.Liege.GetTitledFirstName]§! asking for permission to change the childhood focus of §Y[Root.GetFirstName]§!. Focusing on faith will make §Y[Root.GetFirstName]§! adopt your religion.;Envoyer une lettre à votre [Root.Liege.GetLordLady] lige, [Root.Liege.Get_le_TitledFirstNameJ], pour demander la permission de changer l'intérêt d'éducation de §Y[Root.GetFirstName]§!. Se concentrer sur la religion lui permettra d'adopter la vôtre.;Sendet einen Brief an §Y[Root.Liege.GetTitledFirstName]§! und bittet um Erlaubnis, den Kindheitsfokus von §Y[Root.GetFirstName]§! zu ändern. Wenn Ihr den Schwerpunkt auf den Glauben legt, nimmt §Y[Root.GetFirstName]§! Eure Religion an.;;Enviar una carta a §Y[Root.Liege.GetTitledFirstName]§! que pida permiso para cambiar el enfoque durante la niñez de §Y[Root.GetFirstName]§!. Poner el enfoque en la fe hará que §Y[Root.GetFirstName]§! abrace tu religión.;;;;;;;;;x
break_up_with_lover;Break Up;Rompre;Zerwürfnis;;Ruptura;;;;;;;;;x
break_up_with_lover_desc;Your love affair with §Y[Root.GetTitledFirstNameNoRegnal]§! is ended.;Votre histoire d'amour avec [Root.Get_only_le_Title]§Y[Root.GetTitledFirstNameNoRegnal]§! prend fin.;Eure Liebesaffäre mit [Root.GetTitledFirstNameNoRegnal] ist vorbei.;;Tu relación amorosa con §Y[Root.GetTitledFirstNameNoRegnal]§! se ha terminado.;;;;;;;;;x
break_up_with_lover_named;Break up with [Root.GetFirstName];Rompre avec [Root.GetFirstName];Von [Root.GetFirstName] trennen;;Romper la relación con [Root.GetFirstName];;;;;;;;;x
build_observatory;Build Observatory;Construire un observatoire;Observatorium bauen;;Construir observatorio;;;;;;;;;x
build_observatory_desc;I can invest in building an observatory to start studying the stars and other celestial bodies. Who knows what I might learn?;Je peux construire un observatoire pour commencer à étudier les étoiles et les autres corps célestes. Qui sait ce que je pourrai apprendre ?;Ich kann in den Bau eines Observatoriums investieren, um damit die Sterne und andere Himmelskörper zu erforschen. Wer weiß, welche Kenntnisse ich mir dadurch aneignen kann?;;Puedo invertir en la construcción de un observatorio para empezar a estudiar las estrellas y otros cuerpos celestes. ¿Quién sabe qué podría aprender?;;;;;;;;;x
change_composition_mercenary_company_feudal;Send Equipment to Company;Envoyer l'équipement à la compagnie;Ausrüstung an Trupp senden;;Enviar equipo a compañía;;;;;;;;;x
change_composition_mercenary_company_feudal_desc;By sending more equipment to the Mercenary Company, they will be able to equip lighter units to become heavier units and change its composition.;En envoyant davantage d'équipement à la compagnie de mercenaires, ils pourront équiper les unités les plus légères afin d'en faire des unités lourdes et ainsi changer la composition de leurs rangs.;Wenn Ihr den Söldnertrupp mit mehr Ausrüstung versorgt, können leichtere Einheiten zu schwereren aufgewertet werden, um die Zusammenstellung des Trupps zu verändern.;;Enviando más equipos a la compañía mercenaria, podrán equipar más a las unidades ligeras para que sean más pesadas y cambiar su composición.;;;;;;;;;x
change_council_job;Change Council Position;Changer de poste au sein du Conseil;Ratsposition ändern;;Cambiar puesto del Consejo;;;;;;;;;x
change_council_job_desc;If you think that §Y[Root.GetTitledName]§! is better suited for another job on the council you can exchange [Root.GetHerHis] current council job for another one.;Si vous pensez qu'une autre fonction au sein du Conseil conviendrait mieux [Root.Get_au_TitledNameJ], vous pouvez librement modifier celle-ci.;Wenn Ihr denkt, dass §Y[Root.GetTitledName]§! für eine andere Stelle im Rat besser geeignet ist, könnt Ihr die aktuelle Stelle dieser Person ändern.;;Si crees que §Y[Root.GetTitledName]§! es más adecuado para otro trabajo en el Consejo puedes cambiar [Root.GetHerHis] trabajo actual en el Consejo por otro.;;;;x
change_wards_focus_to_faith;Change Childhood Focus to Faith;Choisir la religion comme intérêt;Ändert den Kindheitsfokus auf Glauben;;Cambiar enfoque de niñez a fe;;;;;;;;;x
change_wards_focus_to_faith_desc;Change the focus of §Y[Root.GetFirstName]§!. Focusing on faith will make §Y[Root.GetFirstName]§! adopt your religion.;Changer l'intérêt d'éducation de §Y[Root.GetFirstName]§!. Se concentrer sur la religion lui permettra d'adopter la vôtre.;Ändert den Schwerpunkt von §Y[Root.GetFirstName]§!. Wenn Ihr den Schwerpunkt auf den Glauben legt, nimmt §Y[Root.GetFirstName]§! Eure Religion an.;;Cambiar el enfoque de §Y[Root.GetFirstName]§!. Poner el enfoque en la fe hará que §Y[Root.GetFirstName]§! abrace tu religión.;;;;;;;;;x
change_wards_focus_to_heritage;Change Childhood Focus to Heritage;Choisir l'héritage comme intérêt;Bildungsschwerpunkt auf Tradition legen;;Cambiar foco infantil a Herencia;;;;;;;;;x
change_wards_focus_to_heritage_desc;Change the focus for the upbringing of §Y[Root.GetFirstName]§!. Focusing on §YHeritage§! will make §Y[Root.GetFirstName]§! adopt the Guardian's religion and culture.;Changer ce sur quoi se concentre l'éducation de §Y[Root.GetFirstName]§!. Se concentrer sur l'§Yhéritage§! lui fera adopter la religion et la culture du tuteur.;Ändert den Schwerpunkt bei der Erziehung von §Y[Root.GetFirstName]§!. Den Schwerpunkt bei der Erziehung auf §YTradition§! zu legen, wird §Y[Root.GetFirstName]§! dazu bringen, die Religion und die Kultur des Vormunds anzunehmen.;;Cambia el foco de la educación de §Y[Root.GetFirstName]§!. Centrarse en la §Yherencia§! hará que §Y[Root.GetFirstName]§! adopte la religión y cultura del tutor.;;;;;;;;;x
create_mercenary_company_feudal;Assemble Mercenary Company;Former une compagnie mercenaire;Söldnertrupp zusammenstellen;;Organiza una compañía mercenaria;;;;;;;;;x
create_mercenary_company_feudal_desc;Gather some men under the command of §Y[Root.GetFirstName]§! and make them available for anyone to hire. You will gain part of the income that the company brings in when hired by another party.;Rassemblez des hommes sous le commandement de §Y[Root.GetFirstName]§! et faites-en des mercenaires. Vous toucherez une partie des revenus de la compagnie si elle est engagée par une tierce partie.;Stellt eine Truppe von Männern unter dem Kommando von [Root.GetFirstName] zusammen und bietet ihre Dienste gegen Bezahlung feil. Ihr erhaltet einen Teil des Einkommens, den die Truppe erwirtschaftet, wenn jemand sie anwirbt.;;Reúne hombres bajo el mando de §Y[Root.GetFirstName]y§! haz que estén disponibles para cualquiera que los contrate. Conseguirás una parte de los ingresos que lo logre la compañía cuando sean contratados por otro grupo.;;;;;;;;;x
demand_liege_title;Ask Liege for Title;Demander un titre [Root.Liege.GetAuAla] [Root.Liege.GetLordLady] lige;Lehnsherr um Titel bitten;;Pide al señor un título;;;;;;;;;x
demand_liege_title_desc;My liege holds many titles. As a loyal vassal, surely he could spare me some land...;M[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige possède de nombreux titres. Au vu de mes bons et loyaux services, [Root.Liege.GetIlElle] pourrait certainement me faire don de quelques terres.;Mein Lehnsherr hält viele Titel. Für mich, seinen loyalen Vasallen, könnte er vielleicht etwas Land erübrigen ...;;Mi señor tiene muchos títulos. Como vasallo leal, seguramente él podría compartir algo de tierra...;;;;;;;;;x
dissolve_mercenary_company_feudal;Dissolve Mercenary Company;Dissoudre la compagnie;Söldnertrupp auflösen;;Disolver compañía mercenaria;;;;;;;;;x
dissolve_mercenary_company_feudal_desc;This will put an end to the Mercenary Company. Your current Mercenary Captain may not like this.;Voici qui mettra un terme à la compagnie de mercenaires. Leur capitaine actuel n'appréciera peut-être pas.;Der Söldnertrupp wird aufgelöst. Dem Hauptmann der Söldner wird das überhaupt nicht gefallen.;;Esto pondrá fin a la compañía de mercenario. A tu actual capit[Root.GetAnAna] mercenari[Root.GetOA] puede que no le guste.;;;;;;;;;x
donate_to_liege;Offer a 200¤ Donation to your Liege;Offrir 200¤ à votre [Root.Liege.GetLordLady] lige;Bietet Eurem Lehnsherrn eine Spende über 200¤ an.;;Ofrecer una donación de 200¤ a tu señor;;;;;;;;;x
donate_to_liege_desc;As your Liege is building a War Chest you can seize the opportunity and send a generous donation. By sending 200¤at this precarious time you might gain the favor of your liege!;Puisque votre [Root.Liege.GetLordLady] lige s'efforce de constituer un trésor de guerre, vous avez l'occasion d'envoyer une contribution généreuse. En ces temps incertains, lui envoyer 200¤ vous fera peut-être gagner ses faveurs !;Euer Lehnsherr ist dabei, seine Kriegskasse aufzustocken und Ihr könntet ihm dabei behilflich sein. Wenn Ihr jetzt, in diesen kritischen Tagen, 200¤ spendet, könntet Ihr Euch womöglich seine Gunst und Dankbarkeit sichern!;;Ya como tu señor está creando un cofre de guerra, puedes aprovechar la oportunidad y enviar una donación generosa. ¡Enviando 200¤ en estos momentos precarios podrías ganar el favor de su señor!;;;;;;;;;x
extort_subjects;Extort Subjects;Extorquer vos sujets;Untertanen erpressen;;Extorsionar súbditos.;;;;;;;;;x
extort_subjects_desc;Extorting your subjects is a great way of quickly raising funds for your War Chest - beware though, for this action will be seen as tyrannical by your subjects. The mental health of rulers who care for their subjects may take damage from this action.;L'extorsion est un bon moyen de lever des fonds rapidement pour votre trésor de guerre, mais attention. Cette action sera perçue comme tyrannique par vos sujets. La santé mentale des souverains qui tiennent à leurs sujets en sera affectée.;Die Erpressung von Untertanen ist eine gute Maßnahme, um schnell die Kriegskasse zu füllen. Trotzdem ist Vorsicht geboten, denn diese Maßnahme gilt bei den Vasallen als tyrannisch. Einem Herrscher, dem das Wohl seiner Untertanen am Herzen liegen, kann damit seinen Seelenfrieden ruinieren.;;Extorsionar a tus súbditos es un gran modo de conseguir fondos rápidos para tu Cofre de guerra. Aunque cuidado, porque tus súbditos considerarán esta acción como tiránica. La salud mental de los gobernantes que se preocupan por sus súbditos puede sufrir daño con esta acción.;;;;;;;;;x
introduce_heir;Introduce Heir to the Realm;Présenter l'héritier aux vassaux;Dem Reich den Erben vorstellen;;Presentar heredero al Reino;;;;;;;;;x
introduce_heir_desc;As your heir is soon of age you can choose to formally introduce [Root.GetHerHim] to the vassals of the realm. This can help build trust that will certainly prove useful for the child in the future.;Lorsque l'héritier atteint l'âge de sa maturité, vous pouvez le présenter officiellement à vos vassaux. Vous renforcerez ainsi des rapports de confiance qui seront utiles à l'enfant à l'avenir.;Euer Nachfolger erreicht bald das Alter, um ihn oder sie den Vasallen des Reiches offiziell vorzustellen. Dies kann helfen, Vertrauen aufzubauen und dem Kind in Zukunft sicher nützlich sein.;;Ahora que tu heredero pronto alcanzará su edad puedes elegir presentarle formalmente a los vasallos del reino. Esto puede ayudar a construir la confianza que ciertamente será útil para el niño en el futuro.;;;;;;;;;x
introduce_heir_named;Introduce Heir to the Realm;Présenter l'héritier aux vassaux;Dem Reich den Erben vorstellen;;Presentar heredero al Reino;;;;;;;;;x
request_council_position;Request Council Position;Demander un siège au Conseil;Position im Rat beantragen;;Pedir puesto en el consejo;;;;;;;;;x
