abrahamic_antihellenic_revolt;Hellenic Civil War;Guerre civile hellénique;Hellenistischer Bürgerkrieg;;Guerra civil helénica;;;;;;;;x
abrahamic_antihellenic_revolt_desc;The decision to reinstate a dead, heathen cult in place of the worship of the Abrahamic god has dragged the newly-reformed Empire into civil war.;La décision de rétablir un ancien culte païen à la place de celui du dieu abrahamique a entraîné l'Empire nouvellement réformé dans la guerre civile.;Die Entscheidung einen toten, heidnischen Kult anstelle des abrahamischen Gottes wiedereinzusetzen, hat das kürzlich reformierte Reich in einen Bürgerkrieg gezogen.;;La decisión de restaurar un culto muerto y pagano en lugar de adorar al dios abrahámico ha molestado a muchos vasallos por todo el Imperio.;;;;;;;;x
truebelievers_bid_for_independence_desc;§Y$CLAIMANT$§! can attempt to declare independence from §Y$TARGET$§! for renouncing the old faith!;§Y$CLAIMANT$§! peut tenter de déclarer son indépendance à §Y$TARGET$§! pour abjurer l'ancienne foi !;§Y$CLAIMANT$§! kann versuchen die Unabhängigkeit von §Y$TARGET$§! zu erklären, dafür das sie auf den alten Glauben verzichten!;;¡§Y$CLAIMANT$§! puede intentar declarar la independencia de §Y$TARGET$§! por renunciar a la vieja fe!;;;;;;;;;x
unjust_conquest_desc;You can choose to dispute any County that borders you. Beware that choosing to wage a conquest not backed by a Claim carries hefty penalties - the penalties are the highest when attacking someone following your religion, fairly high while attacking someone of your religious group and still significant when attacking someone of another religious group.;Vous pouvez choisir de contester tout comté frontalier. Sachez que faire une conquête non soutenue par une revendication implique de lourdes pénalités - celles-ci sont les plus élevées en attaquant quelqu'un de votre religion, assez élevées en attaquant quelqu'un de votre groupe religieux et toujours importantes lors de l'attaque d'un autre groupe religieux.;Ihr könnt einen Disput auf jedes Herzogtum ausführen, an das Ihr angrenzt. Achtet darauf, dass die Wahl, eine Eroberung durchzuführen, die nicht von einem Anspruch unterstützt wird, heftige Strafen mit sich bringt. Die Strafen sind am höchsten, wenn Ihr jemanden Eurer Religion angreift, relativ hoch, wenn Ihr jemanden Eurer Religionsgruppe angreift, und immer noch spürbar, wenn Ihr jemanden einer anderen Religionsgruppe angreift.;;Puedes elegir disputar cualquier condado con el que tengas frontera. Cuidado, pues lanzar una conquista no apoyada por una reclamación tiene penalizaciones fuertes. Las mayores al atacar a un seguidor de tu religión, bastante altas al atacar a alguien de tu grupo religioso, y significativas si atacas a alguien de otro grupo religioso.;;;;;;;;;x
viking_invasion_desc;Norse Pagans can declare their intention to invade all the territory held by a sufficiently powerful target within a given de jure kingdom. This will swell their ranks with adventurers, but they must attack within two years.;Les païens nordiques peuvent faire savoir leur intention d'envahir tout le territoire détenu par une cible suffisamment puissante dans un royaume de jure donné. Des aventuriers joindront leurs rangs mais ils devront passer à l'attaque dans les deux années.;Nordische Heiden können ihre Absicht erklären, in das gesamte Gebiet eines ausreichend mächtigen Ziels innerhalb eines De-jure-Königreichs einzufallen. Dies wird ihre Ränge mit Abenteurern füllen, sie müssen allerdings innerhalb von zwei Jahren angreifen.;;Los Paganos Nórdicos pueden declarar su intención de invadir todo el territorio en poder de un objetivo lo suficientemente poderoso dentro de un reino de jure dado. Esto engrosará sus filas con aventureros, pero debe atacar dentro del plazo de dos años.;;;;;;;;;x
WAR_DUCHY_ADVENTURE;[Actor.GetTitledFirstName]'s Conquest of $OTHER_TITLE$;Conquête de $OTHER_TITLE$ par [Actor.Get_le_TitledFirstName];[Actor.GetTitledFirstName]s Eroberung von $OTHER_TITLE$;;Conquista de [Actor.GetTitledFirstName] de $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_ANTIHELLENIC_WAR;$ORDER$$SECOND_ADJ$ Hellenic Civil War;$ORDER$Guerre civile hellénique $SECOND_ADJ$;$ORDER$$SECOND_ADJ$er hellenistischer Bürgerkrieg;;$ORDER$Guerra civil $SECOND_ADJ$helénica;;;;;;;;x
WAR_NAME_CLAIM;$ORDER$$FIRST_ADJ$ Claim on $OTHER_TITLE$ War;$ORDER$Guerre de revendication $FIRST_ADJ$ sur $OTHER_TITLE$;$ORDER$$FIRST_ADJ$er Krieg um den Anspruch auf $OTHER_TITLE$;;$ORDER$ Guerra $FIRST_ADJ$ por el $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_CLAIM_ALL;$ORDER$$FIRST_ADJ$ War for the $CLAIMS$;$ORDER$Guerre $FIRST_ADJ$ pour $CLAIMS$;$ORDER$$FIRST_ADJ$er Krieg um $CLAIMS$;;$ORDER$$FIRST_ADJ$ Guerra por $CLAIMS$;;;;;;;;;x
WAR_NAME_CLAIM_LIEGE;$ATTACKER$'s $ORDER$War for $OTHER_TITLE$;$ORDER$Guerre de $ATTACKER$ pour $OTHER_TITLE$;$ATTACKER$s $ORDER$ Krieg um $OTHER_TITLE$;;$ORDER$ Guerra de $ATTACKER$ por $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_CLAIM_VASSAL;$ATTACKER$'s $ORDER$War to Revoke $OTHER_TITLE$;$ORDER$Guerre de $ATTACKER$ pour obtenir $OTHER_TITLE$;$ATTACKER$'s $ORDER$Krieg zur Aberkennung von $OTHER_TITLE$;;$ATTACKER$ $ORDER$una guerra para revocar $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_CLAN_REVOLT;$ORDER$$ATTACKER$ Clan Revolt for $OTHER_TITLE$;$ORDER$Révolte du clan $ATTACKER$ pour $OTHER_TITLE$;$ORDER$$ATTACKER$s Klanrevolte um $OTHER_TITLE$;;$ORDER$$ATTACKER$ Rebelión del clan por $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_COASTAL_COUNTY_REPUBLIC;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ War for the Coast of $OTHER_TITLE$;$ORDER$Guerre entre $FIRST$ et $SECOND$ pour les côtes de $OTHER_TITLE$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$er Krieg um die Küste von $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Se enfrentan por la costa de $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_COASTAL_REPUBLIC;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ War for the City of $OTHER_TITLE$;$ORDER$Guerre entre $FIRST$ et $SECOND$ pour la cité de $OTHER_TITLE$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$er Krieg um die Stadt von $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ se enfrentan por la ciudad de $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_COUNTY_CONQUEST;$ORDER$$FIRST_ADJ$ Conquest of $OTHER_TITLE$;$ORDER$Conquête $FIRST_ADJ$ de $OTHER_TITLE$;$ORDER$$FIRST_ADJ$e Eroberung von $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$ conquista $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_CRUSADE;$ORDER$$RELIGION$ $HOLY_WAR$ for $OTHER_TITLE$;$ORDER$$HOLY_WAR$ $RELIGION$ pour $OTHER_TITLE$;$ORDER$$RELIGION$er $HOLY_WAR$ zur Befreiung von $OTHER_TITLE$;;$ORDER$$RELIGION$ $HOLY_WAR$ por $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_DEC_INVASION;$FIRST_ADJ$ Invasion of $SECOND$;Invasion $FIRST_ADJ$ de $SECOND$;$FIRST_ADJ$e Invasion von $SECOND$;;Invasión $FIRST_ADJ$ de $SECOND$;;;;;;;;;x
WAR_NAME_DECADENCE_USURPTION;$ORDER$$FIRST_ADJ$ Decadence Usurption;$ORDER$Usurpation $FIRST_ADJ$ par décadence;$ORDER$$FIRST_ADJ$e Dekadenz-Usurpation;;$ORDER$$FIRST_ADJ$ Usurpación de Decadencia;;;;;;;;;x
WAR_NAME_DEJUREBARONYCLAIM;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ De Jure Holding War over $OTHER_TITLE$;$ORDER$Guerre entre $FIRST$ et $SECOND$ pour le titre de jure de $OTHER_TITLE$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$er De-jure-Krieg um $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ guerra legal por posesiones por $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_DEJURECLAIM;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ De Jure War over $OTHER_TITLE$;$ORDER$Guerre de revendication de jure entre $FIRST$ et $SECOND$ pour obtenir $OTHER_TITLE$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$er De-jure-Krieg über $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ de facto guerra sobre $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_DEPOSE_ANTIPOPE;$FIRST_ADJ$-$SECOND_ADJ$ Antipapal War;Guerre $FIRST_ADJ$ de déposition de l'antipapauté $SECOND_ADJ$;$FIRST_ADJ$-$SECOND_ADJ$er Gegenpapst-Krieg;;Guerra Antipapal $FIRST_ADJ$-$SECOND_ADJ$;;;;;;;;;x
WAR_NAME_DEPOSE_IMPIOUS_POPE;$FIRST_ADJ$ War for the Holy See;Guerre $FIRST_ADJ$ pour le Saint-Siège;$FIRST_ADJ$er Krieg um den Heiligen Stuhl;;$FIRST_ADJ$ guerra por la Santa Sede;;;;;x
WAR_NAME_DEPOSE_LIEGE;$ORDER$$FIRST_ADJ$ War to depose $DEFENDER$;$ORDER$Guerre $FIRST_ADJ$ pour déposer $DEFENDER$.;$ORDER$$FIRST_ADJ$er Krieg, um $DEFENDER$ abzusetzen;;$ORDER$ Guerra $FIRST_ADJ$ para deponer a $DEFENDER$;;;;;;;;;x
WAR_NAME_DESTABILIZATION_CHINA;$ORDER$$FIRST_ADJ$ War to Shatter the Realm of $DEFENDER$;$ORDER$Guerre $FIRST_ADJ$ pour démembrer le pays de $DEFENDER$;$ORDER$$FIRST_ADJ$ Krieg der Zerschlagung des Reiches von $DEFENDER$;;Guerra $ORDER$$FIRST_ADJ$ para romper el reino de $DEFENDER$;;;;;;;;;x
WAR_NAME_DISMANTLE_PRETENDER_CHINA;The $ORDER$[offmap_china.GetFullName] War to Dismantle the Pretender [Recipient.PrimaryTitle.GetFullName];$ORDER$Guerre de l'[offmap_china.GetFullName] pour démanteler le prétendu [Recipient.PrimaryTitle.GetFullName];$ORDER$[offmap_china.GetFullName]er Krieg zur Zerschlagung des Anwärters[Recipient.PrimaryTitle.GetFullName];;La $ORDER$ guerra de [offmap_china.GetFullName] para eliminar a [Recipient.PrimaryTitle.GetFullName], el pretendiente.;;;;;;;;x;
WAR_NAME_DISPUTE;Dispute of $OTHER_TITLE$;Contestation pour $OTHER_TITLE$;Anfechtung: $OTHER_TITLE$;;Disputa de $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_DUCALCOUNTYCONQUEST;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Ducal Conquest of $OTHER_TITLE$;$ORDER$Conquête ducale $FIRST_ADJ$-$SECOND_ADJ$ de $OTHER_TITLE$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ herzogliche Eroberung von $OTHER_TITLE$;;Conquista ducal $ORDER$$FIRST_ADJ$-$SECOND_ADJ$ de $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_EMBARGO;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Embargo War;$ORDER$Guerre d'embargo $FIRST_ADJ$ contre $SECOND$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$er Embargokrieg;;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Guerra de Embargo;;;;;;;;;x
WAR_NAME_EXCOMMUNICATED_RULER;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Excommunication War;$ORDER$Guerre d'excommunication $FIRST_ADJ$ contre $SECOND$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$er Exkommunizierungskrieg;;$ORDER$ Guerra $SECOND_ADJ$ por la Excomunión de $FIRST$;;;;;;;;;x
WAR_NAME_FACTION_INDEPENDENCE;$ORDER$$FIRST_ADJ$ League Independence War;$ORDER$Guerre de la ligue d'indépendance $FIRST_ADJ$;$ORDER$$FIRST_ADJ$er Unabhängigkeitskrieg;;$ORDER$$FIRST_ADJ$ Guerra de la Independencia;;;;;;;;;x
WAR_NAME_FEUDAL_ELECTIVE_SUCCESSION_LAW;$ORDER$$SECOND_ADJ$ Civil War for Elective Monarchy;$ORDER$Guerre civile $SECOND_ADJ$ pour instaurer la succession par §Ymonarchie élective§!;$ORDER$$SECOND_ADJ$e Rebellion für das Nachfolgegesetz "Wahlmonarchie";;$ORDER$ Guerra Civil $SECOND_ADJ$ por la Ley de Sucesión Electiva;;;;;;;;;x
WAR_NAME_FLOWER_WAR;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Flower War;$ORDER$Guerre fleurie $FIRST_ADJ$-$SECOND_ADJ$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$er Blumenkrieg;;$ORDER$Guerra florida $FIRST_ADJ$-$SECOND_ADJ$;;;;;;;;;x
WAR_NAME_FORCE_OPEN_CHINA;The $ORDER$$FIRST_ADJ$ War to Force Open the [offmap_china.GetFullName];$ORDER$Guerre $FIRST_ADJ$ pour imposer l'ouverture à l'[offmap_china.GetFullName];$ORDER$$FIRST_ADJ$er Krieg für die Zwangsöffnung vom [offmap_china.GetFullName];;La $ORDER$ guerra $FIRST_ADJ$ para abrir el [offmap_china.GetFullName];;;;;;;;;x
WAR_NAME_FORCE_VASSALIZATION;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Vassalization War;$ORDER$Guerre $FIRST_ADJ$ de vassalisation $SECOND_ADJ$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$er Vasallisierungskrieg;;Guerra de vasallaje $ORDER$$FIRST_ADJ$-$SECOND_ADJ$;;;;;;;;;x
WAR_NAME_FREE_TRIBUTARY;$ORDER$$FIRST_ADJ$ War to Free $ATTACKER$ from Suzerain;$ORDER$Guerre $FIRST_ADJ$ pour libérer $ATTACKER$ du suzerain;$ORDER$$FIRST_ADJ$er Krieg zur Befreiung von $ATTACKER$ von ihrem Lehnsherren;;$ORDER$$FIRST_ADJ$ Guerra para liberar a $ATTACKER$ de soberano.;;;;;;;;;x
WAR_NAME_GAVELKIND_SUCCESSION_LAW;$ORDER$$SECOND_ADJ$ Civil War for Gavelkind;$ORDER$Guerre civile en $SECOND$ pour instaurer la succession par §Ypartage salique§!;$ORDER$$SECOND_ADJ$e Rebellion für das Nachfolgerecht "Erbteilung";;$ORDER$ Guerra Civil $SECOND_ADJ$ por la Sucesión a Partes Iguales;;;;;;;;;x
WAR_NAME_GREATREALMCONFLICT;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Great Conquest of $OTHER_TITLE$;$ORDER$Grande conquête $FIRST_ADJ$-$SECOND_ADJ$ de $OTHER_TITLE$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$e Großeroberung von $OTHER_TITLE$;;Gran conquista $ORDER$$FIRST_ADJ$-$SECOND_ADJ$ de $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_HERETIC_UPRISING;$ORDER$$SECOND_ADJ$ [Actor.Religion.GetName] Revolt;$ORDER$Révolte [Actor.Religion.GetName] en $SECOND$;$ORDER$$SECOND_ADJ$er [Actor.Religion.GetName]er Aufstand;;Revuelta $ORDER$$SECOND_ADJ$ [Actor.Religion.GetName];;;;;;;;;x
WAR_NAME_HOSTAGES;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ War to Free Captives;$ORDER$Guerre $FIRST_ADJ$-$SECOND_ADJ$ pour libérer des captifs;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$er Krieg der Gefangenenbefreiung;;Guerra $ORDER$$FIRST_ADJ$-$SECOND_ADJ$ para liberar cautivos;;;;;;;;;x
WAR_NAME_HUMILIATE;$ORDER$$FIRST_ADJ$ War to Humiliate $DEFENDER$;$ORDER$Guerre $FIRST_ADJ$ pour humilier $DEFENDER$.;$ORDER$$FIRST_ADJ$ Krieg zur Demütigung von $DEFENDER$;;$ORDER$$FIRST_ADJ$ Guerra para Humillar $DEFENDER$;;;;;;;;;x
WAR_NAME_IMPERIAL;$ORDER$$FIRST_ADJ$ Imperial Reconquest of $OTHER_TITLE$;$ORDER$Reconquête impériale $FIRST_ADJ$ de $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ Kaiserliche Rückeroberung von $OTHER_TITLE$;;$ORDER$ Reconquista imperial de $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_INCREASE_COUNCIL_POWER;$ORDER$$SECOND_ADJ$ Civil War to increase Council Power;$ORDER$Guerre civile $SECOND_ADJ$ pour accroître le pouvoir du Conseil;$ORDER$$SECOND_ADJ$er Bürgerkrieg zur Erhöhung der Macht des Rates;;Guerra civil $ORDER$$SECOND_ADJ$ para aumentar el Poder del Consejo.;;;;;;;;;x
WAR_NAME_INDEPENDENCE;$ORDER$War of $FIRST_ADJ$ Independence;$ORDER$Guerre d'indépendance $FIRST_ADJ$;$ORDER$ $FIRST_ADJ$er Unabhängigkeitskrieg;;$ORDER$ Guerra $FIRST_ADJ$ de Independencia;;;;;;;;;x
WAR_NAME_INSTALL_ANTIKING;$FIRST_ADJ$-$SECOND_ADJ$ Antiking War;Guerre de l'antiroyauté $FIRST_ADJ$ pour le trône de $SECOND$;$FIRST_ADJ$-$SECOND_ADJ$er Gegenkönig-Krieg;;Guerra Antirreal $FIRST_ADJ$-$SECOND_ADJ$;;;;;;;;;x
WAR_NAME_INSTALLKHAN;Install $ATTACKER$ as Khan of $SECOND$;Guerre pour faire de $ATTACKER$ le khan de $SECOND$;$ATTACKER$ als Khan von $SECOND$ einsetzen;;Instalar a $ATTACKER$ como kan de $SECOND$;;;;;;;;;x
WAR_NAME_INVASION;$ORDER$$FIRST_ADJ$ Invasion of $OTHER_TITLE$;$ORDER$Invasion $FIRST_ADJ$ de $OTHER_TITLE$;$ORDER$$FIRST_ADJ$e Invasion von $OTHER_TITLE$;;Invasión de $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_INVASION_OF_CHINA;$ORDER$$FIRST_ADJ$ Invasion of the [offmap_china.GetFullName];$ORDER$Invasion $FIRST_ADJ$ de l'[offmap_china.GetFullName];$ORDER$$FIRST_ADJ$e Invasion von [offmap_china.GetFullName];;La $ORDER$ invasión $FIRST_ADJ$ del [offmap_china.GetFullName];;;;;;;;;x
WAR_NAME_LIBERATE_NOMAD;$ORDER$$FIRST_ADJ$ Liberation of $OTHER_TITLE$;$ORDER$Libération $FIRST_ADJ$ de $OTHER_TITLE$;$ORDER$$FIRST_ADJ$e Befreiung von $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$ liberación de $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_LIBERATE_RELIGION;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ War to Religiously Liberate [Title.GetBaseName];$ORDER$ Guerre religieuse $FIRST_ADJ$-$SECOND_ADJ$ pour libérer [Title.GetBaseName];$ORDER$$FIRST_ADJ$-$SECOND_ADJ$er Krieg der religiösen Befreiung von [Title.GetBaseName];;Guerra $ORDER$$FIRST_ADJ$-$SECOND_ADJ$ para la liberación religiosa de [Title.GetBaseName];;;;;;;;;x
WAR_NAME_LIBERATION_REVOLT;$ORDER$Liberation of [Title.GetBaseName];$ORDER$Libération de [Title.GetBaseName];$ORDER$Befreiung von [Title.GetBaseName];;$ORDER$Liberación de [Title.GetBaseName];;;;;;;;;x
WAR_NAME_LOWER_CROWN_AUTHORITY_LAW;$ORDER$$SECOND_ADJ$ Civil War to lower Crown Authority;$ORDER$Guerre civile $SECOND_ADJ$ visant à affaiblir l'autorité de la Couronne;$ORDER$$SECOND_ADJ$er Bürgerkrieg zur Reduzierung der Kronautorität;;$ORDER$ Guerra Civil $SECOND_ADJ$ para Reducir la Autoridad Regia;;;;;;;;;x
WAR_NAME_LOWER_TRIBAL_ORGANIZATION_LAW;$ORDER$$SECOND_ADJ$ Civil War to lower Tribal Organization;$ORDER$Guerre civile de $SECOND$ pour réduire l'organisation tribale;$ORDER$$SECOND_ADJ$er Bürgerkrieg zur Verringerung der Stammesorganisation;;$ORDER$$SECOND_ADJ$ Guerra Civil para bajar la Organización Tribal;;;;;;;;;x
WAR_NAME_MINOR_CLAN_REVOLT;Minor Clan Rising;Révolte d'un clan mineur;Kleinerer Stamm erhebt sich;;Ascenso de clan menor;;;;;;;;;x
WAR_NAME_NOMAD_EXPANSION;$ORDER$$FIRST_ADJ$ War for $OTHER_TITLE$;$ORDER$Guerre $FIRST_ADJ$ pour $OTHER_TITLE$;$ORDER$$FIRST_ADJ$er Krieg um $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$ Guerra por $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_NOMAD_TRIBUTARY;$ORDER$$FIRST_ADJ$ War to Make $DEFENDER$ a Tributary State;$ORDER$Guerre $FIRST_ADJ$ pour rendre tributaire $DEFENDER$;$ORDER$$FIRST_ADJ$er Krieg, $DEFENDER$ zum Tributstaat zu machen;;Guerra $ORDER$$FIRST_ADJ$ para hacer de $DEFENDER$ un estado tributario;;;;;;;;;x
WAR_NAME_NORTHERN_CRUSADE;$ORDER$ Teutonic War for $OTHER_TITLE$;$ORDER$Guerre teutonne pour $OTHER_TITLE$;$ORDER$ Teutonischer Krieg um [Title.GetBaseName];;$ORDER$Guerra teutónica por $OTHER_TITLE$;;;;;x
WAR_NAME_OFFMAP_SUBMISSION;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Submission War;$ORDER$Guerre de soumission $FIRST_ADJ$-$SECOND_ADJ$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$e Unterwerfung;;Guerra de sumisión $ORDER$$FIRST_ADJ$-$SECOND_ADJ$;;;;;;;;;x
WAR_NAME_OTHER_CLAIM;$ORDER$$FIRST_ADJ$ War for $CLAIMANT$'s claim on $OTHER_TITLE$;$ORDER$Guerre de revendication de $CLAIMANT$ sur $OTHER_TITLE$;$ORDER$$FIRST_ADJ$er Krieg um $CLAIMANT$s Anspruch auf $OTHER_TITLE$;;$ORDER$Guerra $FIRST_ADJ$ por la reclamación de $CLAIMANT$ sobre $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_OTHER_DEJUREBARONYCLAIM;$ORDER$$FIRST_ADJ$ County War for $CLAIMANT$'s claim on $OTHER_TITLE$;$ORDER$Guerre de revendication comtale de $CLAIMANT$ sur $OTHER_TITLE$;$ORDER$$FIRST_ADJ$er Grafschaftskrieg um $CLAIMANT$s Anspruch auf $OTHER_TITLE$;;$ORDER$Guerra Condal $FIRST_ADJ$ por la reclamación de $CLAIMANT$ sobre $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_OTHER_DEJURECLAIM;$ORDER$$FIRST_ADJ$ Ducal War for $CLAIMANT$'s claim on $OTHER_TITLE$;$ORDER$Guerre de revendication ducale de $CLAIMANT$ sur $OTHER_TITLE$;$ORDER$$FIRST_ADJ$er Herzogskrieg um $CLAIMANT$´s Anspruch auf $OTHER_TITLE$;;$ORDER$Guerra Ducal $FIRST_ADJ$ por la reclamación de $CLAIMANT$ sobre $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_OTHER_SUCCESSION;$ORDER$$FIRST_ADJ$ War to install $CLAIMANT$ in $SECOND$;$ORDER$Guerre $FIRST_ADJ$ pour placer $CLAIMANT$ sur le trône de $SECOND$;$ORDER$$FIRST_ADJ$er Krieg zur Einsetzung von $CLAIMANT$ in $SECOND$;;$ORDER$Guerra $FIRST_ADJ$ para poner a $CLAIMANT$ en el trono de $SECOND$;;;;;;;;;x
WAR_NAME_OVERTHROWRULER;$ORDER$War against the Tyranny of $DEFENDER$;$ORDER$Guerre contre la tyrannie de $DEFENDER$;$ORDER$ Krieg gegen die Tyrannei von $DEFENDER$;;$ORDER$ Guerra contra la Tiranía de $DEFENDER$;;;;;;;;;x
WAR_NAME_OVERTHROWRULER_NC;$ORDER$Revolt against the rule of $DEFENDER$;$ORDER$Révolte contre le règne de $DEFENDER$;$ORDER$ Revolte gegen die Herrschaft von $DEFENDER$;;$ORDER$ Revuelta contra el Gobierno de $DEFENDER$;;;;;;;;;x
WAR_NAME_PAGAN_SUBJUGATION;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Subjugation War;$ORDER$Guerre d'assujettissement $FIRST_ADJ$-$SECOND_ADJ$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$er Unterwerfungskrieg;;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Guerra de subyugación;;;;;;;;;x
WAR_NAME_PAPAL_RELIGIOUS;$ORDER$$FIRST_ADJ$ Papal War for $OTHER_TITLE$;$ORDER$Guerre papale $FIRST_ADJ$ pour $OTHER_TITLE$;$ORDER$$FIRST_ADJ$er päpstlicher Krieg um $OTHER_TITLE$;;$ORDER$Guerra papal $FIRST_ADJ$ por $OTHER_TITLE$;;;;;;;;x
WAR_NAME_PEASANT_CONQUEST;Peasant Revolt for $OTHER_TITLE$;Révolte paysanne pour $OTHER_TITLE$;Bauernaufstand in $OTHER_TITLE$;;Sublevación de Campesinos para $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_PERMANENT_TRIBUTARY;$ORDER$$FIRST_ADJ$ War to Make $DEFENDER$ a Tributary State;$ORDER$Guerre $FIRST_ADJ$ pour rendre tributaire $DEFENDER$;$ORDER$$FIRST_ADJ$er Krieg, $DEFENDER$ zu einem Tributstaat zu machen;;Guerra $ORDER$$FIRST_ADJ$ para convertir a $DEFENDER$ en un estado tributario;;;;;;;;;x
WAR_NAME_POWERFUL_VASSAL_TAKEOVER;$ORDER$War to Oust $DEFENDER$ from Power;$ORDER$Guerre pour renverser $DEFENDER$;$ORDER$Krieg, um $DEFENDER$ zu entmachten;;$ORDER$Guerra para expulsar a $DEFENDER$ del poder;;;;;;;;;x
WAR_NAME_PRIOGENITURE_SUCCESSION_LAW;$ORDER$$SECOND_ADJ$ Civil War for Primogeniture;$ORDER$Guerre civile $SECOND_ADJ$ pour instaurer la succession par §Yprimogéniture§!;$ORDER$$SECOND_ADJ$er Bürgerkrieg um Ältestenrecht;;$ORDER$Guerra civil $SECOND_ADJ$ por primogenitura;;;;;;;;;x
WAR_NAME_RECONQUISTA_ARAGON;$ORDER$Reconquest War for Aragon;$ORDER$Guerre de reconquête pour Aragon;$ORDER$er Rückeroberungskrieg von Aragon;;$ORDER$Guerra de Reconquista de Aragón;;;;;x
WAR_NAME_RECONQUISTA_BALEARIC;$ORDER$Reconquest War for the Balearic Islands;$ORDER$Guerre de reconquête pour les îles Baléares;$ORDER$er Rückeroberungskrieg der Balearen ;;$ORDER$Guerra de Reconquista de las Baleares;;;;;x
WAR_NAME_RECONQUISTA_BEJA;$ORDER$Reconquest War for Western Coast;$ORDER$Guerre de reconquête pour la côte ouest;$ORDER$er Rückeroberungskrieg der Westküste;;$ORDER$Guerra de Reconquista del Oeste de la Península;;;;;x
WAR_NAME_RECONQUISTA_CASTILLE;$ORDER$Reconquest War for Castille;$ORDER$Guerre de reconquête pour Castille;$ORDER$er Rückeroberungskrieg von Kastillien;;$ORDER$Guerra de Reconquista de Castilla;;;;;x
WAR_NAME_RECONQUISTA_CORDOBA;$ORDER$Reconquest War for Central Iberia;$ORDER$Guerre de reconquête pour l'Ibérie centrale;$ORDER$er Rückeroberungskrieg von Zentraliberien;;$ORDER$Guerra de Reconquista del Centro de la Península;;;;;x
WAR_NAME_RECONQUISTA_GALICIA;$ORDER$Reconquest War for Galicia;$ORDER$Guerre de reconquête pour la Galice;$ORDER$er Rückeroberungskrieg von Galicien;;$ORDER$Guerra de Reconquista de Galicia;;;;;x
