# Historical
alexander_bloodline_01;Immortal Blood of Alexander;Sang immortel d'Alexandre;Unsterbliches Blut von Alexander;;Sangre inmortal de Alejandro;;;;;;;;;x
chinese_imperial_bloodline_01;Imperial Blood of [This.GetTitledFirstName];Sang impérial [This.Get_du_TitledFirstName];Kaiserliches Blut von [This.GetTitledFirstName];;Sangre imperial de [This.GetTitledFirstName];;;;;;;;;x
chinese_imperial_bloodline_01_desc;The bureaucratic and cultural revolution that the heavenly [This.GetTitledFirstName] has brought to [This.PrimaryTitle.GetName] have earned [This.GetHerHim] a place in the annals of history.;La révolution bureaucratique et culturelle que [This.GetLeLa] céleste [This.GetTitledFirstName] a apportée [This.PrimaryTitle.Get_en_Realm] lui a valu une place dans l'Histoire.;Die bürokratische und kulturelle Revolution, die [This.Getderdie] himmlische [This.GetTitledFirstName] nach [This.PrimaryTitle.GetName] gebracht hat, hat [This.GetHerHim] einen Platz in den Annalen der Geschichte eingebracht.;;La revolución cultural y burocrática que [This.GetElLa] celestial [This.GetTitledFirstName] trajo a [This.PrimaryTitle.GetName] le han ganado un lugar en los anales de la historia.;;;;;;;;;x
crusade_lord;Crusader Blood of [This.GetTitledFirstName];Sang croisé [This.Get_du_TitledFirstName];Kreuzritterblut von [This.GetTitledFirstName];;Sangre cruzada de [This.GetTitledFirstName];;;;;x
crusade_lord_desc;[This.GetSheHeCap] is known as the [This.GetKingQueen] of the first Crusader Kingdom of [This.PrimaryTitle.GetBaseName]. A pious ruler who fought and bled for the faith.;[This.GetIlElleCap] est connu[This.Get_E] comme [This.GetLeLa] [This.GetKingQueen] du premier royaume croisé de [This.PrimaryTitle.GetBaseName]. Un[This.Get_E] [This.GetLordLady] pieu[This.GetXSe] qui versé du sang pour la foi.;[This.GetTitledFirstName] ist als [This.GetKingQueen] des ersten Kreuzritter-Königreiches [This.PrimaryTitle.GetBaseName] bekannt. Es ist ein frommer Herrscher, der für den Glauben kämpfte und blutete.;;Se le conoce como [This.GetKingQueen] del reino cruzado de [This.PrimaryTitle.GetBaseName] de la primera cruzada. Un[This.GetXA] gobernante piados[This.GetOA] que luchó y sangró por la fe.;;;;;x
crusader_commander;Crusader Blood of [This.GetTitledFirstName];Sang croisé [This.Get_du_TitledFirstName];Kreuzritterblut von [This.GetTitledFirstName];;Sangre cruzada de [This.GetTitledFirstName];;;;;x
crusader_commander_desc;[This.GetSheHeCap] is known for personally leading the charge of many battles, and it is said no heathen nor infidel could ever bring [This.GetHerHim] down.;[This.GetIlElleCap] est connu[This.Get_E] pour avoir personnellement mené la charge dans de nombreuses batailles et il est dit qu'aucun infidèle ne pouvait l'abattre.;[This.GetTitledFirstName] ist dafür bekannt persönlich in die Schlacht zu ziehen und man sagt, dass es kein Heide oder Ungläubiger jemals geschafft hat, [This.Getihnsie] zu Fall zu bringen.;;Se le conoce por haber dirigido personalmente la carga en muchas batallas y se dice que ni pagano ni infiel pudo nunca con [This.GetElElla].;;;;;x
crusader_kid_bloodline;Angelic Blood of [This.GetFirstName];Sang angélique de [This.GetFirstName];Engelsblut von [This.GetFirstName];;Sangre angélica de [This.GetFirstName];;;;;;;;x
crusader_kid_bloodline_desc;Inspired by the Holy Ghost, [This.GetTitledFirstName] managed to lead a successful Crusade to free Jerusalem from the infidels when [This.GetSheHe] was merely a child.;Inspiré[This.Get_E] par le Saint-Esprit, [This.Get_le_TitledFirstName] a réussi à mener une croisade pour libérer Jérusalem des mains des infidèles alors qu'[This.GetIlElle] n'était qu'un[This.Get_E] enfant.;Vom Heiligen Geist inspiriert gelang es [This.GetTitledFirstName] im Kindesalter einen erfolgreichen Kreuzzug gegen Jerusalem zu führen und dieses von den Ungläubigen zu befreien.;;Con la inspiración del Espíritu Santo, [This.GetTitledFirstName] consiguió dirigir una cruzada exitosa para liberar Jerusalén de los infieles cuando no era más que un[This.GetXA] niñ[This.GetOA].;;;;;;;;x
destroyer_of_byzantium;Blood of [This.GetTitledFirstName];Sang [This.Get_du_TitledFirstName];Blut von [This.GetTitledFirstName];;Sangre de [This.GetTitledFirstName];;;;;x
destroyer_of_byzantium_desc;Known for shattering the old Empire of Byzantium, and raising a new Empire from its ashes.;Connu[This.Get_E] pour avoir anéanti l'ancien Empire byzantin et bâti un nouvel empire à partir de ces cendres.;Bekannt für die Zerschlagung des alten Imperiums von Byzanz und der Erstellung eines neuen Reiches aus dessen Asche.;;Conocido por destruir el antiguo imperio de Bizancio y levantar otro sobre sus cenizas.;;;;;x
duelist_female;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;x
duelist_female_desc;[This.Founder.GetTitledFirstName] was a duelist of great renown. No one would stand in [This.Founder.GetHerHis] way lest they wanted a humiliating defeat, or a swift death...;[This.Founder.Get_Le_TitledFirstName] était un[This.Founder.Get_E] duelliste réputé[This.Founder.Get_E]. Personne ne se dressait contre [This.Founder.GetLuiElle], de peur d'une défaite humiliante ou une morte rapide...;[This.Founder.GetTitledFirstName] war ein Duellant von großem Ansehen. Niemand würde [This.Founder.GetHerHis]em Weg stehen, ohne eine demütige Niederlage oder schnellen Tod zu wollen...;;[This.Founder.GetTitledFirstName] era una duelista de gran fama. Nadie se interponía en su camino a menos que buscase una derrota humillante o una muerte rápida…;;;;;;;;x
duelist_male;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;x
duelist_male_desc;[This.Founder.GetTitledFirstName] was a duelist of great renown. No one would stand in [This.Founder.GetHerHis] way lest they wanted a humiliating defeat, or a swift death...;[This.Founder.Get_Le_TitledFirstName] était un[This.Founder.Get_E] duelliste réputé[This.Founder.Get_E]. Personne ne se dressait contre [This.Founder.GetLuiElle], de peur d'une défaite humiliante ou une morte rapide...;[This.Founder.GetTitledFirstName] war ein Duellant von großem Ansehen. Niemand würde [This.Founder.GetHerHis]em Weg stehen, ohne eine demütige Niederlage oder schnellen Tod zu wollen...;;[This.Founder.GetTitledFirstName] era un duelista de gran fama. Nadie se interponía en su camino a menos que buscase una derrota humillante o una muerte rápida…;;;;;;;;x
event_benevolent_bloodline_01;Blessed Blood of [This.GetTitledFirstName];Sang béni [This.Get_du_TitledFirstName];Heiliges Blut von [This.GetTitledFirstName];;Sangre bendita de [This.GetTitledFirstName];;;;;;;;x
event_benevolent_bloodline_01_desc;[This.GetFirstName] has become famous as a paragon of virtue and just rule throughout [This.PrimaryTitle.GetName].;[This.GetFirstName] est devenu[This.Get_E] célèbre comme parangon de la vertu et pour un règne juste.;[This.GetFirstName] wurde in ganz [This.PrimaryTitle.GetName] als Tugendbold und gerechter Herrscher bekannt.;;[This.GetTitledFirstName] se hizo famos[This.GetOA] como ejemplo de justicia y gobierno justo por todo [This.PrimaryTitle.GetName].;;;;;;;;x
event_family_bloodline_01;[This.GetTitledFirstName]'s Dynasty;Dynastie [This.Get_du_TitledFirstName];Dynastie von [This.GetTitledFirstName];;Dinastía de [This.GetTitledFirstName];;;;;;;;x
event_family_bloodline_01_desc;Praised for spending a lifetime dedicating [This.GetHerselfHimself] to [This.GetHerHis] family, [This.GetFirstName] has immortalized [This.GetHerHis] dynasty as one of the most prestigious bloodlines in history.;Loué[This.Get_E] pour avoir consacré sa vie à sa famille, [This.GetFirstName] a fait de sa dynastie une des lignées les plus prestigieuses de l'Histoire.;[This.GetFirstName] hat [This.GetFirstName]e Dynastie als einer der prestigeträchtigsten Blutlinien in der Geschichte zementiert, da [This.GetSheHe] [This.GetHerHis] ganzes Leben der Familie gewidmet hat.;;Alabad[This.GetOA] por dedicar su vida a la familia, [This.GetFirstName] inmortalizó su familia como uno de los linajes más prestigiosos de la historia.;;;;;;;;x
event_religion_aggressive_bloodline_01;Blood of [This.GetTitledFirstName];Sang [This.Get_du_TitledFirstName];Blut von [This.GetTitledFirstName];;Sangre de [This.GetTitledFirstName];;;;;;;;x
event_religion_aggressive_bloodline_01_desc;[This.GetFirstName] has become infamous for [This.GetHerHis] intolerance of heretical thought and [This.GetHerHis] promotion of the most extreme form of [This.Religion.GetName] zealotry.;[This.GetFirstName] est devenu[This.Get_E] tristement célèbre pour son intolérance face à la pensée hérétique et sa promotion d'une forme extrême du fanatisme [This.GetReligionMasc].;[This.GetFirstName] wurde für seine Intoleranz gegenüber häretischem Denkens und [This.GetHerHis]er Förderung der extremsten Form von [This.Religion.GetName]em Fanatismus berühmt.;;[This.GetTitledFirstName] se hizo tristemente célebre por su intolerancia al pensamiento herético y promover la forma más extrema de fanatismo [This.Religion.GetName].;;;;;;;;x
event_religion_aggressive_bloodline_02;Blood of [This.GetTitledFirstName];Sang [This.Get_du_TitledFirstName];Blut von [This.GetTitledFirstName];;Sangre de [This.GetTitledFirstName];;;;;;;;x
event_religion_aggressive_bloodline_02_desc;[This.GetFirstName] has become infamous for [This.GetHerHis] intolerance of heretical thought and [This.GetHerHis] promotion of the most extreme form of [This.Religion.GetName] zealotry.;[This.GetFirstName] est devenu[This.Get_E] tristement célèbre pour son intolérance face à la pensée hérétique et sa promotion d'une forme extrême du fanatisme [This.GetReligionMasc].;[This.GetFirstName] wurde für seine Intoleranz gegenüber häretischem Denkens und [This.GetHerHis]er Förderung der extremsten Form von [This.Religion.GetName]em Fanatismus berühmt.;;[This.GetTitledFirstName] se hizo tristemente célebre por su intolerancia al pensamiento herético y promover la forma más extrema de fanatismo [This.Religion.GetName].;;;;;;;;x
event_religion_aggressive_bloodline_03;Blood of [This.GetTitledFirstName];Sang [This.Get_du_TitledFirstName];Blut von [This.GetTitledFirstName];;Sangre de [This.GetTitledFirstName];;;;;;;;x
event_religion_aggressive_bloodline_03_desc;[This.GetFirstName] has become infamous for [This.GetHerHis] intolerance of heretical thought and [This.GetHerHis] promotion of the most extreme form of [This.Religion.GetName] zealotry.;[This.GetFirstName] est devenu[This.Get_E] tristement célèbre pour son intolérance face à la pensée hérétique et sa promotion d'une forme extrême du fanatisme [This.GetReligionMasc].;[This.GetFirstName] wurde für seine Intoleranz gegenüber häretischem Denkens und [This.GetHerHis]er Förderung der extremsten Form von [This.Religion.GetName]em Fanatismus berühmt.;;[This.GetTitledFirstName] se hizo tristemente célebre por su intolerancia al pensamiento herético y promover la forma más extrema de fanatismo [This.Religion.GetName].;;;;;;;;x
event_religion_aggressive_bloodline_04;Blood of [This.GetTitledFirstName];Sang [This.Get_du_TitledFirstName];Blut von [This.GetTitledFirstName];;Sangre de [This.GetTitledFirstName];;;;;;;;x
event_religion_aggressive_bloodline_04_desc;[This.GetFirstName] has become infamous for [This.GetHerHis] intolerance of heretical thought and [This.GetHerHis] promotion of the most extreme form of [This.Religion.GetName] zealotry.;[This.GetFirstName] est devenu[This.Get_E] tristement célèbre pour son intolérance face à la pensée hérétique et sa promotion d'une forme extrême du fanatisme [This.GetReligionMasc].;[This.GetFirstName] wurde für seine Intoleranz gegenüber häretischem Denkens und [This.GetHerHis]er Förderung der extremsten Form von [This.Religion.GetName]em Fanatismus berühmt.;;[This.GetTitledFirstName] se hizo tristemente célebre por su intolerancia al pensamiento herético y promover la forma más extrema de fanatismo [This.Religion.GetName].;;;;;;;;x
event_religion_aggressive_bloodline_05;Blood of [This.GetTitledFirstName];Sang [This.Get_du_TitledFirstName];Blut von [This.GetTitledFirstName];;Sangre de [This.GetTitledFirstName];;;;;;;;x
event_religion_aggressive_bloodline_05_desc;[This.GetFirstName] has become infamous for [This.GetHerHis] intolerance of heretical thought and [This.GetHerHis] promotion of the most extreme form of [This.Religion.GetName] zealotry.;[This.GetFirstName] est devenu[This.Get_E] tristement célèbre pour son intolérance face à la pensée hérétique et sa promotion d'une forme extrême du fanatisme [This.GetReligionMasc].;[This.GetFirstName] wurde für seine Intoleranz gegenüber häretischem Denkens und [This.GetHerHis]er Förderung der extremsten Form von [This.Religion.GetName]em Fanatismus berühmt.;;[This.GetTitledFirstName] se hizo tristemente célebre por su intolerancia al pensamiento herético y promover la forma más extrema de fanatismo [This.Religion.GetName].;;;;;;;;x
event_religion_aggressive_bloodline_06;Blood of [This.GetTitledFirstName];Sang [This.Get_du_TitledFirstName];Blut von [This.GetTitledFirstName];;Sangre de [This.GetTitledFirstName];;;;;;;;x
event_religion_aggressive_bloodline_06_desc;[This.GetFirstName] has become infamous for [This.GetHerHis] intolerance of heretical thought and [This.GetHerHis] promotion of the most extreme form of [This.Religion.GetName] zealotry.;[This.GetFirstName] est devenu[This.Get_E] tristement célèbre pour son intolérance face à la pensée hérétique et sa promotion d'une forme extrême du fanatisme [This.GetReligionMasc].;[This.GetFirstName] wurde für seine Intoleranz gegenüber häretischem Denkens und [This.GetHerHis]er Förderung der extremsten Form von [This.Religion.GetName]em Fanatismus berühmt.;;[This.GetTitledFirstName] se hizo tristemente célebre por su intolerancia al pensamiento herético y promover la forma más extrema de fanatismo [This.Religion.GetName].;;;;;;;;x
event_religion_peaceful_bloodline_01;Blood of [This.GetTitledFirstName];Sang [This.Get_du_TitledFirstName];Blut von [This.GetTitledFirstName];;Sangre de [This.GetTitledFirstName];;;;;;;;x
event_religion_peaceful_bloodline_01_desc;[This.GetFirstName] has become famous for encouraging theological studies within [This.GetHerHis] realm and being a devout patron of scholars and priests.;[This.GetFirstName] est devenu[This.Get_E] célèbre pour avoir encouragé les études théologiques dans son pays et être un pieux patron des érudits et des prêtres.;[This.GetFirstName] wurde für die Förderung theologischer Studien in [This.GetHerHis]em Reich berühmt und dafür ein frommer Schirmherr der Gelehrten und Priester zu sein.;;[This.GetTitledFirstName] se hizo famos[This.GetOA] por alentar los estudios teológicos en su reino y ser un[This.GetXA] mecenas devot[This.GetOA] de eruditos y sacerdotes.;;;;;;;;x
event_religion_peaceful_bloodline_02;Blood of [This.GetTitledFirstName];Sang [This.Get_du_TitledFirstName];Blut von [This.GetTitledFirstName];;Sangre de [This.GetTitledFirstName];;;;;;;;x
event_religion_peaceful_bloodline_02_desc;[This.GetFirstName] has become famous for encouraging theological studies within [This.GetHerHis] realm and being a devout patron of scholars and priests.;[This.GetFirstName] est devenu[This.Get_E] célèbre pour avoir encouragé les études théologiques dans son pays et être un pieux patron des érudits et des prêtres.;[This.GetFirstName] wurde für die Förderung theologischer Studien in [This.GetHerHis]em Reich berühmt und dafür ein frommer Schirmherr der Gelehrten und Priester zu sein.;;[This.GetTitledFirstName] se hizo famos[This.GetOA] por alentar los estudios teológicos en su reino y ser un[This.GetXA] mecenas devot[This.GetOA] de eruditos y sacerdotes.;;;;;;;;x
event_religion_peaceful_bloodline_03;Blood of [This.GetTitledFirstName];Sang [This.Get_du_TitledFirstName];Blut von [This.GetTitledFirstName];;Sangre de [This.GetTitledFirstName];;;;;;;;x
event_religion_peaceful_bloodline_03_desc;[This.GetFirstName] has become famous for encouraging theological studies within [This.GetHerHis] realm and being a devout patron of scholars and priests.;[This.GetFirstName] est devenu[This.Get_E] célèbre pour avoir encouragé les études théologiques dans son pays et être un pieux patron des érudits et des prêtres.;[This.GetFirstName] wurde für die Förderung theologischer Studien in [This.GetHerHis]em Reich berühmt und dafür ein frommer Schirmherr der Gelehrten und Priester zu sein.;;[This.GetTitledFirstName] se hizo famos[This.GetOA] por alentar los estudios teológicos en su reino y ser un[This.GetXA] mecenas devot[This.GetOA] de eruditos y sacerdotes.;;;;;;;;x
event_religion_peaceful_bloodline_04;Blood of [This.GetTitledFirstName];Sang [This.Get_du_TitledFirstName];Blut von [This.GetTitledFirstName];;Sangre de [This.GetTitledFirstName];;;;;;;;x
event_religion_peaceful_bloodline_04_desc;[This.GetFirstName] has become famous for encouraging theological studies within [This.GetHerHis] realm and being a devout patron of scholars and priests.;[This.GetFirstName] est devenu[This.Get_E] célèbre pour avoir encouragé les études théologiques dans son pays et être un pieux patron des érudits et des prêtres.;[This.GetFirstName] wurde für die Förderung theologischer Studien in [This.GetHerHis]em Reich berühmt und dafür ein frommer Schirmherr der Gelehrten und Priester zu sein.;;[This.GetTitledFirstName] se hizo famos[This.GetOA] por alentar los estudios teológicos en su reino y ser un[This.GetXA] mecenas devot[This.GetOA] de eruditos y sacerdotes.;;;;;;;;x
event_religion_peaceful_bloodline_05;Blood of [This.GetTitledFirstName];Sang [This.Get_du_TitledFirstName];Blut von [This.GetTitledFirstName];;Sangre de [This.GetTitledFirstName];;;;;;;;x
event_religion_peaceful_bloodline_05_desc;[This.GetFirstName] has become famous for encouraging theological studies within [This.GetHerHis] realm and being a devout patron of scholars and priests.;[This.GetFirstName] est devenu[This.Get_E] célèbre pour avoir encouragé les études théologiques dans son pays et être un pieux patron des érudits et des prêtres.;[This.GetFirstName] wurde für die Förderung theologischer Studien in [This.GetHerHis]em Reich berühmt und dafür ein frommer Schirmherr der Gelehrten und Priester zu sein.;;[This.GetTitledFirstName] se hizo famos[This.GetOA] por alentar los estudios teológicos en su reino y ser un[This.GetXA] mecenas devot[This.GetOA] de eruditos y sacerdotes.;;;;;;;;x
event_religion_peaceful_bloodline_06;Blood of [This.GetTitledFirstName];Sang [This.Get_du_TitledFirstName];Blut von [This.GetTitledFirstName];;Sangre de [This.GetTitledFirstName];;;;;;;;x
event_religion_peaceful_bloodline_06_desc;[This.GetFirstName] has become famous for encouraging theological studies within [This.GetHerHis] realm and being a devout patron of scholars and priests.;[This.GetFirstName] est devenu[This.Get_E] célèbre pour avoir encouragé les études théologiques dans son royaume et être un pieux patron des érudits et des prêtres.;[This.GetFirstName] wurde für die Förderung theologischer Studien in [This.GetHerHis]em Reich berühmt und dafür ein frommer Schirmherr der Gelehrten und Priester zu sein.;;[This.GetTitledFirstName] se hizo famos[This.GetOA] por alentar los estudios teológicos en su reino y ser un[This.GetXA] mecenas devot[This.GetOA] de eruditos y sacerdotes.;;;;;;;;x
event_ruthless_bloodline_01;Vile Blood of [This.GetTitledFirstName];Sang vil [This.Get_du_TitledFirstName];Schandblut von [This.GetTitledFirstName];;Sangre vil de [This.GetTitledFirstName];;;;;;;;x
event_ruthless_bloodline_01_desc;[This.GetFirstName] has become infamous as one of the worst tyrants in [This.PrimaryTitle.GetName]'s history.;[This.GetFirstName] est devenu[This.Get_E] tristement célèbre comme l'un des pires tyrans de l'histoire [This.PrimaryTitle.Get_du_Realm].;[This.GetFirstName] wurde als einer der berüchtigsten und schlimmsten Tyrannen in der Geschichte von [This.PrimaryTitle.GetName] bekannt.;;[This.GetTitledFirstName] ganó una fama horrible como uno de los peores tiranos de la historia de [This.PrimaryTitle.GetName].;;;;;;;;x
event_technology_bloodline_01;Blood of [This.GetTitledFirstName];Sang [This.Get_du_TitledFirstName];Blut von [This.GetTitledFirstName];;Sangre de [This.GetTitledFirstName];;;;;;;;x
event_technology_bloodline_01_desc;Known as a patron of the arts, [This.GetFirstName] has been celebrated by countless bards, painters and craftsmen for sponsoring their work.;Connu[This.Get_E] comme un mécène des arts, [This.GetFirstName] a été célébré[This.Get_E] par d'innombrables bardes, peintres et artisans pour le patronage de leur travail.;[This.GetFirstName] ist als Kunstmäzen bekannt und wird von unzähligen Barden, Malern und Handwerkern für die Förderung ihrer Arbeit gefeiert.;;Célebre por su mecenazgo de las artes [This.GetTitledFirstName] recibe el homenaje de innumerables bardos, pintores y artesanos por patrocinar su obra.;;;;;;;;x
grand_crusader;Crusader Blood of [This.GetTitledFirstName];Sang croisé [This.Get_du_TitledFirstName];Kreuzritterblut von [This.GetTitledFirstName];;Sangre cruzada de [This.GetTitledFirstName];;;;;x
grand_crusader_desc;[This.GetSheHeCap] single handedly brought victory to the [This.Religion.GetGroupName]s in several Crusades, and there are numerous legends spun in [This.Founder.GetHerHis] honor.;[This.GetIlElleCap] a apporté à [This.GetLuiElle] seul[This.Get_E] la victoire aux [This.GetReligiousGroupMascPl] dans plusieurs croisades et il y a des légendes qui sont racontées à son sujet.;[This.GetSheHeCap] brauchte dem [This.Religion.GetGroupName]en Glauben im Alleingang den Sieg in mehreren Kreuzzügen und es gibt zahlreiche Legenden über [This.Founder.GetHerHis]e Taten.;;Consiguió personalmente la victoria para los [This.Religion.GetGroupName]s en muchas cruzadas y hay muchas leyendas en su honor.;;;;;x
great_conqueror_female;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
great_conqueror_male;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
hybrid_builder_bloodline_01;Blood of [This.GetTitledFirstName];Sang [This.Get_du_TitledFirstName];Blut von [This.GetTitledFirstName];;Sangre de [This.GetTitledFirstName];;;;;;;;x
hybrid_builder_bloodline_01_desc;[This.GetFirstName] is remembered by many as a patron of the crafts for sponsoring the construction of several cities, churches and fortifications.;Beaucoup de personnes se souviennent de [This.GetFirstName] comme d'un patron de l'artisanat pour avoir financé la construction de plusieurs villes, églises et fortifications.;[This.GetFirstName] wird von vielen als Förderer des Handwerks und Konstruktion mehrerer Städte, Kirchen und Befestigungen in [This.PrimaryTitle.GetName] in Erinnerung bleiben.;;Muchos recuerdan a [This.GetFirstName] como mecenas de la ingeniería por patrocinar la construcción de numerosas ciudades, iglesias y fortificaciones a lo largo de [This.PrimaryTitle.GetName].;;;;;;;;x
hybrid_murder_builder_bloodline_01;Sly Blood of [This.GetTitledFirstName];Sang sournois [This.Get_du_TitledFirstName];Listiges Blut von [This.GetTitledFirstName];;Sangre taimada de [This.GetTitledFirstName];;;;;;;;x
hybrid_murder_builder_bloodline_01_desc;A controversial figure in [This.Culture.GetName] history, [This.GetFirstName] was a celebrated patron of the crafts, while also an alleged murderer.;Figure controversée de l'Histoire [This.Culture.GetName], [This.GetFirstName] était un patron célèbre de l'artisanat, tout en étant un meurtrier présumé.;[This.GetFirstName] war als Förderer des Handwerks und vermeintlicher Mörder eine umstrittene Figur in der [This.Culture.GetName] Geschichte.;;Figura controvertida de la historia del pueblo [This.Culture.GetName], [This.GetFirstName] fue aclamad[This.GetOA] como mecenas de las artes, pero también asesin[This.GetOA] presunt[This.GetOA].;;;;;;;;x
hybrid_murder_peace_bloodline_01;Sly Blood of [This.GetTitledFirstName];Sang sournois [This.Get_du_TitledFirstName];Listiges Blut von [This.GetTitledFirstName];;Sangre taimada de [This.GetTitledFirstName];;;;;;;;x
hybrid_murder_peace_bloodline_01_desc;[This.PrimaryTitle.GetNameCap] was unnaturally peaceful in spite of the ruler's detached attitude, leading many to weave frightening tales about the [This.GetTitle]'s silent tyranny.;La vie [This.PrimaryTitle.Get_en_Realm] était anormalement tranquille du fait de l'attitude détachée de son dirigeant, ce qui a conduit à des histoires effrayantes sur cette tyrannie silencieuse.;[This.PrimaryTitle.GetNameCap] war trotzt der distanzierten Haltung unnatürlich friedlich, was dazu führte, dass das Volk beängstigende Geschichten über die stille Tyrannei [This.Getdesder] [This.GetTitle][This.GetsMale] erzählte.;;[This.PrimaryTitle.GetNameCap] fue anormalmente pacífico a pesar de la actitud indiferente del gobernante, lo que hizo que muchos urdieran cuentos aterradores sobre la tiranía silenciosa [This.GetDelDela] [This.GetTitle].;;;;;;;;x
hybrid_murder_war_bloodline_01;Vile Blood of [This.GetTitledFirstName];Sang vil [This.Get_du_TitledFirstName];Schandblut von [This.GetTitledFirstName];;Sangre vil de [This.GetTitledFirstName];;;;;;;;x
hybrid_murder_war_bloodline_01_desc;[This.GetFirstName] has become infamous for [This.GetHerHis] ruthless and amoral character, prone to both violence and deceit in the pursuit of [This.GetHerHis] ambition.;[This.GetFirstName] est devenu[This.Get_E] tristement célèbre pour son caractère impitoyable et amoral, enclin à la fois à la violence et à la tromperie afin de poursuite ses ambitions.;[This.GetFirstName] ist für [This.GetHerHis]en rücksichtslosen und unmoralischen Charakter berüchtigt, [This.Getderdie] weder vor Gewalt noch Betrug bei der Verfolgung [This.GetHerHis]er Ambition zurückschreckt.;;[This.GetFirstName] se hizo célebre por su personalidad despiadada y amoral, dada a la violencia y el engaño para conseguir sus ambiciones.;;;;;;;;x
hybrid_peace_architect_bloodline_01;Blood of [This.GetTitledFirstName];Sang [This.Get_du_TitledFirstName];Blut von [This.GetTitledFirstName];;Sangre de [This.GetTitledFirstName];;;;;;;;x
hybrid_peace_architect_bloodline_01_desc;[This.GetFirstName] is remembered by many as a peace-maker and a patron of the crafts for the creation of several cities.;[This.GetFirstName] est considéré[This.Get_E] comme un faiseur de paix et un patron de l'artisanat pour le financement de la construction de plusieurs villes.;[This.GetFirstName] wird von vielen als Friedensbringer, Förderer des Handwerks und Konstruktion mehrerer Städte in [This.PrimaryTitle.GetName] in Erinnerung bleiben.;;Se recordará a [This.GetFirstName] como pacificador[This.GetXA] y mecenas de las artes por patrocinar la construcción de numerosas ciudades a lo largo de [This.PrimaryTitle.GetName].;;;;;;;;x
hybrid_peace_castellan_bloodline_01;Blood of [This.GetTitledFirstName];Sang [This.Get_du_TitledFirstName];Blut von [This.GetTitledFirstName];;Sangre de [This.GetTitledFirstName];;;;;;;;x
hybrid_peace_castellan_bloodline_01_desc;[This.GetFirstName] is remembered by many as a peace-maker and a patron of engineering for sponsoring the construction of several castles.;Beaucoup de personnes se souviennent de [This.GetFirstName] comme d'un faiseur de paix et un mécène de l'ingénierie pour avoir financé la construction de plusieurs châteaux.;[This.GetFirstName] wird von vielen als Friedensbringer, Förderer der Ingenieurskunst und Konstruktion mehrerer Burgen und Befestigungen in [This.PrimaryTitle.GetName] in Erinnerung bleiben.;;Muchos recuerdan a [This.GetFirstName] como pacificador[This.GetXA] y mecenas de la ingeniería por patrocinar la construcción de numerosos castillos y fortificaciones a lo largo de [This.PrimaryTitle.GetName].;;;;;;;;x
hybrid_peace_monumental_bloodline_01;Blood of [This.GetTitledFirstName];Sang [This.Get_du_TitledFirstName];Blut von [This.GetTitledFirstName];;Sangre de [This.GetTitledFirstName];;;;;;;;x
hybrid_peace_monumental_bloodline_01_desc;[This.GetFirstName] is remembered by many as a peace-maker and a devout creator of churches.;[This.GetFirstName] est considéré[This.Get_E] comme un faiseur de paix et un[This.Get_E] [This.GetManWoman] pieu[This.GetXSe] pour avoir financé la construction de plusieurs temples.;[This.GetFirstName] wird von vielen als Friedensbringer, Förderer der Ingenieurskunst und frommer [This.Religion.GetName]er Anhänger für die Konstruktion mehrerer Tempel in Erinnerung bleiben.;;Muchos recuerdan a [This.GetFirstName] como pacificador[This.GetXA], mecenas de la ingeniería y [This.Religion.GetName] devot[This.GetOA] al patrocinar la construcción de numerosos templos y catedrales por todo [This.PrimaryTitle.GetName].;;;;;;;;x
immortal_bloodline_01;Immortal Blood of [This.GetTitledFirstName];Sang Immortel [This.Get_du_TitledFirstName];Unsterbliches Blut von [This.GetTitledFirstName];;Sangre inmortal de [This.GetTitledFirstName];;;;;;;;;x
immortal_bloodline_01_desc;The divine blood of [This.GetFirstName] flows through the veins of all [This.GetHerHis] descendants, carrying a glimpse of its eternal power.;Le sang divin de [This.GetFirstName] coule à travers les veines de tous ses descendants et laisse ainsi entrevoir son pouvoir éternel.;Das göttliche Blut von [This.GetFirstName] fließt durch die Adern aller [This.GetHerHis]er Nachkommen und beschert einen flüchtigen Blick auf die ewige Macht.;;La sangre divina de [This.GetTitledFirstName] corre por las venas de todos sus descendientes, llevando una porción de su poder eterno.;;;;;;;;;x
israel_female;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
israel_male;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
