BM_100_YEARS_WAR;The Hundred Years War;La guerre de Cent Ans;Der Hundertjährige Krieg;;La Guerra de los Cien años;;;;;;;;;x
ERA_CHAR_INFO_98003;Béla IV came from the long lineage of the Árpád rulers of Hungary. He refused to swear fealty to the Mongol Khan Ögödei and thus was faced with a Mongol invasion of Hungary. All seemed lost but salvation came with the death of Ögödei in 1242 since Batu of the Golden Horde ordered the army to safeguard the election of a new Great Khan back in Asia. Béla spent the following years building his kingdom in preparation for another Mongol invasion and became known as the Second Founder of the State.;Béla IV descend de la longue lignée des souverains Árpád de Hongrie. Il refuse d'être le vassal du khan mongol Ögödei et doit faire face à l'invasion mongole de la Hongrie. Tout semble perdu, mais le salut vient de la mort d'Ögödei en 1242 et de l'ordre donné par Batu de la Horde d'Or de retourner en Asie pour organiser l'élection d'un nouveau grand khan. Béla passe les années suivantes à préparer son royaume à une nouvelle invasion mongole. On le connaît comme le deuxième fondateur de l'état.;Als Nachkomme einer langen Reihe von Herrschern der Familie Árpád wurde Béla IV. Herrscher von Ungarn. Er verweigerte dem mongolischen Khan Ögödei die Gefolgschaft und sah sich in der Folge mit der Abwehr einer mongolischen Invasion konfrontiert. Der Krieg schien so gut wie verloren, doch als Ögödei 1242 starb, wurde die mongolische Armee vom Khan der Goldenen Horde, Batu, zurück nach Asien beordert, um dort die Wahl eines neuen Großkhans zu sichern. Béla verbrachte die folgenden Jahre mit Vorbereitungen für die Abwehr einer möglichen weiteren mongolischen Invasion und wurde so zum zweiten Gründervater des Landes.;;Bela IV descendía de un largo linaje de los gobernantes árpád de Hungría. Se negó a jurar lealtad al mongol Ogodei Kan y por consiguiente se enfrentó a una invasión de Hungría por parte de los mongoles. Todo parecía perdido, pero la salvación llegó con la muerte de Ogodei en 1242, cuando Batu de la Horda Dorada ordenó al ejército volver a Ásia para salvaguardar la elección de un nuevo gran kan. Bela pasó los siguientes años preparando su reino para otra invasión mongola y fue conocido como el Segundo Fundador del Estado.;;;;;;;;;x
ERA_CHAR_INFO_125501;Temujin was born in Mongolia, the son of the leader of the Borjigin clan. He was only a child when his father died, and he and his mother were ostracized from the clan due to his young age and competing pretenders. Once he reached maturity, however, Temujin began to forge his own destiny. Over several decades, he increased his reputation and prestige among his people, and eventually led them in the successful conquest of all Mongolia. After this, he went on to conquer northern China, all of Central Asia and parts of Persia and the western steppes. He became recognized as one of the greatest conquerors in the history of humanity, and the Mongols would continue expanding on these conquests after his death.;Temüdjin, né en Mongolie, était le fils du dirigeant du clan Bordjigin. Il n'était qu'un enfant lorsque son père mourut. À cause de son jeune âge et du grand nombre de prétendants, Temüdjin et sa mère furent rejetés par le clan. À l'âge adulte, Temüdjin commença à forger son propre destin. Pendant plusieurs décennies il se bâtit une solide réputation et obtint beaucoup de prestige au sein de son peuple qu'il finit par guider vers la conquête de la Mongolie toute entière. Ensuite, il alla conquérir le nord de la Chine, toute l'Asie centrale, des régions de la Perse et les steppes occidentales. Il fut dès lors reconnu comme l'un des plus grands conquérants de l'histoire de l'humanité et le peuple Mongol continua à s'accroître par le biais des conquêtes même après sa mort.;Temujin (Temüdschin) wurde als Sohn des Anführers des Borjigin-Klans geboren. Nach dem frühen Tod seines Vaters wurde er als Kind zusammen mit seiner Mutter vom Klan verstoßen, da man in ihm einen möglichen Konkurrenten sah. Nach einer schweren Jugend begann er als Erwachsener, sein Leben zur Legende werden zu lassen, und sammelte so viel Ansehen und Prestige, dass er schließlich die gesamte Mongolei unter seiner Herrschaft einen konnte. Nach Eroberungen in Nordchina wandte er sich Zentralasien, dann Persien und schließlich den Steppen im Westen zu. So wurde aus ihm einer der größten Eroberer, den die Welt jemals erlebt hat, und nach seinem Tod sollte sein Volk, die Mongolen, sein Erbe fortführen und erweitern.;;Temujin nació en Mongolia,el hijo del líder del clan Borjigin. Sólo era un niño cuando su padre murió, y su madre y él fueron expulsados del clan debido a su edad joven y los pretendientes rivales. Pero una vez alcanzó la madurez, Temujin comenzó a forjar su propio destino. Durante varias décadas, aumentó su reputación y prestigio entre su gente, y finalmente los lideró en la exitosa conquista de toda Mongolia. Después de esto, continuó a conquistar el norte de China, toda Asia Central, partes de Persia y las estepas occidentales. Fue reconocido como uno de los mayores conquistadores de la historia de humanidad, y los mongoles continuarían expandiendo en estas conquistas después de su muerte.;;;;;;;;;x
ERA_CHAR_INFO_144001;Hakon was one of the many many sons of Harald Fairhair, legendary king of Norway. When his brother Eirik took control of Norway, not many years passed until his despotic rule made him unpopular to the point of rebellion. Hakon who had been raised by King Æthelstan of England was sent back home to Norway to take over the rule of the kingdom. As a christian in a very pagan country, he had a long and tenuous rule over the many norwegian tribes. Throughout his rule he was threatened by the Danish king who supported the claims of his grandsons, the sons of his half-brother Eirik. In the end Hakon fell as he repelled the Danes at the Battle of Fitjar, and was succeeded by his nephew Harald II Greycloak.;Hakon était l'un des nombreux fils de Harald Fairhair, roi légendaire de Norvège. Lorsque son frère Eirik prit le pouvoir, peu d'années s'écoulèrent avant que son règne despotique le rende impopulaire au point d'engendrer une rébellion. Hakon, qui avait été élevé par le roi Æthelstan d’Angleterre, fut renvoyé chez lui en Norvège pour prendre le contrôle du royaume. En tant que chrétien dans un pays très païen, il dirigea longtemps les nombreuses tribus norvégiennes. Tout au long de son règne, il fut menacé par le roi danois, qui appuya les revendications de ses petits-fils, fils de son demi-frère Eirik. À la fin, Hakon tomba alors qu'il repoussait les Danois lors de la bataille de Fitjar. Son neveu Harald II Greycloak lui succéda.;Hakon war einer der vielen Söhne von Harald Fairhair, dem legendären König von Norwegen. Als sein Bruder Eirik die Kontrolle über Norwegen übernahm, vergingen nicht viele Jahre, bis ihn seine despotische Herrschaft unbeliebt machte und dies zu einer Rebellion führte. Hakon, der von König Æthelstan von England aufgezogen worden war, wurde nach Norwegen zurückgeschickt, um die Herrschaft über das Königreich zu übernehmen. Als Christ in einem sehr heidnischen Land hatte er eine lange und zarte Herrschaft über die vielen norwegischen Stämme. Während seiner Herrschaft wurde er vom dänischen König bedroht, der die Ansprüche seiner Enkel, der Söhne seines Halbbruders Eirik, unterstützte. Am Ende fiel Hakon, als er die Dänen in der Schlacht von Fitjar zurückschlug und wurde von seinem Neffen Harald II Greycloak abgelöst.;;Haakon era uno de los muchos hijos de Harald Cabellera Hermosa, rey legendario de Noruega. Cuando su hermano Erik tomó el control de Noruega, pasaron pocos años hasta que su gobierno despótico le hizo tan impopular que provocó una rebelión. Haakon, educado por el rey Athelstan de Inglaterra, volvió a Noruega para tomar el gobierno del reino. Como cristiano en un país muy pagano, tuvo un control escaso sobre muchas tribus noruegas. Durante todo su reinado se vio amenazado por el rey danés que apoyaba los derechos de sus nietos, hijos de su hermanastro Erik. Al final, Haakon cayó rechazando a los daneses en la batalla de Fitjar y fue sucedido por su sobrino Harald II el de la piel gris.;;;;;x
ERA_CHAR_INFO_144999;Karloman became joint king of the Franks together with his brother Karl in 768. The two brothers were not friends, rather a rivalry ensued. Karloman was outmaneuvered by his brother's alliance with the Lombards, and sought the support of the Pope in order to counter this, but did ultimately not succeed. He died unexpectedly in 771, just as war for the Frankish crown seemed inevitable. It has been claimed that he was poisoned, but this was never proven...;Carloman deveint roi des Francs en compagnie de son frère Charles en 786. Les deux frères ne s'entendent pas et une rivalité éclate. Carloman est pris de court par l'alliance de son frère avec les Lombards et cherche à obtenir le soutien du Pape afin de la contrer, mais n'y parvient pas. Il meurt brutalement en 771, au moment même où une guerre pour la couronne franque semble inévitable. On dit qu'il a été empoisonné, mais cela ne sera jamais prouvé...;Gemeinsam mit seinem Bruder Karl wurde Karlmann im Jahre 768 König der Franken. Allerdings waren die beiden Brüder keineswegs Freunde und begegneten einander in Rivalität. Karlmann sah sich durch die Allianz seines Bruders mit den Lombarden ausmanövriert und wandte sich in der Hoffnung auf Unterstützung an den Papst, scheiterte allerdings letzten Endes. Im Jahre 771 verstarb er überraschend, genau zu dem Zeitpunkt, als ein Krieg um die fränkische Krone unabwendbar schien. Mancher behauptete, er sei vergiftet worden, doch bewiesen werden konnte dies nie ...;;Carlomán se convirtió en rey de los francos junto con su hermano Carlos en el año 768. Los dos hermanos no se llevaban bien, mantenían una gran rivalidad. Carlomán fue manipulado por su hermano en alianza con los lombardos y buscó el apoyo del Papa para contraatacar, pero finalmente no lo logró. Murió inesperadamente en 771, justo cuando la guerra por la corona de los francos parecía inevitable. Se ha dicho que fue envenenado, pero esto nunca se pudo probar...;;;;;;;;;x
ERA_CHAR_INFO_159135;As the third grand prince of the Hungarians and the successor to the legendary Árpád, Zolta led their people for several decades in the early 10th century. Throughout this period the Hungarians were feared raiders who travelled across all of Europe, from Byzantium to Córdoba. After his death in the year 950, only a few years passed until Otto I beat back the Hungarian raiders in the Battle of Lechfeld, putting an end to their tyranny.;Troisième grand prince des Hongrois et successeur du légendaire Árpád, Zolta a dirigé son peuple pendant plusieurs décennies au début du Xe siècle. Tout au long de cette période, les Hongrois furent des pillards redoutés qui parcouraient toute l'Europe, de Byzance à Cordoue. Après sa mort en 950, il ne resta que quelques années avant qu'Otto I repousse les pilleurs hongrois lors de la bataille de Lechfeld, mettant ainsi fin à leur tyrannie.;Als dritter Großfürst von Ungarn und Nachfolger des legendären Árpád führte Zolta im frühen 10. Jahrhundert mehrere Jahrzehnte lang sein Volk. Während dieser Zeit waren die Ungar gefürchtete Angreifer, die durch ganz Europa von Byzanz nach Córdoba reisten. Nach seinem Tod im Jahr 950 vergingen nur wenige Jahre, bis Otto I. die ungarischen Aggressionen in der Schlacht von Lechfeld zurückschlug und ihrer Tyrannei ein Ende setzte.;;Como tercer gran príncipe de los húngaros y sucesor del legendario Arpad, Zolta dirigió a su pueblo durante varias décadas a principios del siglo X. En este periodo, los húngaros eran jinetes temibles que recorrían Europa entera, de Bizancio a Córdoba. Murió en 950 y pocos años después, Otón I derrotaría a los invasores húngaros en la batalla de Lechfeld, poniendo fin a su tiranía.;;;;;x
ERA_CHAR_INFO_163112;Halfdan Whiteshirt was born the son of legendary Viking Ragnar Lodbrok. He made several successful expeditions, journeying primarily to England, and later was one of the leaders of the Great Heathen Army of 865. Halfdan managed to build a large realm for himself in England, including areas as far south as London, but later ran into trouble with his peers and was expelled from the realm. He then sought out new adventures and eventually died as a Viking on another bold expedition.;Halfdan Ier Ragnarsson est le fils du légendaire Viking Ragnar Lodbrok. Il lance plusieurs expéditions fructueuses, principalement en Angleterre, et devient par la suite un des généraux de la Grande Armée païenne de 865. Halfdan parvient à édifier un grand empire en Angleterre qui comprend même des régions au sud de Londres, mais les troubles causés par ses pairs le contraignent à partir. Il vogue ensuite vers de nouvelles aventures et finit par mourir en Viking dans une de ses expéditions téméraires.;Halfdan, genannt "Weißhemd", war einer der Söhne des legendären Wikingers Ragnar Lodbrok. Er unternahm mehrere erfolgreiche Expeditionen, hauptsächlich nach England, und trat später als einer der Anführer der "Großen Heidnischen Armee" im Jahre 865 in Erscheinung. Halfdan gründete ein eigenes Reich in England, das bis nach London reichte, fiel jedoch bei seinen Bundesgenossen in Ungnade und wurde verbannt. Daraufhin unternahm er weitere Wikingerfahrten, bevor ihn auf einer seiner kühnen Expeditionen sein Schicksal ereilte.;;Halfdan Whiteshirt nació hijo del legendario vikingo Ragnar Lodbrok. Hizo varias expediciones exitosas, viajando primero a Inglaterra y posteriormente fue uno de los líderes del Gran Ejército  Pagano del 865. Halfdan se las arregló para levantar un gran reino en Inglaterra, incluyendo zonas tan al sur como Londres, pero posteriormente tuvo problemas con sus semejantes y fue expulsado del reino. Entonces se fue en busca de nuevas aventuras y al fin murió como un vikingo en otra audaz expedición.;;;;;;;;;x
ERA_CHAR_INFO_167219;The Hanseatic League was a loose alliance of German cities centered on Lübeck that dominated Baltic trade in the late Middle Ages and beyond, after displacing Visby as the leading merchant power in the region. Offices, so-called 'kontors,' were opened in major ports and trading hubs everywhere from London in the west to Novgorod in the east. Eventually the League became powerful enough to challenge larger realms directly, such as when they sacked the Danish capital of Copenhagen in the second half of the 14th century.;La Ligue hanséatique était une association de cités germaniques avec pour centre Lübeck, qui dominait le commerce en mer Baltique à compter de la fin du Moyen Âge, après avoir supplanté Visby en tant que principale puissance marchande de la région. Des comptoirs, les 'kontors', furent ouvert dans les principaux ports et noeuds commerciaux depuis Londres à l'ouest jusqu'à Novgorod à l'est. La Ligue hanséatique devint assez puissante pour défier directement de puissants royaumes. Par exemple, elle pilla la capitale danoise de Copenhague pendant la seconde moitié du XIVe siècle.;Die Hanse war ein lockeres Bündnis deutscher Städte, unter denen Lübeck eine zentrale Bedeutung zufiel. Ab dem späten Mittelalter löste die Hanse Visby als die stärkste Handelsmacht der Region ab und dominierte den Ostseehandel. An vielen wichtigen Häfen und Umschlagplätzen entstanden Handelsniederlassungen, sogenannte "Kontore", die sich von London im Westen bis hin zu Nowgorod im Osten erstreckten. Im Laufe der Zeit wurde der Städtebund so mächtig, dass er auch Konflikten mit größeren Reichen nicht mehr auswich, beispielsweise plünderte er in der zweiten Hälfte des 14. Jahrhunderts die dänische Hauptstadt Kopenhagen.;;La Liga Hanseática fue una alianza flexible de ciudades alemanas, giraba entorno de Lübeck, que dominó el comercio báltico en la crisis de la Edad Media y durante aún más tiempo después de desplazar Visby como potencia comercial líder en la región. Las oficinas, también llamadas "kontors", estaban abiertas en los principales puertos y nodos comerciales de todas partes, desde Londres en el oeste hasta Nóvgorod en el este. Finalmente la Liga se hizo lo suficientemente poderosa como para desafiar directamente reinos mayores, como cuando saquearon la capital danesa de Copenhague en la segunda mitad del siglo XIV.;;;;;;;;;x
ERA_CHAR_INFO_170193;Mystery surrounds Iltutmish’s early years, though it is said he was named for an eclipse that occurred during his birth. He was sold into slavery at an early age, and eventually ended up being bought by Aibak, the ruler of Lahore. Aibak valued his new servant highly and kept giving Iltutmish increasing responsibilities and corresponding honors, eventually marrying him to his own daughter. When Aibak died in 1210, Iltutmish enjoyed strong support as he claimed the throne. Years of turmoil ensued as he fought off contenders and then strengthened his position. He subsequently managed to avoid open conflict with the Mongols, founding the Delhi Sultanate that was to last into the 16th century.;Le mystère perdure concernant les premières années d'Îltutmish. On raconte toutefois qu'il tire son nom d'une éclipse qui survint lors de sa naissance. En bas âge, il fut vendu en tant qu'esclave à un certain Aibak, dirigeant de Lâhore. Aibak estimait grandement son nouveau serviteur et lui donnait continuellement de plus amples responsabilités en plus des honneurs qui s'y attachaient. Il finit par marier Îltutmish à sa fille. Suite à la mort d'Aibak en 1210, Îltutmish qui jouissait d'un large soutien, s'empara du trône. Des années de crises s'ensuivirent. Il dut combattre des aspirants au trône et dut consolider son statut. Il parvint par la suite à éviter un conflit ouvert avec les Mongols et fonda le sultanat de Delhi qui perdura jusqu'au XVIe siècle.;Iltutmishs Jugendjahre sind weitgehend unbekannt und so geheimnisumwittert wie sein Name, der sich angeblich aus einer Sonnenfinsternis am Tag seiner Geburt ableitet. Als Kind in die Sklaverei verkauft, fand er in Aibak, dem Herrscher von Lahore, einen anerkennenden Dienstherren, der ihm sein Vertrauen schenkte und ihm neben Ehrentiteln sogar die Hand einer seiner Töchter anvertraute. 1210, nach dem Tod Aibaks, wurde Iltutmishs Anspruch auf den Thron von starken Fürsprechern unterstützt. Nach jahrelangen Wirren gelang es ihm, seine Position zu festigen und den offenen Konflikt mit den Mongolen zu vermeiden. Bis in das 16. Jahrhundert hinein sollte das von ihm begründete Sultanat von Delhi überdauern.;;El misterio rodea los primeros años de Iltutmish, aunque se dice se le llamó por un eclipse que ocurrió durante su nacimiento. Fue vendido como esclavo a una edad temprana,y finalmente terminó por ser comprado por Aibak, el gobernante de Lahore. Aibak valoró altamente a su nuevo siervo y siguió dando mayores responsabilidades y los correspondientes honores a Iltutmish, hasta finalmente casarlo con su propia hija. Cuando Aibak murió en 1210, Iltutmish disfrutó de fuerte apoyo para reclamar el trono. Años de confusión siguieron mientras rechazaba a los pretendientes y reforzaba su su posición. Posteriormente logró evitar un conflicto abierto con los mongoles, fundando el Sultanato de Delhi que duraría hasta el siglo XVI.;;;;;;;;;x
ERA_CHAR_INFO_170258;Muhammad II was the head of the Tughluq dynasty, which had carved out a vast Muslim empire in India. Under him, the empire initially expanded to temporarily control most of India, but it was not to last. Muhammad had a well-earned reputation for ruthlessness and cruelty, and taxes in his empire were raised to exorbitant levels. He had to contend with numerous revolts, and by the time of his death the realm had already begun to fragment.;Mohammed II fut le chef de la dynastie Tughluq, qui avait créé un grand empire musulman en Inde. Sous son règne, l'empire s'agrandit pour contrôler temporairement la majeure partie de l'Inde, mais cela ne dura pas. Mohammed possédait une réputation bien méritée d'homme cruel et impitoyable et ses sujets croulaient sous les impôts. Il devait composer avec de nombreuses révoltes et à sa mort, l'empire avait déjà commencé à se fragmenter.;Muhammad II. war das Oberhaupt der Tughluq-Dynastie, die in Indien ein großes islamisches Reich gründete. Ihm gelang es, die Kontrolle über einen Großteil Indiens zu übernehmen. Doch dies sollte nicht von Dauer sein. Muhammad erwarb sich einen wohlverdienten Ruf als rücksichtsloser und grausamer Herrscher, der die Steuern in seinem Reich auf exorbitante Höhen schraubte. Er musste viele Revolten niederschlagen und bereits zum Zeitpunkt seines Todes zeigte sein Reich Auflösungserscheinungen.;;Muhammad II fue el cabeza de la dinastía tughlúquida, que había creado un vasto imperio musulmán en la India. Con él, en un principio el imperio se expandió y temporalmente controló la mayor parte de la India, pero no duró. Muhammad se había ganado la reputación de cruel y despiadado, y los impuestos, en su imperio, alcanzaron niveles exorbitantes. Tuvo que contener numerosas revueltas, y para cuando él falleció, el reino ya había empezado a fragmentarse.;;;;;;;;;x
ERA_CHAR_INFO_190347;Desiderius became King of the Lombards in 756 after putting down the revolt of his rival Ratchis. Throughout his reign, he was constantly in competition with the popes and the southern dukes for domination of Italy. He sought an alliance with Charlemagne but when the latter divorced his daughter relations were soured. Eventually the kingdom was invaded and conquered by the Franks, making Desiderius the last Lombard king.;Desiderius devient roi des Lombards en 756 après avoir maté la révolte de son rival Ratchis. Pendant tout son règne, il est en constante rivalité avec les papes et les ducs car il souhaite contrôler le sud de l'Italie. Il tente une alliance avec Charlemagne mais lorsque ce dernier divorce de sa fille, leurs relations sont rompues. Le royaume finit par être envahi et conquis par les Francs, et Desiderius devient le dernier roi des Lombards.;Nach der Niederschlagung einer Rebellion seines Rivalen Ratchis wurde Desiderius 756 König der Lombarden. Prägend für die Zeit seiner Regierung war der lange Kampf gegen die Päpste und süditalienische Fürsten um die Vorherrschaft in Italien. Er bemühte sich um ein Bündnis mit Karl dem Großen, doch als Karl sich von seiner Gemahlin (einer Tochter Desiderius') scheiden ließ, beeinträchtigte dies nachhaltig die Beziehungen. Letzten Endes eroberten die Franken sein Königreich, sodass Desiderius in der Reihe der lombardischen Könige der letzte sein sollte.;;Desiderio se convirtió en Rey de los Lombardos en el año 756 después de sofocar la sublevación de su rival Rachis. A lo largo y ancho de su reino, compitió sin descanso por la dominación de Italia con papas y duques del sur. Buscó una alianza con Carlomagno, pero el divorcio de éste con su hija estropeó sus relaciones. Finalmente el reino fue invadido y conquistado por los francos, haciendo de Desiderio el último rey lombardo.;;;;;;;;;x
ERA_CHAR_INFO_212513;Referred to by contemporaries as stupor mundi, the 'wonder of the world,' Friedrich II was among the most powerful and influential emperors of the Holy Roman Empire during the Middle Ages. His reign was marked with frequent wars against the Papacy, and Friedrich was excommunicated four times - Pope Gregory IX even dubbed him the Antichrist. He managed to broker the return of Jerusalem to Christian control during the Sixth Crusade despite taking part in very little actual fighting. After dying of dysentry in 1250 at the age of 55, his line would quickly die out, resulting in the end of the House of Hohenstaufen.;Désigné par ses contemporains par l'expression de stupor mundi, la 'merveille du monde', Frédéric II était un des plus puissants et des plus influents empereurs du Saint-Empire romain germanique au Moyen Âge. Son règne fut marqué par de fréquentes guerres contre la papauté et Frédéric fut excommunié quatre fois. Le pape Grégoire IX le surnomma même l'Antéchrist. Il parvint à négocier le passage de Jérusalem sous contrôle chrétien pendant la sixième croisade avec un minimum de combats. Après sa mort de dysenterie en 1250, à l'âge de 55 ans, sa lignée s'éteignit rapidement et ce fut la fin de la maison Hohenstaufen.;Von Zeitgenossen als stupor mundi, "Staunen der Welt", betitelt, war Friedrich II. einer der mächtigsten und einflussreichsten Kaiser des mittelalterlichen Heiligen Römischen Reiches. Seine Regierungszeit war gekennzeichnet durch häufige Kriege gegen den Papst: Insgesamt viermal wurde er exkommuniziert, von Papst Gregor IX. wurde er als Antichrist bezeichnet. Während des Sechsten Kreuzzugs gelang es ihm, ohne an Kämpfen nennenswert beteiligt gewesen zu sein, über Verhandlungen die Rückgabe Jerusalems an die Christen durchzusetzen. Kurz nachdem er 1250 im Alter von 55 Jahren an der Ruhr gestorben war, endete auch seine Linie. Die Herrschaft der Hohenstaufer war beendet.;;Conocido por sus coetáneos como stupor mundi, la "maravilla del mundo", Federico II fue uno de los más poderosos e influyentes emperadores del Sacro Imperio Romano durante la Edad Media. Su reino fue marcado por frecuentes guerras contra el Pontificado, y Federico fue excomulgado cuatro veces – incluso el Papa Gregorio IX le apodó El Anticristo. Se las arregló para negociar el regreso de Jerusalén a manos cristianas durante la Sexta Cruzada a pesar de casi no intervenir en la lucha. Después de morir de disentería en 1250 a la edad de 55 años, su línea se extinguiría rápidamente, lo que supuso el fin de la Casa de Hohenstaufen.;;;;;;;;;x
ERA_CHAR_INFO_260976;Abu'l-Qasim Sa'id started the Qarmatian faith centered around his capital in al-Bahrein when the Fatimid Caliphate rose in the west. After his father's demise, Abu Tahir continued as the new leader and became infamous throughout the Arabian Peninsula for his raids into Egyptian and Abbasid lands. In 930 he pillaged Mecca, murdered the many pilgrims who had travelled there and stole the Black Stone. After this sacrilege the Qarmatians became even more hated throughout the whole Muslim world, but that did not deter Abu Tahir as he continued the raids and assaults on his neighbours, until he finally died a decade later.;Abu'l-Qasim Sa'id a instauré la religion qarmate autour de sa capitale en al-Bahrein lorsque le califat fatimide a émergé à l'ouest. Après la disparition de son père, Abou Tahir demeura le nouveau chef et devint tristement célèbre dans toute la péninsule arabique pour ses raids sur les terres égyptiennes et abbassides. En 930, il pilla la Mecque, assassina les nombreux pèlerins qui s'y étaient rendus et vola la pierre noire. Après ce sacrilège, les qarmates sont devenus encore plus détestés dans tout le monde musulman, mais cela n'a pas dissuadé Abou Tahir de poursuivre les raids et les agressions contre ses voisins jusqu'à sa mort, une décennie plus tard.;Abu'l-Qasim Sa'id begründete den Glauben der Qarmaten mit seiner Hauptstadt in al-Bahrein als Mittelpunkt, als das Fatimidenkalifat im Westen aufstieg. Nach dem Tod seines Vaters blieb Abu Tahir der neue Anführer und wurde auf der gesamten Arabischen Halbinsel für seine Überfälle in ägyptische und abbasidische Länder berüchtigt. 930 plünderte er Mekka, ermordete die vielen Pilger, die dorthin gereist waren und stahl den Schwarzen Stein. Nach diesem Sakrileg wurden die Qarmatier in der gesamten muslimischen Welt noch mehr gehasst, was Abu Tahir jedoch nicht abschreckte, als er die Überfälle und Angriffe auf seine Nachbarn fortsetzte, bis er schließlich ein Jahrzehnt später starb.;;Abu'l-Qasim Sa'id comenzó la fe cármata en torno a su capital de al-Baréin cuando apareció el Califato fatimí en el oeste. A la muerte de su padre, Abu Tahir continuó como nuevo líder y se hizo tristemente famoso por en la península arábiga por sus incursiones en tierras egipcias y abasidas. En 930 saqueó La Meca, mató a muchos peregrinos que había allí y robó la Piedra Negra. Tras este sacrilegio, los cármatas fueron aún más odiados en todo el mundo musulmán, pero eso no detuvo a Abu Tahir ya que siguió con las incursiones y ataques a sus vecinos hasta que murió una década más tarde.;;;;;x
ERA_CHAR_INFO_454500;Edward III was in many ways a warrior king, who was crowned after the disastrous reign of his father came to an end in 1327. Under Edward, England was transformed into one of most formidable military powers in Europe and his claim to the French throne would begin the conflict that eventually became known as the Hundred Years War. During his long reign, which would go on to last fifty years, Edward focused mostly on military matters. He personally oversaw the decisive Battle of Crécy, where an English army consisting mostly of longbowmen defeated a much larger French force.;Édouard III était, selon bien des aspects, un roi combattant. Il fut couronné après la fin du règne désastreux de son père en 1327. Sous son règne, l'Angleterre se transforma en l'une des plus grandes puissances militaires d'Europe et ses revendications sur le trône de France allaient faire le conflit connu par la suite sous le nom de guerre de Cent Ans. Pendant un règne qui allait durer cinquante ans, Édouard s'occupa principalement de questions militaires. Il commanda personnellement la bataille de Crécy lors de laquelle l'armée anglaise, principalement composée d'archers à arc long, triompha d'une armée française bien plus nombreuse.;Eduard III. war in vielerlei Hinsicht ein Feldherrenkönig, der nach dem Ende der katastrophalen Regierungszeit seines Vater im Jahre 1327 gekrönt wurde. Unter Eduard wandelte sich England zu einer der mächtigsten Militärmächte Europas und sein Anspruch auf den französischen Thron war der Ausgangspunkt eines Konfliktes, der schließlich als der Hundertjährige Krieg bekannt werden sollte. Während seiner langen Regierungszeit, die 50 Jahre währte, konzentrierte sich Eduard vorwiegend auf militärische Angelegenheiten. Der entscheidenden Schlacht von Crécy, bei der eine englische, größtenteils aus Langbogenschützen bestehende Armee eine wesentlich größere französische Streitmacht besiegte, wohnte er persönlich bei.;;Eduardo III fue, en muchos sentidos, un rey guerrero que fue coronado después de que el desastroso reinado de su padre finalizara en 1327. Con Eduardo, Inglaterra se convirtió en uno de los poderes militares más imponente de Europa, y su reclamación del trono francés daría pie al conflicto que finalmente se conocería como la Guerra de los Cien Años. A lo largo de su largo reinado, que duraría cincuenta años, Eduardo se centró, principalmente, en las cuestiones militares. Supervisó personalmente la decisiva Batalla de Crécy, en la que un ejército inglés formado mayoritariamente por arqueros de largo alcance derrotó a un ejército francés mucho más numeroso.;;;;;;;;;x
ERA_CHAR_INFO_455500;Philippe the Fortunate was the first French king to hail from the House of Valois, and under his reign France would see the beginning of the Hundred Years War. Despite Philippe's nickname, the war did not go well, and the French army was virtually annihilated at the hands of the English during the Battle of Crécy. At the end of his reign the Black Death made its first appearance in France. A full third of the subjects in his kingdom succumbed to this plague - including Philippe's wife, Queen Joan.;Philippe le Fortuné était le premier roi de France de la lignée des Valois. Sous son règne, la France allait connaître le début de la guerre de Cent Ans. Malgré son surnom, la guerre ne se déroula pas bien pour lui et l'armée française fut virtuellement annihilée par les Anglais au cours de la bataille de Crécy. À la fin de son règne, la Peste noire fit sa première apparition en France. Un tiers de ses sujets allait succomber à cette épidémie, y compris l'épouse de Philippe, la reine Jeanne.;Philipp, genannt "der Glückliche", war der erste französische König aus dem Hause Valois. In seine Regierungszeit sollte der Beginn des Hundertjährigen Krieges fallen. Trotz seines Beinamens verlief der Krieg für Philipp alles andere als günstig und die französische Armee wurde in der Schlacht von Crécy von den Engländern praktisch aufgerieben. Gegen Ende seiner Herrschaft kam es zu einer ersten Pestwelle auf französischem Gebiet. Nicht weniger als ein Drittel seiner Untertanen fiel der Epidemie zum Opfer, darunter auch seine Königin, Johanna.;;Felipe, conocido como "el afortunado", fue el primer rey francés de la Casa de Valois, y bajo su reinado Francia vería el inicio de la Guerra de los Cien Años. A pesar de su apodo, la guerra no fue bien y el ejército francés fue prácticamente aniquilado en manos de los ingleses en la Batalla de Crécyy. Al final de su reinado, la Peste Negra hizo su primera aparición en Francia. Un tercio de los súbditos de su reino sucumbieron a esta plaga – incluida la propia esposa de Felipe, la reina Juana.;;;;;;;;;x
