#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTNAME6301;The Turnip Act;La loi du navet;Der Rübenerlass;;La Ley de Nabos;;;;;;;;;x
EVTDESC6363;Apparently, it was not bad enough when that stupid animal glared at us from the saftey of [FromFrom.GetTitledFirstName]'s lap. Now it has its own chair, and a seat on the council, to boot! The [FromFrom.GetTitle] has informed us that the former [FromFrom.GetSpymasterName] was poisoned, but a servant who helped move the body insist that the [FromFrom.GetSpymasterName] was suffocated...;Apparemment, ce n'était pas déjà assez grave lorsque ce stupide animal nous regardait depuis les genoux douillets [FromFrom.Get_du_TitledFirstName]. Maintenant, il a sa propre chaise, et un siège au Conseil, en plus ! [FromFrom.Get_only_Le_Title][FromFrom.GetTitle] nous a dit que l'ancien [FromFrom.GetSpymasterName] avait été empoisonné, mais un serviteur qui a aidé à déplacer le corps affirme que le [FromFrom.GetSpymasterName] a été étouffé...;Anscheinend war es nicht schon schlimm genug, dass dieses dumme Tier uns aus der Geborgenheit des Schoßes von [FromFrom.GetTitledFirstName] anstarrte. Jetzt hat es obendrein noch seinen eigenen Stuhl und einen Sitz im Rat. [FromFrom.GetTitle] informierte uns, dass der ehemalige [FromFrom.GetSpymasterName] vergiftet wurde. Ein Diener, der dabei half, den Körper zu bewegen, besteht allerdings drauf, dass [FromFrom.GetSpymasterName] erstickt wurde...;;Como si no fuera malo que ese estúpido animal nos mirase desde la seguridad del regazo de [FromFrom.GetTitledFirstName]. ¡Encima ahora tiene su propia silla y un asiento en el consejo! El [FromFrom.GetTitle] nos ha informado que el anterior [FromFrom.GetSpymasterName] murió por veneno, pero un sirviente que ayudó a mover el cuerpo, insiste en que fue asfixia…;;;;;;;;;x
EVTDESC6365;[From.GetSheHeCap] is so cute and fluffy, what would life even be like if I were to lose [From.GetHerHim]? I am not sure I could go on... I must do something about this and protect my beloved cat [From.GetBestName].;[From.GetIlElleCap] est si migno[From.GetNNne] et duveteu[From.GetXSe], que serait la vie si je devais [From.GetLeLa] perdre ? Je ne suis pas sûr[Root.Get_E] de pouvoir continuer... Je dois faire quelque chose à ce sujet et protéger mon chat bien-aimé [From.GetBestName].;[From.GetSheHeCap] ist so süß und flauschig, dass ich gar nicht daran denken möchte, wie das Leben wäre, wenn ich [From.Getihnsie] verlieren würde. Ich bin mir nicht sicher, ob ich dann weiterleben könnte... Ich muss etwas dagegen tun und meine geliebte Katze [From.GetBestName] beschützen.;;Es tan mon[From.GetOA] y achuchable, ¿cómo sería la vida si lo perdiera? No sé si podría seguir… ¡debo hacer algo al respecto y proteger a mi amad[From.GetOA] gat[From.GetOA], [From.GetBestName].;;;;;;;;;x

EVTOPTA6000;What is wrong with me?;Que m'arrive-t-il ?;Was ist los mit mir?;;¿Qué va mal en mí?;;;;;;;;;x
EVTOPTA6001;I feel much better;Je me sens beaucoup mieux.;Ich fühle mich viel besser;;Me siento mucho mejor;;;;;;;;;x
EVTOPTA6010;My face! My pretty face!;Mon visage ! Mon beau visage !;Mein Gesicht! Mein schönes Gesicht!;;¡Mi cara! ¡Mi bonita cara!;;;;;;;;;x
EVTOPTA6011;The potion worked!;La potion a fonctionné !;Der Trank wirkte!;;¡La poción funcionó!;;;;;;;;;x
EVTOPTA6020;I can't defy them;Je ne peux pas les défier.;Ich kann sie nicht bekämpfen;;No puedo resistirme a ellas;;;;;;;;;x
EVTOPTA6020_COMA;The darkness... it's still here!;Les ténèbres... Elles sont toujours là !;Die Dunkelheit... sie ist immer noch da!;;¡La oscuridad... todavía está aquí!;;;;;;;;;x
EVTOPTA6020_FEVER;Who are they?!;Qui sont-elles ?;Wer sind sie?!;;¿Quiénes son?;;;;;;;;;x
EVTOPTA6020_PARA;What do they want?!;Que veulent-ils donc ?;Was wollen sie?!;;¡¿Qué es lo que quieren?!;;;;;;;;;x
EVTOPTA6020_PRISON;I must get out of this hellhole!;Je dois sortir de cet enfer !;Ich muss aus diesem Höllenschlund fliehen!;;¡Debo salir de este agujero infernal! ;;;;;;;;;x
EVTOPTA6020_ZEAL;They must all be cleansed!;Il faut tous les purifier !;Sie müssen alle reingewaschen werden!;;¡Todos deberían ser limpiados!;;;;;;;;;x
EVTOPTA6021;IT'S TOO QUIET!;C'EST TROP CALME !;ES IST ZU STILL!;;¡ESTÁ DEMASIADO TRANQUILA!;;;;;;;;;x
EVTOPTA6030;Begone, foul demon!;Va-t'en, abominable démon !;Hinfort mit dir, finsterer Dämon!;;¡Vete, demonio asqueroso!;;;;;;;;;x
EVTOPTA6030_MUS;Begone, foul djinn!;Hors d'ici, génie maléfique !;Verschwindet, garstiger Dschinn!;;¡Vete, monstruoso genio!;;;;;;;;;x
EVTOPTA6031;Vade retro satana!;Vade retro satana !;Weiche, Satanas!;;¡Vade retro satanás!;;;;;;;;;x
EVTOPTA6031_ALL;Once again, to be on the safe side...;Une fois encore, mieux vaut mettre toutes les chances de notre côté...;Noch einmal, um sicher zu gehen ...;;Una vez más, para estar sanos y salvos...;;;;;;;;;x
EVTOPTA6040;This is a lot of pressure...;La pression est trop forte...;Das ist eine Menge Druck ...;;Es mucha presión...;;;;;;;;;x
EVTOPTA6041;Life isn't too bad;La vie n'est pas si mal.;Das Leben ist gar nicht so schlecht;;La vida no es tan mala;;;;;;;;;x
EVTOPTA6050;I really do.;Vraiment.;Wirklich;;Lo juro;;;;;;;;;x
EVTOPTA6051;I feel better now;Je me sens mieux.;Ich fühle mich schon besser;;Ahora me siento mejor;;;;;;;;;x
EVTOPTA6060;Please kill me!;Pitié, tuez-moi !;Ich will sterben!;;¡Por favor, mátame!;;;;;;;;;x
EVTOPTA6061;Alive!;En vie !;Am Leben!;;¡Vivo!;;;;;;;;;x
EVTOPTA6062;I can run!;Je peux courir !;Ich kann laufen!;;¡Puedo correr!;;;;;;;;;x
EVTOPTA6070;Something is very wrong with me;Je vais très mal.;Irgendetwas stimmt überhaupt nicht mit mir;;Algo va muy mal en mí;;;;;;;;;x
EVTOPTA6071;Finally!;Enfin !;Endlich!;;¡Por fin!;;;;;;;;;x
EVTOPTA6080;Why I oughta...;Pourquoi devrais-je...;Ich sollte ihn wirklich ...;;Por qué tengo que...;;;;;;;;;x
EVTOPTA6081;Ewww...;Pouah...;Iiiiiehhhh ...;;Eee...;;;;;;;;;x
EVTOPTA6082;May [Root.Religion.GetRandomGodName] have mercy on us!;Puisse [Root.Get_le_HighGod] avoir pitié de nous !;Möge [Root.Religion.GetRandomGodName] Erbarmen mit uns haben!;;¡Que [Root.Religion.GetRandomGodName] se apiade de nosotros!;;;;;;;;;x
EVTOPTA6100;Who are you? Oh, of course.;Qui êtes-vous ? Oh, bien sûr.;Wer seid Ihr? Oh, natürlich.;;¿Quién eres? Ah, claro.;;;;;;;;;x
EVTOPTA6110;So tired... zzz;Je ressens tellement de fatigue... zzz;So müde ... chrrrrrr ;;Muy cansado... Zzzz;;;;;;;;;x
EVTOPTA6111;O Fortuna;O Fortuna.;O Fortuna;;O Fortuna;;;;;;;;;x
EVTOPTA6112;I could eat a horse!;J'ai une faim de loup !;Ich könnte ein ganzes Pferd fressen!;;¡Me comería un caballo!;;;;;;;;;x
EVTOPTA6113;The fates are kind;Le sort me fait un cadeau.;Die Schicksalsgöttinnen meinen es gut mit mir;;El destino es bondadoso;;;;;;;;;x
EVTOPTA6114;HAHA!;HA HA !;HAHA!;;¡JAJA!;;;;;;;;;x
EVTOPTA6115;Time to get up;Il est temps de se lever.;Zeit zum Aufstehen;;Hora de levantarse;;;;;;;;;x
EVTOPTA6116;Poxy no more!;Finie la maladie !;Keine Pest mehr!;;¡Basta de porquerías!;;;;;;;;;x
EVTOPTA6200;Jesus calls to me;Jésus me parle.;Jesus spricht zu mir;;Jesús me llama;;;;;;;;;x
EVTOPTA6201;The Lord wills it;C'est la volonté du Seigneur.;Der Herr will es;;El Señor lo quiere;;;;;;;;;x
EVTOPTA6202;For my soul;Pour mon âme !;Für meine Seele;;Por mi alma;;;;;;;;;x
EVTOPTA6203;It's an omen;C'est un présage.;Das ist ein Omen;;Es un presagio;;;;;;;;;x
EVTOPTA6204;I will control my vices;Je vais contrôler mes vices.;Ich werde meine Laster zügeln;;Controlaré mis vicios ;;;;;;;;;x
EVTOPTA6205;And so I shall;Et je m'y soumets.;Und so soll es sein;;Y así lo haré;;;;;;;;;x
EVTOPTA6206;I will stop;Je vais arrêter.;Ich werde aufhören;;Pararé;;;;;;;;;x
EVTOPTA6207;I will be ;Je vais le faire.;So soll es sein;;Lo seré ;;;;;;;;;x
EVTOPTA6208;God forgive me;Que Dieu me pardonne !;Gott möge mir vergeben;;Dios, perdóname;;;;;;;;;x
EVTOPTA6209;Praise to God;Dieu soit loué !;Lob sei dem Allmächtigen;;Alaba a Dios;;;;;;;;;x
EVTOPTA6210;I will do as I was commanded;Je ferai ce qui m'est commandé.;Ich werde seinem Befehl gehorchen;;Haré lo que me ordenaron;;;;;;;;;x
EVTOPTA6212;Jesus is right, this is wrong;Jésus a raison, c'est mal.;Jesus hat Recht, das ist falsch;;Jesús tiene razón, está mal;;;;;;;;;x
EVTOPTA6213;I will be more kind;Je vais être plus genti[Root.GetLLle].;Ich werde gütiger sein;;Seré más amable;;;;;;;;;x
EVTOPTA6214;I will be a true soldier of God;Je serai un vrai soldat de Dieu.;Ich werde Gott ein treuer Soldat sein;;Seré un verdadero soldado de Dios;;;;;;;;;x
EVTOPTA6215;I will do so;Je vais m'y efforcer.;Das werde ich tun;;Así lo haré;;;;;;;;;x
EVTOPTA6216;Then I realized how wrong I was.;C'est alors que j'ai compris que je me trompais.;Und so erkannte ich, wie sehr ich geirrt hatte.;;Entonces me di cuenta de lo equivocado que estaba.;;;;;;;;;x
EVTOPTA6217;Then I will be more meek;Dans ce cas, je serai plus débonnaire.;Dann werde ich mehr wie die Siechen sein;;Entonces seré más manso;;;;;;;;;x
EVTOPTA6218;I will do as our Lord Commands;Je ferai ce que me commande notre Seigneur.;Ich werde tun, wie mir der Herr geheißen hat;;Haré lo que ordena nuestro Señor;;;;;;;;;x
EVTOPTA6219;As Jesus Wills;Je vais me soumettre à la volonté de Dieu.;Jesus' Wille ist mir Befehl;;Como Jesús disponga;;;;;;;;;x
EVTOPTA6220;It must be a punishment for my sins;Il me punit certainement pour mes péchés.;Es muss eine Strafe für meine Sünden sein;;Debe ser un castigo por mis pecados;;;;;;;;;x
EVTOPTA6221;The only problem is no one else can;Le seul problème, c'est que personne d'autre n'en est capable.;Das einzige Problem dabei: Niemand sonst kann das;;El único problema es que nadie más puede;;;;;;;;;x
EVTOPTA6222;I am saddened. ;Je suis triste. ;Ich bin betrübt.;;Estoy triste. ;;;;;;;;;x
EVTOPTA6223;Redrum;Satanique;Morrrrrdddddd;;Redrum;;;;;;;;;x
EVTOPTA6224;I heard him scream and [Root.Religion.GetRandomEvilGodName] laughed with delight.;Je l'ai entendu crier et [Root.Religion.GetRandomEvilGodName] a ri avec délectation.;Während ich ihn schreien hörte, lachte [Root.Religion.GetRandomEvilGodName] vergnüglich.;;Lo escuché gritar y Satanás reía complacido.;;;;;;;;;x
EVTOPTA6225;It is wrong, but feels right.;C'est faux, même si cela semble exact.;Es ist falsch, aber es fühlt sich richtig an.;;Está mal, pero me siento bien.;;;;;;;;;x
EVTOPTA6226;A messenger from my Lord the Leviathan;Un messager du Seigneur Léviathan;Ein Bote meines Fürsten, dem Leviathan;;Un mensaje de mi señor el Leviatán.;;;;;;;;;x
EVTOPTA6227;It was the word of God?;C'était la parole du Seigneur ?;Das war das Wort Gottes?;;¿Era la palabra de Dios?;;;;;;;;;x
EVTOPTA6228;God must want me to do this.;Dieu veut sûrement que je le fasse.;Also muss es Gottes Willen sein!;;Seguro que Dios quiere que lo haga.;;;;;;;;;x
EVTOPTA6229;He's right you know;Il a raison, vous savez.;Ihr wisst, dass er Recht hat;;Y tiene razón, ¿sabes?;;;;;;;;;x
EVTOPTA6230;Yes I will not be weak.;Oui, je ne serai plus faible.;Ja, ich werde nicht schwach sein.;;No voy a ser débil.;;;;;;;;;x
EVTOPTA6231;My eyes are open;Mes yeux sont ouverts.;Meine Augen sind geöffnet;;He abierto los ojos.;;;;;;;;;x
EVTOPTA6232;He is right.;Elle a raison.;Er hat Recht.;;Tiene razón.;;;;;;;;;x
EVTOPTA6233;He tells it true.;Il dit vrai.;Er sagt die Wahrheit;;Dice la verdad.;;;;;;;;;x
EVTOPTA6234;Indeed;En effet !;In der Tat;;Pues claro.;;;;;;;;;x
EVTOPTA6235;It is right;C'est juste.;Das stimmt;;Está en lo cierto.;;;;;;;;;x
EVTOPTA6236;They will be mine;Je récupérerai ce qui me revient.;Sie werden mir gehören;;Serán mías.;;;;;;;;;x
EVTOPTA6237;I will be strong;Je me renforcerai.;Ich werde stark sein;;Seré fuerte.;;;;;;;;;x
EVTOPTA6238;I never thought of it that way.;Je n'y avais jamais réfléchi.;So hatte ich es noch nie gesehen.;;Nunca lo había visto así.;;;;;;;;;x
EVTOPTA6239;You know he has a point;Vous savez qu'il a raison.;Ihr wisst, dass er nicht Unrecht hat;;Sabes que tiene razón.;;;;;;;;;x
EVTOPTA6240;He is right too.;Il a raison.;Auch damit hat er Recht.;;También tiene razón.;;;;;;;;;x
EVTOPTA6300;The Turnip Act.;La loi du navet;Der Rübenerlass.;;La Ley de Nabos.;;;;;;;;;x
EVTOPTA6301;What the...;C'est quoi cette c... ?;Was zum...?;;¿Pero qué…;;;;;;;;;x
EVTOPTA6302;They will have to pry them from my cold, dead legs...;Ils devront l'ôter de mes jambes gelées...;Nur über meine Leiche ...;;Me los tendrán que arrancar de las piernas de mi cadáver...;;;;;;;;;x
EVTOPTA6303;What?;Quoi ?!;Wie bitte?!;;¿Qué?;;;;;;;;;x
EVTOPTA6304;Rehabi...? What insanity is this?;Réhabili-quoi ? De quelle folie s'agit-il, encore ?;Sie sollen sich eingliedern?! Das ist doch Wahnwitz!;;¿Rehabi...? ¿Qué clase de locura es esta?;;;;;;;;;x
EVTOPTA6305;This law will bring salvation to the realm.;Le Royaume va trouver son salut grâce à cette loi.;Dieses Gesetz wird mein Reich der Erlösung näherbringen.;;Esta ley será la salvación del reino.;;;;;;;;;x
EVTOPTA6315;Where did the gopher go? Did you see?;Où est allé l'écureuil ? Vous l'avez vu ?;In welche Richtung ist das Erdhörnchen gelaufen? Hast du es gesehen?;;¿A dónde habrá ido la ardilla? ¿La has visto?;;;;;;;;;x
EVTOPTA6316;AAAAAAAAOOOOOOO!!!!!!;AAAAHOUUUUUUU !!!! ;AAAAAAAAOOOOOOO!!!!!!;;¡AAAAAAAUUUUUUU!;;;;;;;;;x
EVTOPTA6317;Glitterhoof, I appoint thee as the [Root.GetChancellorName] of the realm.;Sabot Brillant, je fais de toi le nouveau [Root.GetChancellorName] du Royaume.;Glitzerhuf, als Euer Fürst ernennen Wir Euch zum [Root.GetChancellorName] des Reiches.;;Pezuña Brillante, yo os nombro [Root.GetChancellorName] del reino.;;;;;;;;;x
EVTOPTA6318;This time that maniac has gone too far...;Cette fois, ce fou furieux est allé trop loin...;Dieses Mal hat dieser Wahnsinnige den Bogen überspannt!;;Esta vez ese maniaco ha ido demasiado lejos...;;;;;;;;;x
EVTOPTA6350;Could there be rats in the walls?;Y aurait-il des rats dans le mur ?;Könnten sich Ratten in den Wänden befinden?;;¿Podría haber ratas en las paredes?;;;;;;;;;x
EVTOPTA6351;That color is not from this earth!;Cette couleur n'est pas de ce monde !;Diese Farbe ist nicht von dieser Welt!;;¡Ese color no es de esta tierra!;;;;;;;;;x
EVTOPTA6352;This coffin looks comfortable to sleep in;Ce cercueil semble propice à un sommeil confortable ;Dieser Sarg sieht komfortabel genug aus, um darin zu schlafen;;Este ataúd parece cómodo para dormir en él.;;;;;;;;;x
EVTOPTA6353;Pass a law banning the killing of cats;Passez une loi pour bannir l'abattage de chats;Verabschiedet ein Gesetz gegen das Töten von Katzen;;Aprobar una ley que prohíbe la matanza de los gatos;;;;;;;;;x
EVTOPTA6354;I must study this grimoire;Je dois étudier ce grimoire ;Ich sollte dieses Zauberbuch studieren;;Debo estudiar este grimorio;;;;;;;;;x
EVTOPTA6355;Tonight, he will wake!;Ce soir, il se réveillera ! ;Heute Nacht wird er erwachen!;;Esta noche, ¡él despertará!;;;;;;;;;x
EVTOPTA6356;He comes! HE COMES!;Le voilà ! LE VOILÀ !;Er kommt! ER KOMMT!;;¡Él viene! ¡ÉL VIENE!;;;;;;;;;x
EVTOPTA6357;Ramming speed!;Vitesse maximale !;Rammgeschwindigkeit!;;¡Velocidad de ariete!;;;;;;;;;x
EVTOPTA6358;I must put them to print;Je dois faire imprimer cela;Ich muss sie niederschreiben;;Debo ponerlos a imprimir;;;;;;;;;x
EVTOPTA6360;How dare you blame little innocent Mittens?!;Comment osez-vous blâmer mon petit chat ?;Wie könnt Ihr wagen, die kleine unschuldige Schnurri zu beschuldigen!?;;¿Cómo osas culpar al pobre e inocente Mitones?;;;;;;;;;x
EVTOPTA6361;Follow Mittens down the dark corridor.;Suivre Moufle dans le couloir sombre.;Folgt Schnurri den dunklen Korridor hinunter.;;Sigue a Mitones por el pasillo oscuro.;;;;;;;;;x
EVTOPTA6362;You have discovered a murder, Mittens! Clever kitty!;Tu as découvert un meurtre, Moufle ! Quel chaton intelligent !;Du hast einen Mord entdeckt, Schnurri! Kluges Kätzchen!;;¡Has descubierto un asesinato, Mitones! ¡Gato listo!;;;;;;;;;x
EVTOPTA6363;Is anyone on the council safe? This is a catastrophe!;Y a-t-il un membre du Conseil qui soit sauf ? C'est une catastrophe !;Ist niemand im Rat sicher? Das ist eine Katastrophe!;;¿Está a salvo alguien en el consejo? ¡Es una catástrofe!;;;;;;;;;x
EVTOPTA6365;[From.GetSheHeCap] must lap up some of my immortal blood for protection.;[From.GetIlElleCap] doit laper de mon sang immortel pour sa protection.;[From.GetSheHeCap] muss zum Schutz etwas von meinem unsterblichen Blut lecken.;;Debe lamer algo de mi sangre inmortal para conseguir protección.;;;;;;;;;x

EVTOPTB6300;The Pants Act.;La loi du pantalon;Der Hosenerlass.;;La Ley de Pantalones.;;;;;;;;;x
EVTOPTB6350;Just a dream, nothing more;Rien de plus qu'un rêve;Nur ein Traum, nichts weiter;;Simplemente un sueño, nada más;;;;;;;;;x
EVTOPTB6351;The well must have gone bad;L'eau de ce puits doit être pourrie;Das Brunnenwasser muss schlecht geworden sein;;El pozo debe de haberse estropeado;;;;;;;;;x
EVTOPTB6352;Well, that was morbid... seal the tomb!;C'était morbide, ça... fermons ce tombeau !;Wie morbide... versiegelt das Gewölbe!;;Bien, eso era macabro… ¡Sella la tumba!;;;;;;;;;x
EVTOPTB6353;A coincidence, nothing more;Une coïncidence, tout simplement;Ein Zufall, mehr nicht;;Una coincidencia, nada más;;;;;;;;;x
EVTOPTB6356;What have I done?! I must stop this!;Qu'ai-je fait ?! Je dois mettre fin à tout ça ! ;Was habe ich getan? Ich muss es aufhalten!;;¡¿Qué es lo que he hecho?! ¡Debo pararlo!;;;;;;;;;x
EVTOPTB6358;Fools! I saved you all!;Imbéciles ! Je vous ai tous sauvés !;Narren! Ich habe euch alle gerettet!;;¡Necios! ¡Os he salvado a todos!;;;;;;;;;x
EVTOPTB6360;Perhaps you are right, [Root.job_spymaster.GetFirstName]. The council is no place for a cat.;Peut-être avez-vous raison, [Root.job_spymaster.GetFirstName]. Le Conseil n'est pas un endroit pour un chat.;Vielleicht habt Ihr recht, [Root.job_spymaster.GetFirstName]. Der Rat ist kein Ort für eine Katze.;;Puede que tengas razón, [Root.job_spymaster.GetFirstName]. El consejo no es lugar para un gato.;;;;;;;;;x
EVTOPTB6361;Go to the kitchen, she is sure to follow.;Aller à la cuisine, le chat devrait vous suivre.;Geht in die Küche. Sie wird sicher folgen.;;Ve a la cocina, ya te seguirá.;;;;;;;;;x
EVTOPTB6365;Only I shall have this great power!;Seul[Root.Get_E] moi aurais cet immense pouvoir !;Nur ich darf diese großartige Macht haben!;;¡Solo yo tendré este gran poder!;;;;;;;;;x

EVTOPTC6300;The Hole in the Wall Act.;La loi du trou dans le mur;Der Loch-in-der-Wand-Erlass.;;La Ley de Huecos en la Pared.;;;;;;;;;x

EVTOPTD6300;The Cessation of Violence Act.;La loi d'arrêt des violences;Der Erlass zum Stopp der Gewalt.;;La Ley de Cese de Violencia.;;;;;;;;;x

EVTTOOLTIP6305;You give the order to implement the Turnip Act.;Vous donnez l'ordre d'instaurer la loi du navet.;Ihr gebt den Befehl zur Inkraftsetzung des Rübenerlasses.;;Das la orden para que se implemente la Ley de Nabos.;;;;;;;;;x
EVTTOOLTIP6306;You give the order to implement the Pants Act.;Vous donnez l'ordre d'instaurer la loi du pantalon.;Ihr gebt den Befehl zur Inkraftsetzung des Hosenerlasses.;;Das la orden para que se implemente la Ley de Pantalones.;;;;;;;;;x
EVTTOOLTIP6307;You give the order to implement the Hole in the Wall Act.;Vous donnez l'ordre d'instaurer la loi du trou dans le mur.;Ihr gebt den Befehl zur Inkraftsetzung des Loch-in-der-Wand-Erlasses.;;Das la orden para que se implemente la Ley de Huecos en la Pared.;;;;;;;;;x
EVTTOOLTIP6308;You give the order to implement the Cessation of Violence Act.;Vous donnez l'ordre d'instaurer la loi d'arrêt des violences.;Ihr gebt den Befehl zur Inkraftsetzung des Erlasses zum Stopp der Gewalt.;;Das la orden para que se implemente la Ley de Cese de Violencia.;;;;;;;;;x
EVTTOOLTIP6354;Somewhere, a dreamer stirs...;Quelque part, un rêveur s'agite...;Und irgendwo regt sich ein Träumer im Schlaf...;;En algún lugar, un soñador despierta…;;;;;;;;;x
EVTTOOLTIP6355;[Root.GetBestName] learns the forbidden secrets;[Root.Get_only_Le_Title][Root.GetBestName] apprend les secrets interdits;[Root.GetBestName] lernt die verbotenen Geheimnisse;;[Root.GetBestName] aprende los secretos prohibidos;;;;;;;;;x
EVTTOOLTIP6356;[Root.GetBestName] puts on a black robe and wizened old hat;[Root.Get_only_Le_Title][Root.GetBestName] enfile une robe noire et se coiffe d'un chapeau rabougri;[Root.GetBestName] zieht eine schwarze Robe und einen schrumpeligen, alten Hut an;;[Root.GetBestName] se pone una toga negra y un viejo sombrero arrugado;;;;;;;;;x
EVTTOOLTIP6357;[Root.GetBestName] commandeers a longboat;[Root.Get_only_Le_Title][Root.GetBestName] réquisitionne une chaloupe;[Root.GetBestName] kommandiert ein großes Beiboot;;[Root.GetBestName] incauta una galera;;;;;;;;;x
EVTTOOLTIP6358;A fateful collision...;Une collision fatidique...;Eine schicksalshafte Kollision...;;Una fatídica colisión…;;;;;;;;;x
