# Unused and/or EU3 holdovers ?

HAVE_LESS_THAN_INFANTRY_IN;Have less than $UNITS$ infantry in $PROVINCE$;A moins d'$UNITS$ d'infanterie dans $PROVINCE$;Hat weniger als $UNITS$ Infanterie in $PROVINCE$;;Tiene menos de $UNITS$ de infantería en$PROVINCE$;Ha meno di $UNITS$ unità di fanteria in: $PROVINCE$;;;;;;;;x
HAVE_MORE_THAN;Have more than ;A plus que ;Hat mehr als;;Tiene más que ;Ha più di ;;;;;;;;x
HAVE_MORE_THAN_INFANTRY_IN;Have more than $UNITS$ infantry in $PROVINCE$;A plus d'$UNITS$ d'infanterie dans $PROVINCE$;Hat mehr als $UNITS$ Infanterie in $PROVINCE$;;Tiene más de $UNITS$ de infantería en $PROVINCE$;Ha più di $UNITS$ unità di fanteria in: $PROVINCE$;;;;;;;;x
LOSE_CORE_EFFECT;Lose core on $LOSE$.\n;Perte d'une province légitime : $NEW$\n;Kernprovinz in $LOSE$ verloren.\n;Tracisz prowincjê narodow¹: $LOSE$.\n;Pérdida de un núcleo en $LOSE$.\n;Perdi una provincia nazionale nei confronti di: $LOSE$.\n;Alapvetõ veszteség a következõn: $LOSE$.\n;;;;;;;x
LOYALTY_EFFECT;$WHO$ $DIRECTION$ $VALUE$ loyalty.\n;$WHO$ $DIRECTION$ $VALUE$ en loyauté.\n;$WHO$ $DIRECTION$ $VALUE$ Loyalität.\n;;$WHO$ tiene una $DIRECTION$ de $VALUE$ en lealtad.\n;$WHO$: $DIRECTION$ $VALUE$ lealtà.\n;;;;;;;;x
LOYALTY_GAIN_CHANCE;Unit Loyalty Chance;Probabilité de loyauté de l'unité;Einheiten-Loyalitätschance;;Probabilidad de lealtad de la unidad;Probabilità lealtà unità;;;;;;;;x
mission_holy_war;$CRUSADE_NAME$ against $OWNERFULLNAME$;$CRUSADE_NAME$ contre $OWNERFULLNAME$;$CRUSADE_NAME$ gegen $OWNERFULLNAME$;;$CRUSADE_NAME$ contra $OWNERFULLNAME$;;;;;;;;;x
mission_holy_war_desc;The $ROOT_CHARACTERTITLE$ has called for a $CRUSADE_NAME$ to take §Y$PROVINCE$§! from the §Y$TOPOWNERFULLNAME$§!!;Le $ROOT_CHARACTERTITLE$ a appelé à la $CRUSADE_NAME$ pour prendre §Y$PROVINCE$§! à §Y$TOPOWNERFULLNAME$§! !;Der $ROOT_CHARACTERTITLE$ hat einen $CRUSADE_NAME$ ausgerufen, um §Y$PROVINCE$§! von §Y$TOPOWNERFULLNAME$§! zu erobern!;;El $ROOT_CHARACTERTITLE$ ha llamado a $CRUSADE_NAME$ para tomar §Y$PROVINCE$§! de §Y$TOPOWNERFULLNAME$§!!;;;;;;;;;x

PART_OF_CONTINENT;Part of the region of §Y$NAME$§!.;Fait partie de la région de §Y$NAME$§!.;Teil der Region §Y$NAME$§!.;;Parte de la región de §Y$NAME$§!;;;;;;;;;x
no_secret_religion;Is NOT secretly following another religion\n;Ne suit pas secrètement une autre religion\n;Ist KEIN heimlicher Anhänger einer anderen Religion\n;;No practica otras religiones en secreto.\n;;;;;;;;;x
HAS_TITLE;Is ;Est ;Ist ;;Es;;;;;;;;;x
DOES_NOT_HAVE_TITLE;Is NOT ;N'est pas ;Ist NICHT ;;No es;;;;;;;;;x
HAVE_OWNER;Owned by someone;Appartient à quelqu'un;Gehört jemandem;;Propiedad de alguien;;;;;;;;;x
HAVE_NO_OWNER;Not owned by anyone;N'appartient à personne;Gehört niemandem;;Sin propietario;;;;;;;;;x
HAVE_NO_PROVINCES;Have no Counties;Ne possède aucun comté;Hat keine Provinzen;;No tiene provincias;Non ha province;;;;;;;;x
HAS_A_JOB;Has a job;A un poste;Hat das Amt;;Tiene trabajo;;;;;;;;;x
DOES_NOT_HAVE_A_JOB;Does NOT have a job;N'a pas de poste;Hat KEIN Amt;;NO tiene trabajo;;;;;;;;;x
HAS_THE_JOB;Has the job ;A le poste ;Hat das Amt ;;Tiene el trabajo;;;;;;;;;x
DOES_NOT_HAVE_THE_JOB;Does NOT have the job ;N'a pas le poste ;Hat NICHT das Amt ;;NO tiene el trabajo;;;;;;;;;x
HAVE_N0T_ALLIANCE_WITH;Not allied with ;N'a pas d'alliance avec ;Nicht verbündet mit ;;No se alía con;;;;;;;;;x
IS_RUNNING;Is running ;Est exécuté ;Leitet;;Está realizando ;È candidato ;;;;;;;;x
IS_NOT_RUNNING;Is NOT running ;N'est pas réalisé ;Leitet NICHT;;No está realizando ;Non è candidato ;;;;;;;;x

REL_AUTHORITY_EFFECT;$RELIGION$ $GAINLOSS$ $PERC$ Moral Authority\n;$DIRECTION$ $PERC$ en autorité morale\n;$DIRECTION$ $PERC$ Moralische Autorität\n;;$DIRECTION$ $PERC$ Autoridad moral\n;;;;;;;;;x
