#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
AGE_FACTOR;Age Factor;Critère d'âge;Alters-Faktor;;Factor de Edad;;;;;;;;;x
permit_love_tooltip;Despite your previous anger, you decide to not to forbid this young couple from seeing each other.;Malgré votre accès de colère, vous décidez de ne pas empêcher ces jeunes gens de se fréquenter.;Trotz Eures vorherigen Ärgers entschließt Ihr Euch, diesem jungen Paar nicht zu verbieten, sich sehen zu dürfen.;;A pesar de tu enfado inicial, decides no prohibir los encuentros de esta joven pareja.;;;;;;;;;x
plot_seize_trade_post_decision;[Root.GetPlot];[Root.GetPlot];[Root.GetPlot];;[Root.GetPlot];;;;;;;;;x
plot_seize_trade_post_decision_desc;Put the plot into motion by attempting to seize the Trade Post.;Mettez votre plan à exécution et essayez de vous emparer du comptoir.;Setzt das Komplott in Bewegung, indem Ihr den Versuch unternehmt, den Handelsposten zu beschlagnahmen.;;Poner la conspiración en marca e intentar sitiar el Puesto Comercial.;;;;;;;;;x
plot_seize_trade_post_desc;Strike a blow for freedom everywhere by usurping control over the [This.GetName] Trade Post.;Combattre pour défendre la liberté en usurpant le comptoir de [This.GetName].;Brecht überall eine Lanze für Freiheit, indem Ihr die Kontrolle über den [This.GetName] Handelsposten an Euch reißt.;;Contribuir a la defensa de la libertad en todas partes usurpando el control del Puesto Comercial de [This.GetName].;;;;;;;;;x
plot_seize_trade_post_title;Seize the Trade Post in [This.GetName];S'emparer du comptoir de [This.GetName];Beschlagnahmt den Handelsposten in [This.GetName];;Sitiar el Puesto Comercial de [This.GetName];;;;;;;;;x
refuse_plan_tooltip;You disapprove of your son's plan.;Vous désapprouvez le plan de votre fils.;Ihr lehnt den Plan Eures Sohnes ab.;;Desapruebas el plan de tu hijo.;;;;;;;;;x
region_baltic;Baltic Trade Region;Région marchande de la Baltique;Baltische Handelsregion;;Zona Comercial del Báltico;;;;;;;;;x
region_east_med;East Mediterranean Trade Region;Région marchande de la Méditerrannée orientale;Ost-mediterrane Handelsregion;;Zona Comercial del Mediterráneo Oriental;;;;;;;;;x
region_north_atlantic;North Atlantic Trade Region;Région marchande de l'Atlantique Nord;Nordatlantische Handelsregion;;Zona Comercial del Atlántico Norte;;;;;;;;;x
region_west_med;West Mediterranean Trade Region;Région marchande de la Méditerrannée occidentale;West-mediterrane Handelsregion;;Zona Comercial del Mediterráneo Occidental;;;;;;;;;x
REL_CAPTOR;Captor;Ravisseur;Entführer;;Captor;;;;;;;;;x
RELEASE_VASSAL_INTERACTION_ACCEPT_LOG;§Y[Actor.GetTitledName]§! granted §Y[Recipient.GetTitledName]§! independence;[Actor.Get_only_Le_Title]§Y[Actor.GetTitledName]§! a accordé l'indépendance [Recipient.Get_only_au_Title]§Y[Recipient.GetTitledName]§!;§Y[Actor.GetTitledName]§! hat §Y[Recipient.GetTitledName]§! Unabhängigkeit gewährt.;;§Y[Actor.GetTitledName]§! ha concedido la independencia a §Y[Recipient.GetTitledName]§!;;;;;;;;;x
RELEASE_VASSAL_INTERACTION_ACCEPT_SETUP;Independence Accepted;Indépendance acceptée;Unabhängigkeit angenommen;;Independencia aceptada;;;;;;;;;x
RELEASE_VASSAL_INTERACTION_DECLINE_LOG;§Y[Recipient.GetTitledName]§! refused an offer of independence from §Y[Actor.GetTitledName]§!;[Recipient.Get_only_Le_Title]§Y[Recipient.GetTitledName]§! a décliné la proposition d'indépendance [Actor.Get_only_du_Title]§Y[Actor.GetTitledName]§!;§Y[Recipient.GetTitledName]§! hat sich geweigert, das Angebot der Unabhängigkeit von §Y[Actor.GetTitledName]§! anzunehmen.;;§Y[Actor.GetTitledName]§! ha rechazado una oferta de independencia de §Y[Recipient.GetTitledName]§!;;;;;;;;;x
RELEASE_VASSAL_INTERACTION_DECLINE_SETUP;Independence Declined;Indépendance refusée;Unabhängigkeit abgelehnt;;Independencia rechazada;;;;;;;;;x
RELEASE_VASSAL_INTERACTION_DESC;Grant a vassal independence;Accorder l'indépendance à un vassal;Gewährt einem Vasallen Unabhängigkeit;;Conceder la independencia a un vasallo;;;;;;;;;x
RELEASE_VASSAL_INTERACTION_LETTER;I release you from your vassalage and will no longer be your liege. [Actor.Religion.GetRandomGodNameCap] bless your future endeavors!;Je vous libère de votre serment de vassalité. Je ne serai plus désormais votre seigneur lige. Que [Actor.Religion.GetRandomGodName] bénisse vos futurs projets !;Ich entlasse Euch aus Eurem Vasallentum und bin nicht länger Euer Lehnsherr. Möge [Actor.Religion.GetRandomGodNameCap] Eure zukünftigen Bemühungen segnen!;;Os libero de vuestro vasallaje y por ello dejaré de ser vuestro señor. ¡Que [Actor.Religion.GetRandomGodNameCap] bendiga vuestros proyectos futuros! ;;;;;;;;;x
RELEASE_VASSAL_INTERACTION_LONG_DESC;An independent liege can grant independence to direct vassals.;Un seigneur indépendant peut accorder l'indépendance à ses vassaux directs.;Ein unabhängiger Lehnsherr kann unmittelbaren Vasallen Unabhängigkeit gewähren.;;Un señor independiente puede conceder la independencia a vasallos directos. ;;;;;;;;;x
RELEASE_VASSAL_INTERACTION_OFFER;[Actor.GetTitledName] has granted you independence!;[Actor.Get_Le_TitledName] vous a accordé l'indépendance !;[Actor.GetTitledName] hat Euch Unabhängigkeit gewährt!;;¡[Actor.GetTitledName] te ha concedido la independencia! ;;;;;;;;;x
RELEASE_VASSAL_INTERACTION_TITLE;Grant Independence;Accorder l'indépendance;Unabhängigkeit gewähren;;Conceder la independencia ;;;;;;;;;x
REPUBLICAN;Republican;(République);Republikanisch;;Republicano;;;;;;;;;x
rescue_rival_tooltip;You decide not to abandon your former rival to the mercy of these pirates.;Vous n'avez pas l'intention d'abandonner votre ancien rival aux mains des pirates. ;Ihr entschließt Euch dazu, Euren früheren Rivalen nicht der Gnade dieser Piraten auszuliefern.;;Decides no abandonar a tu antiguo rival a merced de estos piratas.;;;;;;;;;x
RESPECT;Respect;Respect;Respekt;;Respeto;;;;;;;;;x
RESPECT_DESC;Respect is a value based on the Age and Prestige of a Patrician, determining how likely he is to be elected Doge. It can be increased by investing money in the Campaign Fund, but women and children can never be elected.;Le respect est une valeur basée sur l'âge et le prestige d'un patricien, et détermine ses chances d'être élu doge. Le respect peut être accru en investissant de l'argent dans le fonds de campagne. Mais les femmes et les enfants ne pourront jamais être élus.;Respekt ist ein Wert, der auf dem Alter und Prestige eines Patriziers basiert und bestimmt, wie wahrscheinlich es ist, dass er zum Dogen ernannt wird. Es kann erhöht werden, indem Geld in den Wahlkampffonds investiert wird, doch Frauen und Kinder können niemals gewählt werden.;;El respeto es un valor basado en la Edad y Prestigio de un Patricio, determinando qué posibilidades tiene de ser elegido Dux. Se puede incrementar gastando dinero en Fondos de Campaña, pero mujeres y niños no pueden ser elegidos.;;;;;;;;;x
SEIZE_TRADE_POST_EFFECT;§Y$TAKER$§! seizes the Trade Post in §Y$PROV$§!;§Y$TAKER$§! s'empare du comptoir en §Y$PROV$§!;§Y$TAKER$§! beschlagnahmt den §Y$PROV$§!-Handelsposten;;§Y$TAKER$§! se apodera del Puesto Comercial de §Y$PROV$§!;;;;;;;;;x
SET_FATHER_OF_UNBORN_KNOWN;The Father of the Unborn Baby is Revealed\n;Le nom du père de l'enfant à naître est révélé\n;Der Vater des ungeborenen Kindes wurde entlarvt\n;;Se Revela el Padre del Nonato\n;;;;;;;;;x
SET_FATHER_OF_UNBORN_NOT_KNOWN;The Father of the Unborn Baby is Unknown\n;Le nom du père l'enfant à naître est inconnu\n;Der Vater des ungeborenen Kindes ist unbekannt\n;;Se Desconoce el Padre del Nonato\n;;;;;;;;;x
SHORTCUT_DESC;Shortcut: §G$SHORTCUT$§!;Raccourci : §G$SHORTCUT$§!;Verknüpfung: §G$SHORTCUT$§!;;Atajo: §G$SHORTCUT$§!;;;;;;;;;x
SHOW_MAPMODES_TOGGLE;Toggle the map modes interface;Modifier les modes de cartes;Kartenmodi einblenden/ausblenden;;Cambia el interfaz de modo de mapas;;;;;;;;;x
succ_patrician_elective;Patrician Elective;Élection patricienne;Patrizierfolge;;Patricio Electo;;;;;;;;;x
succ_patrician_elective_desc;This is the succession type in the great naval Merchant Republics. The next Doge is determined from among the heads of the five grand Patrician families depending on Age, Prestige, and invested Campaign Funds.;C'est le type de succession en vigueur dans les grandes républiques thalassocratique marchandes. Le prochain doge est choisi pami les chefs des cinq grandes familles de la ville selon des critères d'âge, de prestige et des fonds investis dans le fonds de campagne.;Dies ist der Erbfolge-Typ in der großen Marinehandels-Republik. Der nächste Doge wird unter den fünf großen Patrizierfamilien bestimmt, abhängig von Alter, Prestige und den investierten Wahlkampffonds.;;Es el tipo de sucesión de las grandes Repúblicas Mercantes navales. El próximo Dux se elige de entre los jefes de las cinco grandes familias patricias en función de su Edad, Prestigio, y Fondos de Campaña.;;;;;;;;;x
THE_REPUBLIC;The Republic;La République;Die Republik;;La República;;;;;;;;;x
TheRepublicDLC;The Republic;La République (The Republic);The Republic;;La República;;;;;;;;;x
TOTAL_COST;Total Cost: §Y$COST$§!;Coût total : §Y$COST$§!;Gesamtkosten: §Y$COST$§!;;Coste Total: §Y$COST$§!;;;;;;;;;x
TOTAL_TRADE_FAMILY;Family Total:;Total Famille : ;Familie Gesamt;;Total Familiar:;;;;;;;;;x
tp_barracks_1_desc;When necessary, peasants from the local farms are conscripted into the [Root.Holder.GetHouseOfWorship] militia and stationed here.;Lorsqu'il le faut, des paysans des fermes avoisinantes sont enrôlés dans la milice du clergé et s'entrainent ici.;Falls nötig, werden die ansässigen Bauern in die Kirchen-Miliz eingezogen und hier stationiert.;;En caso necesario, se reclutan campesinos de las haciendas locales para la milicia eclesiástica y se apostan aquí. ;;;;;;;;;x
tp_barracks_1_desc_muslim;When necessary, peasants from the local farms are conscripted into the mosque militia and stationed here.;Lorsque c'est nécessaire, des paysans des fermes avoisinantes sont enrôlés dans le corps de guet pour protéger la mosquée.;Falls nötig, werden die ansässigen Bauern in die Moscheen-Miliz eingezogen und hier stationiert.;;En caso necesario, se reclutan campesinos de las haciendas locales para la milicia de la mezquita y se apostan aquí. ;;;;;;;;;x
tp_elite_barracks_1_desc;These holy warriors have sworn to defend this [Root.Holder.GetHouseOfWorship] with their lives.;Ces saints guerriers ont juré de défendre leur commanderie au péril de leur vie.;Diese heiligen Krieger haben geschworen, die Kirche mit ihren Leben zu verteidigen. ;;Estos guerreros santos han jurado defender esta iglesia con su vida. ;;;;;;;;;x
tp_elite_barracks_1_desc_muslim;These holy warriors have sworn to defend this mosque with their lives.;Ces saints guerriers ont juré de défendre leur mosquée au péril de leur vie.;Diese heiligen Krieger haben geschworen, die Moschee mit ihren Leben zu verteidigen.;;Estos guerreros santos han jurado defender esta mezquita con su vida. ;;;;;;;;;x
tp_monastery_1_desc;This [Root.Holder.GetHouseOfWorship] serves as the spiritual center of the local community.;Cette église est le centre spirituel de la communauté locale.;Diese Kirche dient als spirituelles Zentrum für die ansässige Gemeinde.;;Esta iglesia constituye el centro espiritual de la comunidad local. ;;;;;;;;;x
tp_monastery_1_desc_muslim;This mosque serves as the spiritual center of the local community.;Cette mussalla est le centre spirituel de la communauté locale.;Diese Moschee dient als spirituelles Zentrum für die ansässige Gemeinde.;;Esta mezquita sirve como centro espiritual de la comunidad local. ;;;;;;;;;x
tp_monastery_2_desc;People from across the realm come here to visit this impressive cathedral. It serves as a major landmark, and its spires can be seen from far away.;Des gens viennent de toute la région visiter cette belle église. Elle est un point de repère important et ses clochers peuvent être vus de très loin.;Menschen aus dem ganzen Reich kommen her, um die beeindruckende Kathedrale zu besuchen. Sie dient als bedeutendes Wahrzeichen, dessen Turmspitzen von Weitem zu sehen sind.;;Personas de todo el territorio vienen para visitar esta impresionante catedral. Constituye un importante lugar de interés, cuyas agujas se divisan a gran distancia.;;;;;;;;;x
tp_monastery_2_desc_muslim;People from across the realm come here to visit this impressive mosque. It serves as a major landmark, and its minarets can be seen from far away.;De toute la région, on vient visiter cette belle Markaz. Elle est un point de repère important et ses minarets peuvent être vus de très loin.;Menschen aus dem ganzen Reich kommen her, um die beeindruckende Moschee zu besuchen. Sie dient als bedeutendes Wahrzeichen, dessen Minarette von Weitem zu sehen sind.;;Personas de todo el territorio vienen para visitar esta impresionante mezquita. Constituye un importante lugar de interés, cuyos minaretes se divisan a gran distancia.;;;;;;;;;x
tp_school_1_desc;This school teaches many subjects and is a rare center of high learning, but the students enrolled here primarily study to prepare themselves for future careers in the clergy. No girls allowed.;De nombreuses disciplines sont enseignées dans cette école et c'est l'un des rares lieux d'enseignement. Toutefois, les élèves qui y sont admis se préparent principalement à une carrière religieuse. Les filles n'y sont bien sûr pas admises.;Diese Schule unterrichtet viele Fächer und ist ein seltenes Zentrum der höheren Lehre, doch die Schüler, die hier eingeschrieben sind, studieren hier hauptsächlich, um sich auf ihre zukünftigen Karrieren im Klerus vorzubereiten. Mädchen sind nicht erlaubt.;;Esta escuela imparte numerosas materias y es un centro poco habitual para la formación superior, aunque la mayoría de los estudiantes matriculados en ella se preparan para su futura carrera en el clero. No se admiten mujeres.;;;;;;;;;x
tp_town_1_desc;This small village of faithful peasants has formed around the [Root.Holder.GetHouseOfWorship].;Ce petit village paroissial rural fut été érigé autour du bâtiment religieux.;Dieses kleine Dorf gläubiger Bauern hat sich um diese Kirche niedergelassen.;;Esta pequeña aldea de campesinos fieles se ha formado alrededor de la iglesia. ;;;;;;;;;x
tp_town_1_desc_muslim;This small village of faithful peasants has formed around the mosque.;Ce petit village de paysans a été érigé autour de la mosquée.;Dieses kleine Dorf gläubiger Bauern hat sich um diese Moschee niedergelassen.;;Esta pequeña aldea de campesinos fieles se ha formado alrededor de la mezquita.;;;;;;;;;x
tp_town_2_desc;This town of faithful peasants has formed around the [Root.Holder.GetHouseOfWorship].;Ce petit bourg rural a été érigée autour du bâtiment religieux.;Diese Stadt gläubiger Bauern hat sich um diese Kirche niedergelassen.;;Este pueblo de campesinos fieles se ha formado alrededor de la iglesia. ;;;;;;;;;x
tp_town_2_desc_muslim;This town of faithful peasants has formed around the mosque.;Cette petite ville rurale a été érigée autour de la mosquée.;Diese Stadt gläubiger Bauern hat sich um diese Moschee niedergelassen.;;Este pueblo de campesinos fieles se ha formado alrededor de la mezquita. ;;;;;;;;;x
tp_town_3_desc;This large town of faithful peasants has formed around the [Root.Holder.GetHouseOfWorship].;Cette ville de paysans fidèles a été érigée autour du bâtiment religieux.;Diese große Stadt gläubiger Bauern hat sich um diese Kirche niedergelassen.;;Esta gran ciudad de campesinos fieles se ha formado alrededor de la iglesia. ;;;;;;;;;x
tp_town_3_desc_muslim;This large town of faithful peasants has formed around the mosque.;Cette grande ville rurale a été érigée autour de la mosquée.;Diese große Stadt gläubiger Bauern hat sich um diese Moschee niedergelassen.;;Esta gran ciudad de campesinos fieles se ha formado alrededor de la mezquita. ;;;;;;;;;x
tp_town_4_desc;The small village that once surrounded this [Root.Holder.GetHouseOfWorship] has turned into a large city, with thousands of inhabitants calling it their home.;Le petit village qui s'est un jour construit autour du bâtiment religieux est devenu une belle cité épiscopale où des milliers d'habitants ont trouvé leur confort.;Das kleine Dorf, das diese Kirche einmal umgeben hat, hat sich zu einer großen Stadt mit Tausenden Einwohnern gemausert, die sie als ihre Heimat bezeichnen.;;La pequeña aldea que una vez rodeó esta iglesia se ha convertido en una gran ciudad, a la que miles de habitantes consideran su hogar. ;;;;;;;;;x
tp_town_4_desc_muslim;The small village that once surrounded this mosque has turned into a large city, with thousands of inhabitants calling it their home.;Le petit village qui s'est un jour construit autour de la mosquée est devenu une belle cité où des milliers d'habitants ont trouvé leur bonheur.;Das kleine Dorf, das diese Moschee einmal umgeben hat, hat sich zu einer großen Stadt mit Tausenden Einwohnern gemausert, die sie als ihre Heimat bezeichnen.;;La pequeña aldea que una vez rodeó la mezquita se ha convertido en una gran ciudad, a la que miles de habitantes consideran su hogar. ;;;;;;;;;x
tp_town_5_desc;The small village that once surrounded this [Root.Holder.GetHouseOfWorship] has turned into a bustling metropolis, with thousands of inhabitants calling it their home.;Le petit village qui s'est un jour construit autour du bâtiment religieux est devenu une grande cité archi-épiscopale, où des milliers d'habitants ont trouvé leur bonheur.;Das kleine Dorf, das diese Kirche einmal umgeben hat, hat sich zu einer geschäftigen Metropole mit Tausenden Einwohnern gemausert, die sie als ihre Heimat bezeichnen.;;La pequeña aldea que una vez rodeó esta iglesia se ha convertido en una bulliciosa metrópoli, a la que miles de habitantes consideran su hogar. ;;;;;;;;;x
tp_town_5_desc_muslim;The small village that once surrounded this mosque has turned into a bustling metropolis, with thousands of inhabitants calling it their home.;Le petit village qui s'est un jour construit autour de la mosquée est devenu une grande cité où des milliers d'habitants ont trouvé leur confort.;Das kleine Dorf, das diese Moschee einmal umgeben hat, hat sich zu einer geschäftigen Metropole mit Tausenden Einwohnern gemausert, die sie als ihre Heimat bezeichnen.;;La pequeña aldea que una vez rodeó la mezquita se ha convertido en una bulliciosa metrópoli, a la que miles de habitantes consideran su hogar. ;;;;;;;;;x
tp_wall_3_desc;These stone walls surround the [Root.Holder.GetHouseOfWorship] and must be overcome by any attacker.;Ces remparts entourant le bâtiment religieux géneront longtemps tout attaquant.;Diese Steinmauern umgeben die Kirche und müssen von jedem Angreifer überwunden werden.;;Estas murallas de piedra rodean la iglesia y deben ser superadas por cualquier atacante.;;;;;;;;;x
tp_wall_3_desc_muslim;These stone walls surround the mosque and must be overcome by any attacker.;Ces murs de pierre entourent la mosquée et doivent être franchis par les assaillants.;Diese Steinmauern umgeben die Moschee und müssen von jedem Angreifer überwunden werden.;;Todo atacante debe superar antes las murallas de piedra que rodean la mezquita.;;;;;;;;;x
tp_wall_4_desc;These large walls surround the [Root.Holder.GetHouseOfWorship] and must be overcome by any attacker.;Ces doubles remparts de pierre entourent l'église et sont à même de bloquer tout attaquant.;Diese großen Mauern umgeben die Kirche und müssen erst von jedem Angreifer überwunden werden.;;Estas grandes murallas rodean la iglesia y deben ser superadas por cualquier atacante.;;;;;;;;;x
tp_wall_4_desc_muslim;These large walls surround the mosque and must be overcome by any attacker.;Cette enceinte en pierre entoure la mosquée et offre un obstacle sérieux aux assaillants.;Diese großen Mauern umgeben die Moschee und müssen erst von jedem Angreifer überwunden werden.;;Todo atacante debe superar antes las grandes murallas que rodean la mezquita.;;;;;;;;;x
tp_wall_5_desc;These massive walls surround the [Root.Holder.GetHouseOfWorship] and must be overcome by any attacker.;Ces murailles en pierre entourent l'église et offrent un obstacle presque insurmontable aux attaquants.;Diese massiven Mauern umgeben die Kirche und müssen erst von jedem Angreifer überwunden werden.;;Estas enormes murallas rodean la iglesia y deben ser superadas por cualquier atacante.;;;;;;;;;x
tp_wall_5_desc_muslim;These massive walls surround the mosque and must be overcome by any attacker.;Cette double enceinte en pierre entoure la mosquée et offrent une protection importante contre tout attaquant.;Diese massiven Mauern umgeben die Moschee und müssen erst von jedem Angreifer überwunden werden.;;Todo atacante debe superar antes las enormes murallas que rodean la mezquita.;;;;;;;;;x
tp_wall_q_1_desc;This shallow moat surrounding the [Root.Holder.GetHouseOfWorship] provides another obstacle for attackers to overcome.;Ces fossés peu profonds entourant le bâtiment religieux forment un autre obstacle à surmonter pour les assaillants.;Dieser seichte Burggraben, der die Kirche umgibt, bietet ein weiteres Hindernis, das Angreifer überwinden müssen.;;El poco profundo foso que rodea la iglesia es un obstáculo más que los atacantes deben superar.;;;;;;;;;x
tp_wall_q_1_desc_muslim;This shallow moat surrounding the mosque provides another obstacle for attackers to overcome.;Ce porche permet de protèger l'entrée de la mosquée. Il est ainsi plus simple de contrôler qui y entre et qui en sort.;Dieser seichte Burggraben, der die Moschee umgibt, bietet ein weiteres Hindernis, das Angreifer überwinden müssen. ;;El foso encharcado que rodea la mezquita es un obstáculo más que los atacantes deben superar.;;;;;;;;;x
tp_wall_q_2_desc;This gatehouse defends the entrance to the [Root.Holder.GetHouseOfWorship], and makes it easier to control who comes in and who leaves.;Ces portes fortifiées protègent l'entrée de l'église. Il est ainsi plus simple de contrôler qui y entre et qui en sort.;Dieses Pförtnerhaus verteidigt den Eingang der Kirche und vereinfacht die Kontrolle darüber, wer reinkommt und wer geht.;;Esta puerta defiende la entrada de la iglesia y permite controlar más fácilmente quién entra y quién sale. ;;;;;;;;;x
tp_wall_q_2_desc_muslim;This gatehouse defends the entrance to the mosque, and makes it easier to control who comes in and who leaves.;Ce minaret permet de surveiller les environs de la mosquée et de se prévenir de toute attaque surprise.;Dieses Pförtnerhaus verteidigt den Eingang der Moschee und vereinfacht die Kontrolle darüber, wer reinkommt und wer geht.;;Esta puerta defiende la entrada de la mezquita y permite controlar más fácilmente quién entra y quién sale. ;;;;;;;;;x
tr_enclave_1;Merchant Enclave;Enclave marchande;Handelsenklave;;Enclave Mercante;;;;;;;;;x
tr_enclave_2;Merchant Enclave;Enclave marchande;Handelsenklave;;Enclave Mercante;;;;;;;;;x
tr_enclave_2_desc;An enclave of expatriates from the republic have established themselves in this foreign land to conduct trade.;Une enclave qui regroupe une bonne partie d'expatriés de la République qui se sont établis sur cette terre étrangère afin de faire commerce.;Eine Enklave von Auswanderern aus der Republik, die sich in diesem fremden Land niedergelassen haben, um Handel zu betreiben.;;Un enclave de expatriados de la república se han establecido en esta tierra extranjera para comerciar.;;;;;;;;;x
tr_enclave_3;Merchant Enclave;Enclave marchande;Handelsenklave;;Enclave Mercante;;;;;;;;;x
tr_enclave_3_desc;A large enclave of expatriates from the republic have established themselves in this foreign land to conduct trade.;Un véritable Emporium presque indépendant, qui regroupe une bonne partie d'expatriés de la République qui se sont établis sur cette terre étrangère afin de faire commerce.;Eine große Enklave von Auswanderern aus der Republik, die sich in diesem fremden Land niedergelassen haben, um Handel zu betreiben.;;Un gran enclave de expatriados de la república se han establecido en esta tierra extranjera para comerciar.;;;;;;;;;x
tr_fort_1;Fort;Fort;Fort;;Fuerte;;;;;;;;;x
tr_fort_1_desc;This small fort overlooks the trade post, and its wooden walls constitute the final defense against any attacker.;Ce petit fortin surplombe le comptoir. Ses palissades de bois forme l'ultime et malgré tout frêle protection contre tout assaillant potentiel.;Dieses kleine Fort überblickt den Handelsposten und seine Holzmauer bildet die letzte Verteidigung gegen jegliche Angreifer.;;Este pequeño fuerte vigila el puesto comercial, y sus murallas de madera constituyen la última línea de defensa contra cualquier atacante.;;;;;;;;;x
tr_fort_2;Fort;Fort;Fort;;Fuerte;;;;;;;;;x
tr_fort_2_desc;This fort overlooks the trade post, and its stone walls constitute the final defense against any attacker.;Ce fort surplombe le comptoir. Ses remparts en pierre assurent l'ultime et solide protection contre tout assaillant potentiel.;Dieses Fort überblickt den Handelsposten und seine Steinmauer bildet die letzte Verteidigung gegen jegliche Angreifer.;;Este fuerte vigila el puesto comercial, y sus muros de piedra constituyen la última línea de defensa contra cualquier atacante.;;;;;;;;;x
tr_fort_3;Fort;Fort;Fort;;Fuerte;;;;;;;;;x
tr_fort_3_desc;This large fort overlooks the trade post, and its massive stone walls constitute the final defense against any attacker.;Cette petite citadelle surplombe le comptoir. Ses massifs murailles en pierre assure l'ultime mais la plus solide protection contre tout assaillant.;Dieses große Fort überblickt den Handelsposten und seine massive Steinmauer bildet die letzte Verteidigung gegen jegliche Angreifer.;;Este gran fuerte vigila el puesto comercial, y sus enormes muros de piedra constituyen la última línea de defensa contra cualquier atacante.;;;;;;;;;x
tr_garrison_1;Garrison;Garnison;Garnison;;Guarnición;;;;;;;;;x
tr_garrison_1_desc;A small garrison stands vigil over the trade post to deter bandits and rival trade powers.;Des vigiles arpente le comptoir pour dissuader les bandits et les puissances commerciales adverses de perpétrer quelques vilénies.;Eine kleine Garnison wacht über den Handelsposten, um Banditen und rivalisierende Handelsmächte abzuschrecken.;;Una pequeña guarnición guarda el puesto comercial para disuadir a bandidos y potencias comerciales rivales.;;;;;;;;;x
tr_garrison_2;Garrison;Garnison;Garnison;;Guarnición;;;;;;;;;x
tr_garrison_2_desc;A garrison stands vigil over the trade post to deter bandits and rival trade powers.;Un corps de Garde permet de veiller sur le comptoir pour dissuader les bandits et les puissances commerciales adverses de perpétrer quelques vilénies.;Eine Garnison wacht über den Handelsposten, um Banditen und rivalisierende Handelsmächte abzuschrecken.;;Una guarnición guarda el puesto comercial para disuadir a bandidos y potencias comerciales rivales.;;;;;;;;;x
tr_garrison_3;Garrison;Garnison;Garnison;;Guarnición;;;;;;;;;x
tr_garrison_3_desc;A large garrison stands vigil over the trade post to deter bandits and rival trade powers.;Une grande garnison protège le comptoir pour dissuader les bandits et les puissances commerciales adverses tentés par une attaque en règle.;Eine große Garnison wacht über den Handelsposten, um Banditen und rivalisierende Handelsmächte abzuschrecken.;;Una gran guarnición guarda el puesto comercial para disuadir a bandidos y potencias comerciales rivales.;;;;;;;;;x
tr_port_1;Merchant Port;Port marchand;Handelshafen;;Puerto Mercante;;;;;;;;;x
tr_port_1_desc;Merchant galleys load and off-load their cargo at this small port.;Les galères marchandes chargent et déchargent par ce petit quai du port.;Handelsschiffe ver- und entladen ihre Güter in diesem kleinen Hafen.;;Las galeras mercantes cargan y descargan en este pequeño puerto.;;;;;;;;;x
tr_port_2;Merchant Port;Port marchand;Handelshafen;;Puerto Mercante;;;;;;;;;x
tr_port_2_desc;Merchant galleys load and off-load their cargo aided by a simple wooden harbor crane at this port.;Les galères marchandes chargent et déchargent leurs marchandises dans ce port à l'aide de cette grue en bois rudimentaire.;Handelsschiffe ver- und entladen ihre Güter in diesem Hafen, mithilfe eines einfachen Hafenkrans aus Holz.;;Las galeras mercantes cargan y descargan con ayuda de una sencilla grúa de madera en este puerto.;;;;;;;;;x
tr_port_3;Merchant Port;Port marchand;Handelshafen;;Puerto Mercante;;;;;;;;;x
tr_port_3_desc;Merchant galleys load and off-load their cargo aided by several wooden harbor cranes at this bustling port.;Les galères marchandes chargent et déchargent leurs marchandises dans ce grand port animé à l'aide de plusieurs grues en bois.;Handelsschiffe ver- und entladen ihre Güter in diesem belebten Hafen, mithilfe etlicher Hafenkräne aus Holz.;;Las galeras mercantes cargan y descargan ayudadas por varias grúas de madera en este bullicioso puerto.;;;;;;;;;x
tr_warehouse_1;Warehouse;Entrepôt;Lagerhaus;;Almacén;;;;;;;;;x
tr_warehouse_1_desc;This small warehouse houses goods awaiting shipment out to sea or to potential buyers further inland.;Les marchandises sont conservées dans cette petite réserve en attendant d'être expédiées par la mer ou vers de potentiels acheteurs du continent.;Dieses kleine Lagerhaus beherbergt Güter, die auf ihren Transport zu See oder zu möglichen Käufern im Inland warten. ;;Este pequeño almacén conserva las mercancías a la espera de ser enviadas a ultramar o a potenciales compradores tierra adentro.;;;;;;;;;x
tr_warehouse_2;Warehouse;Entrepôt;Lagerhaus;;Almacén;;;;;;;;;x
tr_warehouse_2_desc;This warehouse houses goods awaiting shipment out to sea or to potential buyers further inland.;Les marchandises sont conservées dans ce magasin en attendant d'être expédiées par la mer ou vers de potentiels acheteurs du continent.;Dieses Lagerhaus beherbergt Güter, die auf ihren Transport zu See oder zu möglichen Käufern im Inland warten. ;;Este almacén conserva las mercancías a la espera de ser enviadas a ultramar o a potenciales compradores tierra adentro.;;;;;;;;;x
tr_warehouse_3;Warehouse;Entrepôt;Lagerhaus;;Almacén;;;;;;;;;x
tr_warehouse_3_desc;This large warehouse houses goods awaiting shipment out to sea or to potential buyers further inland.;Les marchandises sont conservées dans ce grand entrepôt en attendant d'être expédiées par la mer ou vers de potentiels acheteurs du continent.;Dieses große Lagerhaus beherbergt Güter, die auf ihren Transport zu See oder zu möglichen Käufern im Inland warten. ;;Este gran almacén conserva las mercancías a la espera de ser enviadas a ultramar o a potenciales compradores tierra adentro.;;;;;;;;;x
TRADE;Trade;Commerce;Handel;;Comerciar;;;;;;;;;x
