#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

evt_CK2_209_desc_a;They declined our gift!;Notre présent a été refusé !;Sie haben unser Geschenk abgelehnt!;;¡Han rechazado nuestro obsequio!;;;;;;;;;x
EVTDESC670_HF_B;The ancient [Root.Religion.GetName] is proving unable to withstand the onslaught of its organized, proselytizing neighbors. Rather than abandoning the old ways, [Root.GetTitledName] and the most powerful of [Root.GetHerHis] priests have decided to reform the [Root.Religion.GetName] faith in order to turn the tides and protect their ancient customs.\nWith official clergy and ratified scriptures, this new religion has already started to spread amongst the old [Root.Religion.GetName] faithful.;L'ancienne foi [Root.Religion.GetName] s'avère incapable de résister à l'assaut de ses voisins organisés et prosélytes. Plutôt que de céder, [Root.Get_le_TitledName] et le plus puissant de ses prêtres ont décidé de la réformer afin de renverser la vapeur et de protéger leurs anciennes coutumes.\nAvec un clergé officiel et un texte sacré ratifié, cette nouvelle religion a déjà commencé à se répandre parmi les anciens fidèles.;Der alte [Root.Religion.GetName]e Glaube erweist sich als unfähig, sich dem Ansturm seiner organisierten Nachbarn entgegenzusetzen. Anstatt die alten Wege aufzugeben, hat sich [Root.GetTitledName] mit den mächtigsten [Root.GetHerHis]er Priester dazu entschlossen, den [Root.Religion.GetName]en Glauben zu reformieren, um so das Blatt zu wenden und ihre alten Bräuche zu schützen.\nMit einem offiziellen Klerus und heiligen Schriften hat sich diese neue Religion bereits unter den ursprünglich [Root.Religion.GetName] Gläubigen verbreitet.;;El antiguo [Root.Religion.GetName] está demostrando ser incapaz de resistir la embestida de sus vecinos, organizados y evangelizadores. En lugar de abandonar las viejas tradiciones, [Root.GetTitledName] y los sacerdotes más poderosos han decidido reformar el credo [Root.Religion.GetName] para cambiar las tornas y proteger sus antiguas costumbres.\nCon un clero oficial y escrituras sancionadas, esta nueva religión ha empezado a extenderse entre los antiguos fieles del [Root.Religion.GetName].;;;;;;;;x
EVTDESC681;Having refused to give up my title to [From.GetTitledFirstName], I am now forced to raise the banner of rebellion.;Ayant refusé de céder mon titre [From.Get_au_TitledFirstName], je suis à présent forcé[Root.Get_E] de hisser l'étendard de la rébellion.;Nachdem ich mich geweigert habe, meinen Titel an [From.GetTitledFirstName] aufzugeben, muss ich nun das Banner der Rebellion hochziehen.;;Tras negarme a entregar mi título a [From.GetTitledFirstName], me veo obligado a levantar el estandarte de la rebelión.;;;;;;;;;x
EVTDESC682;Having refused to give up my rightful vassal to [From.GetTitledFirstName], I am now forced to raise the banner of rebellion.;Ayant refusé de céder mon vassal légitime [From.Get_au_TitledFirstName], je suis à présent forcé[Root.Get_E] de hisser l'étendard de la rébellion.;Nachdem ich mich geweigert habe, meinen rechtmäßigen Vasallen an [From.GetTitledFirstName] abzugeben, muss ich nun das Banner der Rebellion hochziehen.;;Tras negarme a entregar mi legítimo vasallo a [From.GetTitledFirstName], me veo obligado a levantar el estandarte de la rebelión.;;;;;;;;;x
EVTDESC683;Having refused to have my clan absorbed by [From.GetTitledFirstName], I am now forced to raise the banner of rebellion.;Ayant refusé de laisser mon clan être absorbé par [From.Get_le_TitledFirstName], je suis à présent forcé[Root.Get_E] de hisser l'étendard de la rébellion.;Nachdem ich mich geweigert habe, dass mein Klan von [From.GetTitledFirstName] absorbiert wird, muss ich nun das Banner der Rebellion hochziehen.;;Tras negarme a que mi clan sea absorbido por [From.GetTitledFirstName], me veo obligado a levantar el estandarte de la rebelión.;;;;;;;;;x
EVTDESC684;Having refused to have my clan split by [From.GetTitledFirstName], I am now forced to raise the banner of rebellion.;Ayant refusé que mon clan soit divisé par [From.Get_le_TitledFirstName], je suis à présent forcé[Root.Get_E] de hisser l'étendard de la rébellion.;Nachdem ich mich geweigert habe, dass mein Klan von [From.GetTitledFirstName] aufgeteilt wird, muss ich nun das Banner der Rebellion hochziehen.;;Tras negarme a que [From.GetTitledFirstName] divida mi clan, me veo obligado a levantar el estandarte de la rebelión.;;;;;;;;;x
EVTDESC750;I have been convinced by [From.GetLawProposer] to institute the [From.GetProposedLaw] Law. All that is needed is the support of yourself and my other loyal vassals.\n\nYour [From.Holder.GetTitle];Suite aux conseils avisés [From.Get_only_du_Title][From.GetLawProposer], j'ai décidé d'instituer la loi '[From.GetProposedLaw]'. Pour cela, j'ai simplement besoin de votre soutien et de celui de mes autres fidèles vassaux.\n\nVotre [From.Holder.GetTitle];[From.GetLawProposer] überzeugte mich davon, das Gesetz [From.GetProposedLaw] in Kraft zu setzen. Nun benötige ich von Euch, wie auch von allen anderen loyalen Vasallen, Eure Zustimmung zu diesem Gesetz.\n\nHochachtungsvoll, [From.Holder.GetTitle];;He sido convencido por [From.GetLawProposer] para iniciar la ley [From.GetProposedLaw] . Todo lo que se necesita es tu apoyo y el de mis otros vasallos leales.\n\nTu [From.Holder.GetTitle];;;;;;;;;x

EVTDESC40000;My guards failed to capture [From.GetTitledFirstName], who has now raised [From.GetPossPronoun] flag in rebellion!;Mes gardes n'ont pas réussi à capturer [From.Get_le_TitledFirstName] qui a hissé la bannière de la rébellion !;Meine Wachen konnten [From.GetTitledFirstName] nicht fangen, der nun [From.GetPossPronoun]e Flagge in offener Rebellion gehisst hat!;;¡Mis guardias no lograron capturar a [From.GetTitledFirstName], el cual se ha rebelado!;;;;;;;;;x
EVTDESC40001;[From.GetTitledFirstName] is now safely locked away in my dungeon, awaiting [From.GetPossPronoun] fate...;[From.Get_Le_TitledFirstName] attend la mort dans mon cachot...;[From.GetTitledFirstName] ist nun sicher in meinem Kerker hinter Schloss und Riegel und wartet auf [From.GetPossPronoun] Schicksal ...;;[From.GetTitledFirstName] está encerrado en mi mazmorra esperando su destino...;;;;;;;;;x
EVTDESC40002;[From.GetTitledFirstName] managed to avoid my guardsmen and has fled to the court of [From.Liege.GetTitledFirstName].;[From.Get_Le_TitledFirstName] a réussi à échapper à la vigilance des soldats de ma garde et a trouvé refuge à la Cour [From.Liege.Get_du_TitledFirstName].;[From.GetTitledFirstName] konnte meinen Wachen entkommen und ist zum Hof von [From.Liege.GetTitledFirstName] geflohen.;;[From.GetTitledFirstName] logró esquivar a mis guardias y huyó a la corte de [From.Liege.GetTitledFirstName].;;;;;;;;;x
EVTDESC40003;My hired killers failed to slay [From.GetTitledFirstName], but my involvement remains unknown.;Les tueurs que j'ai engagés n'ont pas réussi à éliminer [From.Get_le_TitledFirstName], mais ils n'ont rien révélé de mon implication.;Meine Attentäter konnten [From.GetTitledFirstName] nicht umbringen, aber niemand weiß, dass ich an der Sache beteiligt bin.;;Mis asesinos a sueldo no lograron matar a [From.GetTitledFirstName], pero mi implicación sigue siendo desconocida.;;;;;;;;;x
EVTDESC40006;My assassins failed to kill [From.GetTitledFirstName]. Even worse, they divulged my name!;Les assassins que j'ai engagés n'ont pas réussi à éliminer [From.Get_le_TitledFirstName]. Pire encore, ils ont divulgué mon nom !;Der Anschlag meiner Mörder auf [From.GetTitledFirstName] schlug fehl. Noch schlimmer, sie gaben meinen Namen preis!;;Mis asesinos no lograron matar a [From.GetTitledFirstName]. ¡Aún peor, revelaron mi nombre!;;;;;;;;;x
EVTDESC40009;Joyous news! [From.GetTitledFirstName] died choking on [From.GetPossPronoun] blood, not knowing the name of [From.GetPossPronoun] killer.;Heureuse nouvelle ! [From.Get_Le_TitledFirstName] a péri, sans connaître le nom de son assassin.;Frohe Kunde! [From.GetTitledFirstName] erstickte an [From.GetPossPronoun]em Blut, ohne den Namen [From.GetPossPronoun]es Mörders zu erfahren.;;¡Buenas noticias! [From.GetTitledFirstName] murió ahogado en su sangre sin conocer el nombre de su asesino.;;;;;;;;;x
EVTDESC40010;Good news! [From.GetTitledFirstName] died green and bloated like a toad. Unfortunately, the poisoner was apprehended and tortured until he blabbed my name.;Bonne nouvelle ! [From.Get_Le_TitledFirstName] n'est plus de ce monde. Son corps était vert et gonflé comme celui d'un crapaud. Hélas, l'empoisonneur a été appréhendé et il a divulgué mon nom sous la torture.;Gute Nachrichten! [From.GetTitledFirstName] starb aufgequollen wie eine Kröte. Leider wurde der Giftmischer geschnappt und gefoltert, bis er meinen Namen ausplauderte.;;¡Buenas noticias! [From.GetTitledFirstName] murió verde e hinchado como un sapo. Por desgracia cogieron al envenenador y lo torturaron hasta que reveló mi nombre.;;;;;;;;;x
EVTDESC40020;My spymaster is planning retribution against [FromFrom.GetTitledFirstName] for having attempted the assassination of [From.GetTitledFirstName].;Mon maître-espion réclame justice à l'encontre [FromFrom.Get_du_TitledFirstName] qui a tenté d'assassiner [From.Get_le_TitledFirstName].;Mein Hofspitzel plant Rache gegen [FromFrom.GetTitledFirstName] für seinen Mordversuch an [From.GetTitledFirstName].;;Mi Jefe de espías planea la venganza contra [FromFrom.GetTitledFirstName] por haber intentado matar a [From.GetTitledFirstName].;;;;;;;;;x
EVTDESC40021;[From.GetTitledFirstName] is asking us to deal with an assassination attempt inside our realm. ;[From.Get_Le_TitledFirstName] nous demande de juger une tentative d'assassinat commise au sein de notre Royaume.;[From.GetTitledFirstName] bittet uns, uns einem Mordversuch in unserem Reich anzunehmen.;;[From.GetTitledFirstName] nos pide que nos ocupemos del intento de asesinato dentro de nuestro reino. ;;;;;;;;;x
EVTDESC40022;[From.GetTitledFirstName] has judged that our rival now have a legitimate claim on our title.;[From.Get_Le_TitledFirstName] a jugé que notre adversaire peut désormais légitimement revendiquer notre titre.;[From.GetTitledFirstName] hat entschieden, dass unser Rivale nun einen legitimen Anspruch auf unseren Titel hat.;;[From.GetTitledFirstName] ha juzgado que nuestro rival reclama legítimamente nuestro título.;;;;;;;;;x
EVTDESC40023;[From.GetTitledFirstName] has granted us a claim on our rival for their vile assassinations.;Suite aux abominables crimes commis par notre adversaire, [From.Get_le_TitledFirstName] a jugé notre revendication légitime.;[From.GetTitledFirstName] hat uns wegen ihrer niederträchtigen Morde einen Anspruch auf ihre Titel gewährt.;;[From.GetTitledFirstName] nos ha concedido una reclamación contra nuestro rival por sus viles asesinatos.;;;;;;;;;x
EVTDESC40024;[From.GetTitledFirstName] has ordered the arrest of our rival for their vile assassinations.;Suite aux abominables crimes commis par notre adversaire, [From.Get_le_TitledFirstName] a ordonné son arrestation.;[From.GetTitledFirstName] hat wegen ihrer niederträchtigen Morde die Verhaftung unserer Rivalen angeordnet.;;[From.GetTitledFirstName] ha ordenado el arresto de nuestro rival por sus viles asesinatos.;;;;;;;;;x
EVTDESC40025;[From.GetTitledFirstName] refuse to deal with our problems with a rival inside [From.GetHerHis] realm.;[From.Get_Le_TitledFirstName] refuse de trancher le différend qui nous oppose à un adversaire vivant dans son Royaume.;[From.GetTitledFirstName] weigert sich, sich unserer Probleme mit einem Rivalen in [From.GetHerHis]em Reich anzunehmen.;;[From.GetTitledFirstName] se niega a ocuparse de nuestros problemas con un rival dentro de su reino.;;;;;;;;;x
EVTDESC40026;Not only did our assassin get discovered, he also managed to implicate that we were behind it.  Now [From.GetBestName] is showing proofs to everyone in the [Root.PrimaryTitle.GetFullName] that we have broken our feudal contract with a vassal.;Ils ont mis la main sur notre assassin et celui-ci a osé révéler que nous étions derrière tout cela. [From.Get_only_Le_Title][From.GetBestName] prouve maintenant aux gens [Root.PrimaryTitle.Get_du_RealmFull] que nous avons brisé notre contrat féodal avec un vassal.;Nicht nur, dass unser Attentäter entlarvt wurde, er hat es auch noch fertig gebracht, uns mit hineinzuziehen, weil wir hinter dem Ganzen stehen würden. Nun legt [From.GetBestName] vor jedem im [Root.PrimaryTitle.GetFullName] Zeugnis ab, dass wir unseren Lehensvertrag mit einem Vasallen gebrochen hätten.;;No solo ha descubierto a nuestro asesino, sino que ha conseguido averiguar que estábamos detrás de él. Ahora [From.GetBestName] muestra pruebas a todos en [Root.PrimaryTitle.GetFullName] que evidencian que hemos roto nuestro contrato feudal con un vasallo.;;;;;;;;;x

EVTDESC_63103;On the death of my [GetNewRelation], my [GetFromRelation] [From.GetFirstName] may have been elected [From.PrimaryTitle.GetRulerTitle] of [From.PrimaryTitle.GetName], but I am under no obligation to accept [From.GetObjectPronoun] as my liege!;À la mort de m[New.GetOnA] [GetNewRelation], m[From.GetOnA] [GetFromRelation] [From.GetFirstName] pourrait accéder au titre de [From.PrimaryTitle.GetRulerTitle] [From.PrimaryTitle.Get_du_Realm], mais je n'ai en aucun cas l'obligation de l'accepter en tant que [From.GetLordLady] lige !;Nach dem Tode meines [GetNewRelation] könnte mein [GetFromRelation] [From.GetFirstName] zum [From.PrimaryTitle.GetRulerTitle] von [From.PrimaryTitle.GetName] gewählt werden, aber ich bin in keiner Weise verpflichtet, [From.GetObjectPronoun] als Lehnsherrn anzunehmen!;;En la muerte de mi [GetNewRelation], mi [GetFromRelation] [From.GetFirstName] debe haber sido elegido [From.PrimaryTitle.GetRulerTitle] de [From.PrimaryTitle.GetName], ¡pero yo no estoy obligado a aceptar[From.GetObjectPronoun] como mi señor feudal!;;;;;;;;;x
EVTDESC_63104;My [GetFromRelation] [From.GetFirstName] has chosen independence from my rule.;M[From.GetOnA] [GetFromRelation] [From.GetFirstName] a préféré l'indépendance à mon autorité.;Mein [GetFromRelation] [From.GetFirstName] hat sich für die Unabhängigkeit von meiner Herrschaft entschieden.;;Mi [GetFromRelation] [From.GetFirstName] ha escogido independizarse de mi gobierno.;;;;;;;;;x

EVTOPTA150;To Arms!;Aux armes !;Zu den Waffen!;;¡A las armas!;;;;;;;;;x
EVTOPTA151;[Root.Religion.GetRandomGodNameCap] preserve me!;Que [Root.Religion.GetRandomGodName] me garde !;[Root.Religion.GetRandomGodNameCap], schütze mich!;;¡[Root.Religion.GetRandomGodNameCap] me protege!;;;;;;;;;x
EVTOPTA153;To see the sun again!;Ah, revoir le soleil !;Dass ich die Sonne wiedersehen würde ...;;¡Ver el sol de nuevo!;;;;;;;;;x
EVTOPTA154;[Root.Religion.GetRandomGodNameCap] curse [From.GetPossPronoun] name!;Que [Root.Religion.GetRandomGodName] maudisse son nom !;[Root.Religion.GetRandomGodNameCap], verfluche [From.GetPossPronoun] Namen!;;¡Que [Root.Religion.GetRandomGodNameCap] le maldiga!;;;;;;;;;x
EVTOPTA155;I'll be back!;Je reviendrai !;Ich komme wieder!;;¡Volveré!;;;;;;;;;x
EVTOPTA156;Who would want me dead?;Qui peut bien vouloir ma mort ?;Wer will meinen Tod?;;¿Quién querría matarme?;;;;;;;;;x
EVTOPTA157;Damned murderers!;Maudits meurtriers !;Verfluchte Mörder!;;¡Malditos asesinos!;;;;;;;;;x
EVTOPTA158;Vengeance!;Vengeance !;Rache!;;¡Venganza!;;;;;;;;;x
EVTOPTA160;[From.GetTitledFirstName] sent him.;C'est [From.Get_le_TitledFirstName] qui l'a envoyé.;[From.GetTitledFirstName] entsandte ihn.;;[From.GetTitledFirstName] le envió.;;;;;;;;;x
EVTOPTA161;I will blind [From.GetFirstName] before [From.GetSubjectPronoun] dies!;J'arracherai les yeux de [From.GetFirstName] avant de [From.GetLeLa] tuer !;Ich werde [From.GetFirstName] blenden, bevor [From.GetSubjectPronoun] stirbt!;;¡Cegaré a [From.GetFirstName] antes de que muera!;;;;;;;;;x
EVTOPTA162;[Root.Religion.GetRandomGodNameCap] greet my soul!;[Root.Religion.GetRandomGodNameCap], veuillez accueillir mon âme !;[Root.Religion.GetRandomGodNameCap], begrüße meine Seele!;;¡Que [Root.Religion.GetRandomGodNameCap] acoja mi alma!;;;;;;;;;x
EVTOPTA163;A million deaths for [From.GetTitledFirstName]!;Un million de morts pour [From.Get_le_TitledFirstName] !;Tausend Tode für [From.GetTitledFirstName]!;;¡Que [From.GetTitledFirstName] muera un millón de veces!;;;;;;;;;x
EVTOPTA200;Deus Vult!;Deus Vult !;Deus Vult!;;¡Deus Vult!;;;;;;;;;x
EVTOPTA290;Approve;Approuver;Zustimmen;;Aprobar;;;;;;;;;x
EVTOPTA320;Allahu Akbar!;Allahu Akbar !;Allahu Akbar!;;¡Allahu Akbar!;;;;;;;;;x
EVTOPTA324;For [Root.Religion.GetRandomGodName]!;Pour [Root.Religion.GetRandomGodName] !;Für [Root.Religion.GetRandomGodName]!;;¡Por [Root.Religion.GetRandomGodName]!;;;;;;;;;x
EVTOPTA328;For God and Israel!;Pour Dieu, et pour Israël !;Für Gott und Israel!;;¡Por Dios e a Israel!;;;;;;;;;x
EVTOPTA328_alt;For [Root.Religion.GetHighGodName]!;Pour [Root.Get_le_HighGod] !;Für [Root.Religion.GetHighGodName]!;;¡Por [Root.Religion.GetHighGodName]!;;;;;;;;;x
EVTOPTA500;Yes, it is everyone's concern;Oui, tout le monde est concerné.;Ja, es geht jeden an.;;Sí, es un deber de todos;;;;;;;;;x
EVTOPTA507;At last!;Enfin !;Endlich!;;¡Por fin!;;;;;;;;;x
EVTOPTA508;They are a simple people...;C'est un peuple simple...;Sie sind von schlichtem Gemüt ...;;Son tan simples..;;;;;;;;;x
EVTOPTA521;This could be a problem;Voilà qui pourrait être embêtant.;Das könnte ein Problem darstellen;;Esto podía ser un problema;;;;;;;;;x
EVTOPTA522;Great;Superbe;Hervorragend;;Genial;;;;;;;;;x
EVTOPTA523;Not good;Voilà qui est fâcheux;Nicht gut;;No pinta bien.;;;;;;;;;x
EVTOPTA524;A wise choice.;Un choix judicieux.;Eine weise Entscheidung.;;Una opción sabia.;;;;;;;;;x
EVTOPTA525;What is the [GetFromRootInsult] planning?;Qu'est-ce que c[Root.GetEEtte] [GetFromRootInsultNounAdj] mijote ?;Was plant dieser [GetFromRootInsult]?;;¿Qué está tramando ese [GetFromRootInsult]?;;;;;;;;;x
EVTOPTA600;How dare they oppose me!;Comment osent-ils s'opposer à moi !;Wie können sie es wagen, sich gegen mich zu stellen!;;¿Cómo osan oponerse a mí?;;;;;;;;;x
EVTOPTA601;If the count doesn't act, I better...;Si le comte n'intervient pas, je le ferai...;Wenn der Graf nicht reagiert, sollte ich besser ...;;Si el conde no actúa, será mejor que yo...;;;;;;;;;x
EVTOPTA610;They should all be hanged!;Qu'ils soient tous pendus !;Sie sollten alle gehängt werden!;;¡Deberían colgarles a todos!;;;;;;;;;x
EVTOPTA621;A Black Day!;Un jour bien sombre !;Ein Schwarzer Tag!;;¡Un día negro!;;;;;;;;;x
EVTOPTA660;Oh, cruel fate...;Oh, destin cruel...;Oh, grausames Schicksal...;;Oh, destino cruel…;;;;;;;;;x
EVTOPTA660_B;How dare she!;Comment ose-t-elle ?!;Wie kann sie es wagen!;;¡Cómo se atreve!;;;;;;;;;x
EVTOPTA661;[FromFrom.GetSheHeCap] will pay for this!;[FromFrom.GetIlElleCap] nous le paiera !;[FromFrom.GetSheHeCap] wird dafür büßen!;;¡[FromFrom.GetSheHeCap] pagará por esto!;;;;;;;;;x
EVTOPTA662;[FromFrom.GetSheHeCap] will pay for this!;[FromFrom.GetIlElleCap] nous le paiera !;[FromFrom.GetSheHeCap] wird dafür büßen!;;¡[FromFrom.GetBestName] pagará por esto!;;;;;;;;;x
EVTOPTA670;For [Root.Religion.GetRandomGodName]!;Pour [Root.Religion.GetRandomGodName] !;Wir bleiben standhaft!;;¡Por [Root.Religion.GetRandomGodName]!;;;;;;;;;x

EVTOPTA40000;To Arms!;Aux armes !;Zu den Waffen!;;¡A las armas!;;;;;;;;;x
EVTOPTA40002;Let [From.GetObjectPronoun] cower in fear!;Qu'[From.GetIlElle] tremble de peur !;Lasst [From.GetObjectPronoun] vor Furcht zittern!;;¡Hacedle esconderse de miedo!;;;;;;;;;x
EVTOPTA40003;Useless thugs...;Ces brutes sont des minables...;Nutzlose Schläger ...;;Asesinos inútiles...;;;;;;;;;x
EVTOPTA40004;At least [From.GetSubjectPronoun] took a wound;Au moins, [From.GetIlElle] a été blessé[From.Get_E].;Wenigstens wurde [From.GetSubjectPronoun] verwundet;;Al menos se llevó una herida;;;;;;;;;x
EVTOPTA40005;On the bright side, they did maim [From.GetHerHim]!;La bonne nouvelle, c'est qu'ils l'ont estropié[From.Get_E] !;Wenigstens verstümmelten sie [From.GetHerHim]!;;¡La parte positiva es que le hirieron!;;;;;;;;;x
EVTOPTA40006;This will not help my reputation;Cela va nuire à ma réputation.;Dies wird meinem Ruf nicht zuträglich sein;;Esto no ayudará a mi reputación;;;;;;;;;x
EVTOPTA40007;Well, [From.GetSubjectPronoun] did take a wound;Bien, [From.GetIlElle] a été blessé[From.Get_E].;Nun, [From.GetSubjectPronoun] wurde wenigstens verwundet;;Bueno, se llevó una herida;;;;;;;;;x
EVTOPTA40008;At least [From.GetSubjectPronoun] lost an eye!;Au moins, [From.GetIlElle] a perdu un oeil !;Wenigstens verlor [From.GetSubjectPronoun] ein Auge!;;¡Al menos perdió un ojo!;;;;;;;;;x
EVTOPTA40009;I must make sure the assassins stay silent...;Je dois veiller à ce que les assassins ne parlent pas...;Ich muss sicherstellen, dass der Mörder schweigt ...;;Debo asegurarme de que los asesinos no digan nada...;;;;;;;;;x
EVTOPTA40010;A small price to pay...;Un petit prix à payer...;Ein kleiner Preis ...;;Un pequeño precio a pagar...;;;;;;;;;x
EVTOPTA40020;Ask our Liege to settle this.;Notre seigneur doit régler ça !;Unseren Lehnsherrn bitten, dies beizulegen.;;Pide a nuestro señor que solucione esto.;;;;;;;;;x
EVTOPTA40021;I will grant [From.GetObjectPronoun] a claim on the perpetrator's titles.;Je vais lui accorder les titres du coupable.;Ich gewähre Euch einen Anspruch auf die Titel des Täters.;;Le concederé una reclamación sobre los títulos del autor.;;;;;;;;;x
EVTOPTA40022;That is just words...;Ce ne sont que des paroles...;Das sind bloß Worte ...;;Solo son palabras...;;;;;;;;;x
EVTOPTA40023;Good News!;Bonne nouvelle !;Gute Nachrichten!;;¡Buenas noticias!;;;;;;;;;x
EVTOPTA40024;Good News!;Bonne nouvelle !;Gute Nachrichten!;;¡Buenas noticias!;;;;;;;;;x
EVTOPTA40025;Is [From.GetSheHe] mad?;Est-[From.GetIlElle] malade ?;Ist [From.GetSheHe] von Sinnen?;;¿Ha enloquecido?;;;;;;;;;x
EVTOPTA40026;This is bad news...;Cela ne me dit rien qui vaille...;Das sind schlechte Neuigkeiten ...;;Son malas noticias...;;;;;;;;;x

EVTOPTA_63103;The realm should stay one.;Le royaume doit rester uni.;Das Reich sollte ungeteilt bleiben.;;El reino debería estar unido.;;;;;;;;;x
EVTOPTA_63104;Such is [From.GetPossPronoun] right...;Tel est son droit...;Das ist [From.GetPossPronoun] Recht ...;;Está en [From.GetPossPronoun] derecho...;;;;;;;;;x

EVTOPTB_63103;Time to split the realm!;Il est temps de diviser le royaume !;Zeit, das Reich zu teilen!;;¡Es el momento de escindir el reino!;;;;;;;;;x

EVTOPTB40020;Order the arrest!;Il faut l'arrêter !;Lasst ihn verhaften!;;¡Ordena su arresto!;;;;;;;;;x
EVTOPTB40021;Off to the jail.;En prison !;Ab in den Kerker.;;Fuera de la cárcel.;;;;;;;;;x

EVTOPTB200;That's no concern of ours...;Cela ne nous regarde pas...;Das geht uns nichts an...;;Eso no es asunto nuestro…;;;;;;;;;x
EVTOPTB290;Ignore;Ignorer;Ignorieren;;Ignorar;;;;;;;;;x
EVTOPTB500;No, people respect wealth!;Non, montrons notre opulence.;Nein, die Menschen respektieren Reichtum!;;¡No, la gente respeta la riqueza!;;;;;;;;;x
EVTOPTB621;Pathetic...;Pathétique...;Erbärmlich ...;;Patético...;;;;;;;;;x
EVTOPTB662;I will never rest until [FromFrom.GetSheHe] is brought to justice!;Je ne me reposerai pas avant qu'[FromFrom.GetIlElle] ne soit jugé[FromFrom.Get_E] !;Ich werde nicht ruhen, bis [FromFrom.GetSheHe] Gerechtigkeit erhält!;;¡No descansaré hasta llevarlo ante la justicia!;;;;;;;;x
EVTOPTB670;Embrace the Reformation!;Adoptez la réforme !;Begrüßt die Reformation!;;¡Acoge la Reforma!;;;;;;;;;x

EVTOPTC200;Foolish Infidels!;Stupides infidèles !;Närrische Ungläubige!;;¡Tontos Infieles!;;;;;;;;;x
EVTOPTC290;Decline;Refuser;Ablehnen;;Declinar;;;;;;;;;x
EVTOPTC621;The heretics falter!;Les hérétiques chancellent !;Die Ketzer zögern!;;¡Los herejes flaquean!;;;;;;;;;x
EVTOPTC670;The old ways are still best;Les anciennes habitudes sont encore les meilleures !;Die alten Pfade sind immer noch die besten;;Las viejas formas aún son mejores;;;;;;;;;x

EVTOPTD200;To Arms!;Aux armes !;Zu den Waffen!;;¡A las armas!;;;;;;;;;x
EVTOPTD670;They are still barbarians!;Ce sont toujours des barbares !;Sie sind noch immer Barbaren!;;¡Siguen siendo bárbaros!;;;;;;;;;x

EVTOPTE200;What Terrible News!;Quelle terrible nouvelle !;Welch schreckliche Nachrichten!;;¡Qué terribles noticias!;;;;;;;;;x
